"species","bleaching_probability"
"Acanthastrea brevis",0.28283886173009
"Acanthastrea echinata",0.288442554264824
"Acanthastrea hemprichi",0.282288404781095
"Acanthastrea minuta",0.246686136034447
"Acanthastrea pachysepta",0.216228748263897
"Acanthastrea rotundoflora",0.308964511381822
"Acanthastrea subechinata",0.281418387186934
"Acropora abrolhosensis",0.507286050652505
"Acropora abrotanoides",0.328227116387841
"Acropora aculeus",0.1994095377743
"Acropora acuminata",0.27270642053327
"Acropora anthocercis",0.246058034790809
"Acropora appressa",0.275536129686487
"Acropora arabensis",0.271128343106229
"Acropora aspera",0.431116745406801
"Acropora austera",0.25777312666247
"Acropora awi",0.271038618745036
"Acropora batunai",0.207883143726789
"Acropora bifurcata",0.284519011969661
"Acropora branchi",0.265593982707037
"Acropora bushyensis",0.188502891370695
"Acropora cardenae",0.282136186535199
"Acropora carduus",0.259445243568397
"Acropora caroliniana",0.20340629495136
"Acropora cerealis",0.192396477803278
"Acropora cervicornis",0.293234684110831
"Acropora chesterfieldensis",0.2662060241924
"Acropora clathrata",0.378646546510837
"Acropora cophodactyla",0.262660513388493
"Acropora cytherea",0.318506284195449
"Acropora dendrum",0.235440448947645
"Acropora derawanensis",0.255985794554164
"Acropora desalwii",0.184481562476737
"Acropora digitifera",0.232853667926727
"Acropora divaricata",0.29289525591378
"Acropora donei",0.343723201060649
"Acropora downingi",0.389974052961611
"Acropora echinata",0.269118015790148
"Acropora elegans",0.226070434269733
"Acropora elegantula",0.277009203235639
"Acropora elseyi",0.197777507598003
"Acropora eurystoma",0.292492312836039
"Acropora exquisita",0.239814477425498
"Acropora fastigata",0.258775646847611
"Acropora fenneri",0.233339999340284
"Acropora filiformis",0.255980131173036
"Acropora florida",0.541788218688858
"Acropora forskali",0.367911252340998
"Acropora gemmifera",0.331501206345467
"Acropora glauca",0.2600101740086
"Acropora globiceps",0.271335393135756
"Acropora gomezi",0.342344811799262
"Acropora grandis",0.454588295589897
"Acropora granulosa",0.204007129216924
"Acropora haimei",0.340063783258024
"Acropora halmaherae",0.252440236841856
"Acropora hemprichii",0.260618123782507
"Acropora hoeksemai",0.377878999536882
"Acropora horrida",0.311623621905095
"Acropora humilis",0.236562965633355
"Acropora hyacinthus",0.301504234983597
"Acropora indonesia",0.247068594466643
"Acropora insignis",0.43434874301527
"Acropora intermedia",0.389069585002591
"Acropora jacquelineae",0.188065877852514
"Acropora japonica",0.233965195438128
"Acropora khayranensis",0.264143876788737
"Acropora kimbeensis",0.232961608557944
"Acropora kirstyae",0.229993039938562
"Acropora kosurini",0.254344446270531
"Acropora lamarcki",0.269198088538447
"Acropora latistella",0.312547439325494
"Acropora lianae",0.216609342572808
"Acropora listeri",0.209087634949153
"Acropora loisetteae",0.376295076532347
"Acropora lokani",0.1898512283106
"Acropora longicyathus",0.393519741266851
"Acropora loripes",0.224003485013354
"Acropora loveli",0.292740766145023
"Acropora lutkeni",0.398073495031238
"Acropora maryae",0.264748006257528
"Acropora microclados",0.251500972984228
"Acropora microphthalma",0.298436575695578
"Acropora millepora",0.372049432842065
"Acropora minuta",0.252739557999738
"Acropora mirabilis",0.227615200600359
"Acropora monticulosa",0.388550724421827
"Acropora mossambica",0.282039968768653
"Acropora multiacuta",0.293242951623424
"Acropora muricata",0.462667543165971
"Acropora nana",0.148614447122499
"Acropora nasuta",0.227067205374813
"Acropora natalensis",0.377571660298446
"Acropora navini",0.406555350973976
"Acropora palmata",0.418569924326249
"Acropora palmerae",0.285245056736605
"Acropora paniculata",0.27108517341417
"Acropora papillare",0.430135321009242
"Acropora paragemmifera",0.343494467631979
"Acropora parahemprichii",0.352333068202465
"Acropora parapharaonis",0.415348751537547
"Acropora pectinata",0.239939082539515
"Acropora pharaonis",0.247625963588416
"Acropora pichoni",0.234323623523238
"Acropora plantaginea",0.255434726850684
"Acropora plumosa",0.386371172728723
"Acropora polystoma",0.323153475499802
"Acropora prolifera",0.382689173956036
"Acropora proximalis",0.25681968603275
"Acropora pruinosa",0.261026846186611
"Acropora pulchra",0.388168959592596
"Acropora retusa",0.251747344642476
"Acropora ridzwani",0.454241109221238
"Acropora robusta",0.214674526366926
"Acropora rongelapensis",0.238924357192897
"Acropora roseni",0.330918302951279
"Acropora rudis",0.223794072778751
"Acropora rufa",0.442848669210062
"Acropora russelli",0.256972206220016
"Acropora samoensis",0.241791263163875
"Acropora sarmentosa",0.20966368453999
"Acropora secale",0.252721348174563
"Acropora selago",0.227662877096634
"Acropora seriata",0.267116736963051
"Acropora simplex",0.247224679308342
"Acropora sirikitiae",0.380027971477008
"Acropora solitaryensis",0.28976910424373
"Acropora spathulata",0.259621981226015
"Acropora speciosa",0.22564600718967
"Acropora spicifera",0.373021424063913
"Acropora squarrosa",0.394567684756547
"Acropora striata",0.404903429509265
"Acropora subglabra",0.317687775706808
"Acropora subulata",0.356808749795576
"Acropora suharsonoi",0.241414288106212
"Acropora sukarnoi",0.282471311086406
"Acropora tanegashimensis",0.26999693956846
"Acropora tenella",0.226953542587306
"Acropora tenuis",0.2424245511392
"Acropora teres",0.477080403577182
"Acropora torihalimeda",0.263577550958577
"Acropora torresiana",0.260454698116619
"Acropora tortuosa",0.388569004431758
"Acropora turaki",0.263063224555173
"Acropora valenciennesi",0.411332068384345
"Acropora valida",0.292672449244013
"Acropora variolosa",0.226964571653477
"Acropora vaughani",0.264872056645789
"Acropora verweyi",0.248108629029013
"Acropora walindii",0.205770516233319
"Acropora willisae",0.220155344208049
"Acropora yongei",0.295502669644094
"Agaricia agaricites",0.254934343449508
"Agaricia fragilis",0.125726160070964
"Agaricia grahamae",0.21304214360302
"Agaricia humilis",0.169341685058
"Agaricia lamarcki",0.16262751456618
"Agaricia tenuifolia",0.239657586383502
"Agaricia undata",0.21355337739052
"Alveopora allingi",0.373732102774906
"Alveopora catalai",0.519349416094038
"Alveopora daedalea",0.254836194766301
"Alveopora excelsa",0.27164830345566
"Alveopora fenestrata",0.30503167403744
"Alveopora gigas",0.369993131585479
"Alveopora japonica",0.129169466143263
"Alveopora marionensis",0.253015460570374
"Alveopora minuta",0.158898998894322
"Alveopora ocellata",0.328411603099637
"Alveopora spongiosa",0.270085779760588
"Alveopora tizardi",0.284521788425273
"Alveopora verrilliana",0.280838206162529
"Alveopora viridis",0.279570332981694
"Anacropora forbesi",0.232650924194714
"Anacropora matthai",0.309960247287939
"Anacropora pillai",0.327983309144959
"Anacropora puertogalerae",0.313631981082711
"Anacropora reticulata",0.335185750094876
"Anacropora spinosa",0.327627843390519
"Anacropora spumosa",0.320723489724681
"Anomastraea irregularis",0.267019255469695
"Astrangia poculata",0.265775730135139
"Astrea annuligera",0.274853730632323
"Astrea curta",0.241077738880041
"Astrea devantieri",0.302517588832488
"Astreopora cucullata",0.275051644444907
"Astreopora expansa",0.318073751983935
"Astreopora explanata",0.301419949155779
"Astreopora gracilis",0.269822401767435
"Astreopora incrustans",0.223164711560793
"Astreopora listeri",0.271323134879871
"Astreopora macrostoma",0.294416067844538
"Astreopora moretonensis",0.326640751588835
"Astreopora myriophthalma",0.299988440625424
"Astreopora ocellata",0.269807954180514
"Astreopora randalli",0.305662940884246
"Astreopora scabra",0.274529283259519
"Astreopora suggesta",0.26905289934988
"Australogyra zelli",0.347692330592397
"Australophyllia wilsoni",0.320960825112466
"Balanophyllia europaea",0.0822830622930968
"Bernardpora stutchburyi",0.283862716429482
"Blastomussa loyae",0.262036469137622
"Blastomussa merleti",0.290439174644835
"Blastomussa omanensis",0.290439174644835
"Blastomussa wellsi",0.252919097056317
"Boninastrea boninensis",0.299597452762482
"Cantharellus doederleini",0.0797839515902008
"Cantharellus jebbi",0.13061287276381
"Cantharellus noumeae",0.0985590105977194
"Catalaphyllia jardinei",0.263264498804426
"Caulastraea connata",0.260428068339619
"Caulastraea curvata",0.275752859343201
"Caulastraea echinulata",0.254096371949305
"Caulastraea furcata",0.354566780117825
"Caulastraea tumida",0.231233983780936
"Cladocora arbuscula",0.301500560784673
"Cladocora caespitosa",0.217055879588055
"Coelastrea aspera",0.334415883457323
"Coelastrea palauensis",0.171502335492238
"Coeloseris mayeri",0.475119771710842
"Colpophyllia natans",0.301572518026647
"Coscinaraea columna",0.261256944735575
"Coscinaraea crassa",0.276518226915521
"Coscinaraea exesa",0.282846012780649
"Coscinaraea hahazimaensis",0.243000576314307
"Coscinaraea marshae",0.258476286736553
"Coscinaraea mcneilli",0.264263552837915
"Coscinaraea monile",0.286686686848061
"Craterastrea levis",0.292860609139291
"Ctenactis albitentaculata",0.105469051801888
"Ctenactis crassa",0.108849344678992
"Ctenactis echinata",0.102550281166027
"Ctenella chagius",0.231156611612712
"Cycloseris costulata",0.0975616516380072
"Cycloseris curvata",0.103843784595707
"Cycloseris cyclolites",0.219879604217938
"Cycloseris distorta",0.085840056534937
"Cycloseris explanulata",0.294285707336305
"Cycloseris fragilis",0.102463090229483
"Cycloseris hexagonalis",0.13081569570504
"Cycloseris mokai",0.165223830191474
"Cycloseris sinensis",0.128522465970853
"Cycloseris somervillei",0.107304030384511
"Cycloseris tenuis",0.155803583722707
"Cycloseris vaughani",0.118604978174588
"Cycloseris wellsi",0.277691325833711
"Cynarina lacrymalis",0.194269244256128
"Cynarina macassarensis",0.0600935186804796
"Cyphastrea agassizi",0.281393202111545
"Cyphastrea chalcidicum",0.227898589257568
"Cyphastrea decadia",0.353472213507792
"Cyphastrea hexasepta",0.257614852074597
"Cyphastrea japonica",0.2660447732735
"Cyphastrea microphthalma",0.311133510078215
"Cyphastrea ocellina",0.231593172513521
"Cyphastrea serailia",0.254259729555124
"Danafungia horrida",0.108073101602549
"Danafungia scruposa",0.14415466262246
"Dendrogyra cylindrus",0.378186334007056
"Dichocoenia stokesii",0.239982906709749
"Dichopsammia granulosa",0.339176362080225
"Diploastrea heliopora",0.321310732823657
"Diploria labyrinthiformis",0.306824232321417
"Dipsastraea albida",0.271383850235394
"Dipsastraea amicorum",0.272283954387649
"Dipsastraea danai",0.272746437330861
"Dipsastraea faviaformis",0.162971388021657
"Dipsastraea favus",0.308297848364991
"Dipsastraea helianthoides",0.270411564079289
"Dipsastraea lacuna",0.273566935292773
"Dipsastraea laddi",0.253312448996578
"Dipsastraea laxa",0.256045601151795
"Dipsastraea lizardensis",0.263880133363073
"Dipsastraea maritima",0.260117892634643
"Dipsastraea marshae",0.27642056905247
"Dipsastraea matthaii",0.270943211422438
"Dipsastraea maxima",0.262932515163621
"Dipsastraea pallida",0.293213132882343
"Dipsastraea rosaria",0.263514177801688
"Dipsastraea rotumana",0.272288382029607
"Dipsastraea speciosa",0.267302370535087
"Dipsastraea truncata",0.266919748864669
"Dipsastraea veroni",0.282287637787838
"Dipsastraea vietnamensis",0.294234028107279
"Duncanopsammia axifuga",0.351439575627006
"Echinomorpha nishihirai",0.230844819226121
"Echinophyllia aspera",0.340919739365733
"Echinophyllia costata",0.269590075232134
"Echinophyllia echinata",0.292796330607538
"Echinophyllia echinoporoides",0.292228107554678
"Echinophyllia orpheensis",0.222040264989858
"Echinophyllia patula",0.296215905243336
"Echinophyllia pectinata",0.309603141517087
"Echinopora ashmorensis",0.333386442950318
"Echinopora forskaliana",0.296569847451668
"Echinopora fruticulosa",0.357816553274206
"Echinopora gemmacea",0.347290816603034
"Echinopora grandicula",0.332471599800216
"Echinopora hirsutissima",0.31910150386207
"Echinopora horrida",0.356127952120915
"Echinopora irregularis",0.338757317125526
"Echinopora lamellosa",0.378417461397106
"Echinopora mammiformis",0.408364074350465
"Echinopora pacificus",0.340100866977959
"Echinopora robusta",0.314452408031044
"Echinopora taylorae",0.349716346124103
"Echinopora tiranensis",0.336094019417656
"Enigmopora darveliensis",0.29510392598705
"Erythrastrea flabellata",0.241510570768814
"Euphyllia ancora",0.258738837653165
"Euphyllia cristata",0.135869732468843
"Euphyllia divisa",0.270374090221628
"Euphyllia glabrescens",0.223165694894303
"Euphyllia paraancora",0.267611292004317
"Euphyllia paradivisa",0.284052017890641
"Euphyllia paraglabrescens",0.279614404179412
"Euphyllia yaeyamaensis",0.270325803082026
"Eusmilia fastigiata",0.340361918416062
"Favia fragum",0.115210828732999
"Favia gravida",0.156185315957899
"Favia leptophylla",0.223055458459959
"Favites abdita",0.253275675628369
"Favites acuticollis",0.281965109764355
"Favites chinensis",0.296913623648224
"Favites colemani",0.233770182374873
"Favites complanata",0.302501183977382
"Favites flexuosa",0.302316190906078
"Favites halicora",0.317378031984789
"Favites magnistellata",0.286746854215421
"Favites melicerum",0.280702987646509
"Favites micropentagonus",0.2460432372245
"Favites paraflexuosus",0.251858064210058
"Favites pentagona",0.256841398917177
"Favites rotundata",0.289321848401425
"Favites spinosa",0.28765714779783
"Favites stylifera",0.29640223114946
"Favites valenciennesi",0.284998904847525
"Favites vasta",0.290616505290911
"Fungia fungites",0.137916262877533
"Galaxea acrhelia",0.362048956414133
"Galaxea astreata",0.313548840464182
"Galaxea cryptoramosa",0.219404234515189
"Galaxea fascicularis",0.435227518815679
"Galaxea horrescens",0.339074409686457
"Galaxea longisepta",0.171576113155683
"Galaxea paucisepta",0.316970715210124
"Gardineroseris planulata",0.296734132910876
"Goniastrea columella",0.244677679599571
