"species","mean_chloro","sd","n"
"Acropora cervicornis",2.075,0.917877987534291,4
"Acropora muricata",0.8,NA,1
"Acropora palmata",2.8,2.12132034355964,2
"Coelastrea aspera",15.175,12.0544251902223,4
"Goniastrea retiformis",14,13.0107647738325,2
"Merulina ampliata",0.01225,0.00950131980963697,800
"Montastraea cavernosa",7.125,7.31855518528077,2
"Montipora capitata",11.37,3.18804015031179,4
"Montipora digitata",3.575,0.0353553390593276,2
"Montipora monasteriata",37.6,3.21869538788622,3
"Orbicella annularis",7.308,4.01859440600815,9
"Orbicella faveolata",13.48,6.45646962356364,15
"Orbicella franksi",6.17,2.57311743481197,4
"Pocillopora damicornis",6.26454545454545,4.20519527165235,11
"Pocillopora elegans",0.72,0.115325625946708,3
"Porites astreoides",4.2,NA,1
"Porites australiensis",9.63333333333333,4.56965352442976,3
"Porites compressa",22.645,0.360624458405138,2
"Porites cylindrica",0.4915,0.186006272295676,4
"Porites lobata",0.540523255813953,2.88208423818261,86
"Porites lutea",8.69285714285714,5.73343327709124,7
"Porites porites",4.6,NA,1
