"species","coloniality"
"Acanthastrea brevis","colonial"
"Acanthastrea echinata","colonial"
"Acanthastrea hemprichi","colonial"
"Lobophyllia ishigakiensis","colonial"
"Micromussa regularis","colonial"
"Acanthastrea rotundoflora","colonial"
"Acanthastrea subechinata","colonial"
"Acropora abrolhosensis","colonial"
"Acropora abrotanoides","colonial"
"Acropora aculeus","colonial"
"Acropora acuminata","colonial"
"Acropora donei","colonial"
"Acropora anthocercis","colonial"
"Acropora appressa","colonial"
"Acropora arabensis","colonial"
"Acropora aspera","colonial"
"Acropora austera","colonial"
"Acropora awi","colonial"
"Acropora nana","colonial"
"Acropora batunai","colonial"
"Acropora bifurcata","colonial"
"Acropora branchi","colonial"
"Acropora bushyensis","colonial"
"Acropora cardenae","colonial"
"Acropora carduus","colonial"
"Acropora caroliniana","colonial"
"Acropora cerealis","colonial"
"Acropora cervicornis","colonial"
"Acropora chesterfieldensis","colonial"
"Acropora clathrata","colonial"
"Acropora millepora","colonial"
"Acropora cophodactyla","colonial"
"Acropora muricata","colonial"
"Isopora togianensis","colonial"
"Acropora cytherea","colonial"
"Acropora dendrum","colonial"
"Acropora derawanensis","colonial"
"Acropora desalwii","colonial"
"Acropora digitifera","colonial"
"Acropora divaricata","colonial"
"Acropora downingi","colonial"
"Acropora echinata","colonial"
"Acropora elegans","colonial"
"Acropora elegantula","colonial"
"Acropora elseyi","colonial"
"Acropora eurystoma","colonial"
"Acropora exquisita","colonial"
"Acropora fastigata","colonial"
"Acropora fenneri","colonial"
"Acropora filiformis","colonial"
"Acropora florida","colonial"
"Acropora forskali","colonial"
"Acropora gemmifera","colonial"
"Acropora glauca","colonial"
"Acropora globiceps","colonial"
"Acropora gomezi","colonial"
"Acropora grandis","colonial"
"Acropora granulosa","colonial"
"Acropora haimei","colonial"
"Acropora halmaherae","colonial"
"Acropora hemprichii","colonial"
"Acropora hoeksemai","colonial"
"Acropora horrida","colonial"
"Acropora humilis","colonial"
"Acropora hyacinthus","colonial"
"Acropora indonesia","colonial"
"Acropora microphthalma","colonial"
"Acropora insignis","colonial"
"Acropora intermedia","colonial"
"Acropora jacquelineae","colonial"
"Acropora japonica","colonial"
"Acropora kimbeensis","colonial"
"Acropora kirstyae","colonial"
"Acropora kosurini","colonial"
"Acropora lamarcki","colonial"
"Acropora latistella","colonial"
"Acropora lianae","colonial"
"Acropora listeri","colonial"
"Acropora loisetteae","colonial"
"Acropora lokani","colonial"
"Acropora longicyathus","colonial"
"Acropora loripes","colonial"
"Acropora loveli","colonial"
"Acropora lutkeni","colonial"
"Acropora tenuis","colonial"
"Acropora maryae","colonial"
"Acropora polystoma","colonial"
"Isopora brueggemanni","colonial"
"Acropora microclados","colonial"
"Acropora minuta","colonial"
"Acropora mirabilis","colonial"
"Acropora monticulosa","colonial"
"Acropora mossambica","colonial"
"Acropora multiacuta","colonial"
"Acropora nasuta","colonial"
"Acropora natalensis","colonial"
"Acropora navini","colonial"
"Acropora palmata","colonial"
"Acropora palmerae","colonial"
"Acropora paniculata","colonial"
"Acropora papillare","colonial"
"Acropora parahemprichii","colonial"
"Acropora parapharaonis","colonial"
"Acropora pectinata","colonial"
"Acropora pharaonis","colonial"
"Acropora pichoni","colonial"
"Acropora robusta","colonial"
"Acropora plantaginea","colonial"
"Acropora plumosa","colonial"
"Acropora prolifera","colonial"
"Acropora proximalis","colonial"
"Acropora pruinosa","colonial"
"Acropora pulchra","colonial"
"Acropora speciosa","colonial"
"Acropora retusa","colonial"
"Acropora rongelapensis","colonial"
"Acropora roseni","colonial"
"Acropora rudis","colonial"
"Acropora rufa","colonial"
"Acropora russelli","colonial"
"Acropora samoensis","colonial"
"Acropora sarmentosa","colonial"
"Acropora secale","colonial"
"Acropora selago","colonial"
"Acropora seriata","colonial"
"Acropora simplex","colonial"
"Acropora solitaryensis","colonial"
"Acropora spathulata","colonial"
"Acropora spicifera","colonial"
"Acropora squarrosa","colonial"
"Acropora striata","colonial"
"Acropora subglabra","colonial"
"Acropora subulata","colonial"
"Acropora suharsonoi","colonial"
"Acropora sukarnoi","colonial"
"Acropora tanegashimensis","colonial"
"Acropora tenella","colonial"
"Acropora teres","colonial"
"Acropora torihalimeda","colonial"
"Acropora torresiana","colonial"
"Acropora tortuosa","colonial"
"Acropora valida","colonial"
"Acropora turaki","colonial"
"Acropora valenciennesi","colonial"
"Acropora variolosa","colonial"
"Acropora vaughani","colonial"
"Acropora verweyi","colonial"
"Acropora walindii","colonial"
"Acropora willisae","colonial"
"Acropora yongei","colonial"
"Agaricia agaricites","colonial"
"Agaricia fragilis","colonial"
"Agaricia grahamae","colonial"
"Agaricia humilis","colonial"
"Agaricia lamarcki","colonial"
"Agaricia tenuifolia","colonial"
"Agaricia undata","colonial"
"Alveopora allingi","colonial"
"Alveopora catalai","colonial"
"Alveopora daedalea","colonial"
"Alveopora excelsa","colonial"
"Alveopora fenestrata","colonial"
"Alveopora gigas","colonial"
"Alveopora japonica","colonial"
"Alveopora marionensis","colonial"
"Alveopora minuta","colonial"
"Alveopora ocellata","colonial"
"Alveopora spongiosa","colonial"
"Alveopora tizardi","colonial"
"Alveopora verrilliana","colonial"
"Alveopora viridis","colonial"
"Anacropora forbesi","colonial"
"Anacropora matthai","colonial"
"Anacropora pillai","colonial"
"Anacropora puertogalerae","colonial"
"Anacropora reticulata","colonial"
"Anacropora spinosa","colonial"
"Anacropora spumosa","colonial"
"Anomastraea irregularis","colonial"
"Astrangia poculata","colonial"
"Astrea annuligera","colonial"
"Astrea curta","colonial"
"Astrea devantieri","colonial"
"Astreopora cucullata","colonial"
"Astreopora expansa","colonial"
"Astreopora gracilis","colonial"
"Astreopora incrustans","colonial"
"Astreopora listeri","colonial"
"Astreopora macrostoma","colonial"
"Astreopora moretonensis","colonial"
"Astreopora myriophthalma","colonial"
"Astreopora ocellata","colonial"
"Astreopora randalli","colonial"
"Astreopora scabra","colonial"
"Astreopora suggesta","colonial"
"Australogyra zelli","colonial"
"Balanophyllia europaea","solitary"
"Bernardpora stutchburyi","colonial"
"Blastomussa loyae","colonial"
"Blastomussa omanensis","colonial"
"Blastomussa wellsi","colonial"
"Boninastrea boninensis","colonial"
"Cantharellus doederleini","solitary"
"Cantharellus jebbi","both"
"Cantharellus noumeae","both"
"Catalaphyllia jardinei","colonial"
"Caulastraea connata","colonial"
"Caulastraea curvata","colonial"
"Caulastraea echinulata","colonial"
"Caulastraea furcata","colonial"
"Caulastraea tumida","colonial"
"Cladocora arbuscula","colonial"
"Cladocora caespitosa","colonial"
"Coelastrea aspera","colonial"
"Coelastrea palauensis","colonial"
"Coeloseris mayeri","colonial"
"Colpophyllia natans","colonial"
"Coscinaraea columna","colonial"
"Coscinaraea crassa","colonial"
"Coscinaraea exesa","colonial"
"Coscinaraea hahazimaensis","colonial"
"Coscinaraea marshae","colonial"
"Coscinaraea mcneilli","colonial"
"Coscinaraea monile","colonial"
"Ctenactis albitentaculata","solitary"
"Ctenactis crassa","solitary"
"Ctenactis echinata","solitary"
"Ctenella chagius","colonial"
"Cycloseris boschmai","solitary"
"Cycloseris costulata","solitary"
"Cycloseris curvata","solitary"
"Cycloseris cyclolites","solitary"
"Cycloseris distorta","solitary"
"Cycloseris explanulata","solitary"
"Cycloseris fragilis","solitary"
"Cycloseris hexagonalis","solitary"
"Cycloseris mokai","solitary"
"Cycloseris sinensis","solitary"
"Cycloseris somervillei","solitary"
"Cycloseris tenuis","solitary"
"Cycloseris vaughani","solitary"
"Cycloseris wellsi","solitary"
"Cynarina lacrymalis","solitary"
