"species","coralliteAreaMean_cm2","coralliteAreaMin","coralliteAreaMax"
"Acanthastrea minuta",0.15552847130678,0.0490873852123405,0.321699087727595
"Acanthastrea pachysepta",4.28216750142965,1.56145008865047,8.34689752132272
"Acanthastrea subechinata",1.28679635091038,1.28679635091038,NA
"Acropora abrolhosensis",0.0113097335529233,0.00636172512351933,0.0176714586764426
"Acropora abrotanoides",0.00708821842466197,0.0038484510006475,0.0113097335529233
"Acropora aculeus",0.00636172512351933,0.00502654824574367,0.00785398163397448
"Acropora acuminata",0.00636172512351933,0.00282743338823081,0.0113097335529233
"Acropora anthocercis",0.00865901475145687,0.00502654824574367,0.0132732289614169
"Acropora arabensis",0.0122718463030851,0.00196349540849362,0.0314159265358979
"Acropora aspera",0.01539380400259,0.00785398163397448,0.0254469004940773
"Acropora austera",0.00865901475145687,0.00282743338823081,0.0176714586764426
"Acropora awi",0.00567450173054656,0.0038484510006475,0.00785398163397448
"Acropora batunai",0.000962112750161874,0.000314159265358979,0.00196349540849362
"Acropora bushyensis",0.00950331777710913,0.0038484510006475,0.0176714586764426
"Acropora carduus",0.0038484510006475,0.00196349540849362,0.00636172512351933
"Acropora caroliniana",0.00502654824574367,0.00282743338823081,0.00785398163397448
"Acropora cerealis",0.00237582944427728,0.000706858347057704,0.00502654824574367
"Acropora cervicornis",0.01539380400259,0.00950331777710913,0.0226980069221863
"Acropora chesterfieldensis",0.00567450173054656,0.0038484510006475,0.00785398163397448
"Acropora clathrata",0.0038484510006475,0.00196349540849362,0.00636172512351933
"Acropora cytherea",0.00567450173054656,0.0038484510006475,0.00785398163397448
"Acropora dendrum",0.00567450173054656,0.00196349540849362,0.0113097335529233
"Acropora derawanensis",0.00441786466911065,0.00196349540849362,0.00785398163397448
"Acropora desalwii",0.0038484510006475,0.00282743338823081,0.00502654824574367
"Acropora digitifera",0.00950331777710913,0.00282743338823081,0.0201061929829747
"Acropora divaricata",0.00636172512351933,0.0038484510006475,0.00950331777710913
"Acropora donei",0.00950331777710913,0.00502654824574367,0.01539380400259
"Acropora downingi",0.00567450173054656,0.0038484510006475,0.00785398163397448
"Acropora echinata",0.00441786466911065,0.00196349540849362,0.00785398163397448
"Acropora elegans",0.00282743338823081,0.00125663706143592,0.00502654824574367
"Acropora elseyi",0.00441786466911065,0.00282743338823081,0.00636172512351933
"Acropora eurystoma",0.0201061929829747,0.0113097335529233,0.0314159265358979
"Acropora florida",0.00865901475145687,0.0038484510006475,0.01539380400259
"Acropora gemmifera",0.0132732289614169,0.00785398163397448,0.0201061929829747
"Acropora glauca",0.00950331777710913,0.00636172512351933,0.0132732289614169
"Acropora globiceps",0.0213824649984955,0.0113097335529233,0.0346360590058275
"Acropora grandis",0.0122718463030851,0.00502654824574367,0.0226980069221863
"Acropora granulosa",0.00331830724035422,0.00125663706143592,0.00636172512351933
"Acropora halmaherae",0.00441786466911065,0.00282743338823081,0.00636172512351933
"Acropora hemprichii",0.00785398163397448,0.00502654824574367,0.0113097335529233
"Acropora hoeksemai",0.00567450173054657,0.00282743338823081,0.00950331777710913
"Acropora horrida",0.00865901475145687,0.00282743338823081,0.0176714586764426
"Acropora humilis",0.01539380400259,0.00785398163397448,0.0254469004940773
"Acropora hyacinthus",0.00441786466911065,0.00125663706143592,0.00950331777710913
"Acropora indonesia",0.00502654824574367,0.00282743338823081,0.00785398163397448
"Acropora intermedia",0.0103868907109313,0.00502654824574367,0.0176714586764426
"Acropora jacquelineae",0.000706858347057704,7.85398163397449e-05,0.00196349540849362
"Acropora japonica",0.00441786466911065,0.00282743338823081,0.00636172512351933
"Acropora kimbeensis",0.00196349540849362,0.00125663706143592,0.00282743338823081
"Acropora kirstyae",0.00196349540849362,0.000314159265358979,0.00502654824574367
"Acropora kosurini",0.0038484510006475,0.00282743338823081,0.00502654824574367
"Acropora latistella",0.00441786466911065,0.00282743338823081,0.00636172512351933
"Acropora listeri",0.00502654824574367,0.00282743338823081,0.00785398163397448
"Acropora loisetteae",0.01539380400259,0.0113097335529233,0.0201061929829747
"Acropora lokani",0.00441786466911065,0.00282743338823081,0.00636172512351933
"Acropora longicyathus",0.00636172512351933,0.00196349540849362,0.0132732289614169
"Acropora loripes",0.00567450173054656,0.00196349540849362,0.0113097335529233
"Acropora loveli",0.0132732289614169,0.00636172512351933,0.0226980069221863
"Acropora lutkeni",0.00636172512351933,0.00282743338823081,0.0113097335529233
"Acropora microclados",0.00636172512351933,0.00282743338823081,0.0113097335529233
"Acropora microphthalma",0.00502654824574367,0.00282743338823081,0.00785398163397448
"Acropora millepora",0.00785398163397448,0.00125663706143592,0.0201061929829747
"Acropora monticulosa",0.00636172512351933,0.00282743338823081,0.0113097335529233
"Acropora mossambica",0.00567450173054657,0.00502654824574367,0.00636172512351933
"Acropora multiacuta",0.0132732289614169,0.00282743338823081,0.0314159265358979
"Acropora muricata",0.00785398163397448,0.00502654824574367,0.0113097335529233
"Acropora nana",0.00441786466911065,0.00196349540849362,0.00785398163397448
"Acropora nasuta",0.00502654824574367,0.00196349540849362,0.00950331777710913
"Acropora palmata",0.0103868907109313,0.0038484510006475,0.0201061929829747
"Acropora palmerae",0.00950331777710913,0.00636172512351933,0.0132732289614169
"Acropora paniculata",0.00282743338823081,0.00125663706143592,0.00502654824574367
"Acropora papillare",0.0113097335529233,0.00502654824574367,0.0201061929829747
"Acropora pharaonis",0.00865901475145687,0.00282743338823081,0.0176714586764426
"Acropora pichoni",0.0038484510006475,0.00196349540849362,0.00636172512351933
"Acropora plumosa",0.00636172512351933,0.00282743338823081,0.0113097335529233
"Acropora polystoma",0.0103868907109313,0.00502654824574367,0.0176714586764426
"Acropora prolifera",0.00865901475145687,0.00282743338823081,0.0176714586764426
"Acropora pruinosa",0.0143138815279185,0.00950331777710913,0.0201061929829747
"Acropora pulchra",0.00636172512351933,0.00282743338823081,0.0113097335529233
"Acropora retusa",0.00502654824574367,0.0038484510006475,0.00636172512351933
"Acropora ridzwani",0.0254469004940773,0.0254469004940773,0.0254469004940773
"Acropora robusta",0.00785398163397448,0.00196349540849362,0.0176714586764426
"Acropora rongelapensis",0.00331830724035422,0.00196349540849362,0.00502654824574367
"Acropora roseni",0.01539380400259,0.0113097335529233,0.0201061929829747
"Acropora rudis",0.00636172512351933,0.00282743338823081,0.0113097335529233
"Acropora russelli",0.00441786466911065,0.00196349540849362,0.00785398163397448
