"species","aggressiveness","coloniality","colony_max_diameter","corallite_area","egg_diameter","fecundity_polyp","growthFormClasses","growth_rate","mode_larval_development","reduced_scattering_coefficient","sexual_system"
"Acanthastrea brevis",40.796,"colonial",150.305,2.11565668152437,0.479690511664004,1249.97203749476,"massive",8.35608453004591,"spawner",10.1309,"hermaphrodite"
"Acanthastrea echinata",44.6,"colonial",169.9389,0.942109378888458,0.475470511664004,1251.99052383761,"massive",7.632327302443,"spawner",10.141,"hermaphrodite"
"Acanthastrea hemprichi",40.7019999999999,"colonial",150.91,1.70690713750861,0.478050511664004,1251.68376530103,"massive",8.25939061243359,"spawner",10.1825,"hermaphrodite"
"Acanthastrea minuta",32.082,"colonial",154.2501,0.15552847130678,0.468414309363304,1163.81149934624,"massive",6.65116568445447,"spawner",11.6387,"hermaphrodite"
"Acanthastrea pachysepta",44.742,"colonial",50,4.28216750142965,0.485065297217784,1284.43427456793,"massive",7.0933058049472,"spawner",7.9948,"hermaphrodite"
"Acanthastrea rotundoflora",40.1379999999999,"colonial",180.989,1.08915267023728,0.486831928410923,1223.84253993448,"encrusting",10.0399640219463,"spawner",9.9412,"hermaphrodite"
"Acanthastrea subechinata",41.128,"colonial",150.42,1.28679635091038,0.478050511664004,1251.68376530103,"massive",8.12697133770765,"spawner",10.1825,"hermaphrodite"
"Acropora abrolhosensis",24.986,"colonial",1000,0.0113097335529233,0.513910044087933,8.2647387326638,"branching",100.911162973618,"spawner",7.5306,"hermaphrodite"
"Acropora abrotanoides",46.965,"colonial",300,0.00708821842466197,0.573667368560567,6.75772000000001,"branching",127.5,"spawner",9.1969,"hermaphrodite"
"Acropora aculeus",34.719,"colonial",40,0.00636172512351933,0.506516512958966,54.8029900000001,"corymbose",85.7656998160762,"spawner",8.1367,"hermaphrodite"
"Acropora acuminata",39.531,"colonial",200,0.00636172512351933,0.559410303081609,9.87292019607844,"branching",46.2361165225207,"spawner",10.3315,"hermaphrodite"
"Acropora anthocercis",50.444,"colonial",100,0.00865901475145687,0.545606931714957,38.7385689287422,"tables_or_plates",40.5092313983709,"spawner",9.5633,"hermaphrodite"
