"species","aggressiveness","coloniality","colony_max_diameter","corallite_area","egg_diameter","fecundity_polyp","growthFormClasses","growth_rate","mode_larval_development","reduced_scattering_coefficient","sexual_system","bleaching_probability"
"Acanthastrea brevis",45.877,"colonial",136.4846,1.30515895997061,0.513561928410923,1174.14617315164,"massive",8.76823680231457,"spawner",8.9171,"hermaphrodite",0.424571245809157
"Acanthastrea echinata",45.9,"colonial",98.9914,1.18937173390651,0.506794309363304,1174.84087400634,"massive",8.03488407427817,"spawner",9.3539,"hermaphrodite",0.386675380755308
"Acanthastrea hemprichi",44.951,"colonial",113.9914,1.14361158983863,0.508401928410923,1174.84087400634,"massive",7.96155848586515,"spawner",9.1728,"hermaphrodite",0.401158264644617
"Acanthastrea minuta",30.733,"colonial",123.0178,0.15552847130678,0.474249523809524,1240.86112263788,"massive",6.36054771201249,"spawner",10.7405,"hermaphrodite",0.390724329674828
"Acanthastrea pachysepta",44.606,"colonial",50,4.28216750142965,0.513830511664004,1242.17306217534,"massive",9.42046771065964,"spawner",8.6335,"hermaphrodite",0.312241387725286
"Acanthastrea rotundoflora",41.4023333333333,"colonial",210.6553,1.45998096562942,0.517374761904762,1311.23546607847,"encrusting",11.3220021881115,"spawner",9.9229,"hermaphrodite",0.484791325390631
"Acanthastrea subechinata",46.287,"colonial",125.688,1.28679635091038,0.508151928410923,1174.14617315164,"massive",8.33883060561498,"spawner",9.0754,"hermaphrodite",0.4131199961816
"Acropora abrolhosensis",24.898,"colonial",1000,0.0113097335529233,0.515684658705203,49.8847495169775,"branching",96.4664477776833,"spawner",8.1691,"hermaphrodite",0.665818269635035
"Acropora abrotanoides",45.964,"colonial",300,0.00708821842466197,0.565332647328997,63.4553185365854,"branching",127.5,"spawner",9.8628,"hermaphrodite",0.47426850303191
"Acropora aculeus",32.969,"colonial",40,0.00636172512351933,0.491617127822529,97.6344456097562,"corymbose",64.8237268901332,"spawner",7.5878,"hermaphrodite",0.281750347463784
"Acropora acuminata",41.896,"colonial",200,0.00636172512351933,0.561203106398442,118.95011,"branching",52.1877126427439,"spawner",10.4762,"hermaphrodite",0.427450741371272
"Acropora anthocercis",45.399,"colonial",100,0.00865901475145687,0.540751163700077,19.3240939031339,"tables_or_plates",51.4623952629609,"spawner",7.45970000000001,"hermaphrodite",0.374119457286556
