RF,GR (cell/tick)
1.00,0.00
1.10,0.09
1.20,0.17
1.30,0.23
1.40,0.29
1.50,0.33
1.60,0.38
1.70,0.41
1.80,0.44
1.90,0.47
2.00,0.50
2.10,0.57
2.20,0.64
2.30,0.70
2.40,0.75
2.50,0.80
2.60,0.85
2.70,0.89
2.80,0.93
2.90,0.97
3.00,1.00
3.10,1.06
3.20,1.13
3.30,1.18
3.40,1.24
3.50,1.29
3.60,1.33
3.70,1.38
3.80,1.42
3.90,1.46
4.00,1.50
4.10,1.56
4.20,1.62
4.30,1.67
4.40,1.73
4.50,1.78
4.60,1.83
4.70,1.87
4.80,1.92
4.90,1.96
5.00,2.00
5.10,2.06
5.20,2.12
5.30,2.17
5.40,2.22
5.50,2.27
5.60,2.32
5.70,2.37
5.80,2.41
5.90,2.46
6.00,2.50
6.10,2.56
6.20,2.61
6.30,2.67
6.40,2.72
6.50,2.77
6.60,2.82
6.70,2.87
6.80,2.91
6.90,2.96
7.00,3.00
7.10,3.06
7.20,3.11
7.30,3.16
7.40,3.22
7.50,3.27
7.60,3.32
7.70,3.36
7.80,3.41
7.90,3.46
8.00,3.50
8.10,3.56
8.20,3.61
8.30,3.66
8.40,3.71
8.50,3.76
8.60,3.81
8.70,3.86
8.80,3.91
8.90,3.96
9.00,4.00
9.10,4.05
9.20,4.11
9.30,4.16
9.40,4.21
9.50,4.26
9.60,4.31
9.70,4.36
9.80,4.41
9.90,4.45
10.00,4.50
10.10,4.55
10.20,4.61
10.30,4.66
10.40,4.71
10.50,4.76
10.60,4.81
10.70,4.86
10.80,4.91
10.90,4.95
11.00,5.00
11.10,5.05
11.20,5.11
11.30,5.16
11.40,5.21
11.50,5.26
11.60,5.31
11.70,5.36
11.80,5.41
11.90,5.45
12.00,5.50
12.10,5.55
12.20,5.61
12.30,5.66
12.40,5.71
12.50,5.76
12.60,5.81
12.70,5.86
12.80,5.91
12.90,5.95
13.00,6.00
13.10,6.05
13.20,6.11
13.30,6.16
13.40,6.21
13.50,6.26
13.60,6.31
13.70,6.36
13.80,6.41
13.90,6.45
14.00,6.50
14.10,6.55
14.20,6.61
14.30,6.66
14.40,6.71
14.50,6.76
14.60,6.81
14.70,6.86
14.80,6.91
14.90,6.95
15.00,7.00
15.10,7.05
15.20,7.11
15.30,7.16
15.40,7.21
15.50,7.26
15.60,7.31
15.70,7.36
15.80,7.41
15.90,7.45
16.00,7.50
16.10,7.55
16.20,7.60
16.30,7.66
16.40,7.71
