"species","growthForm","growthFormClasses"
"Acanthastrea brevis","submassive","massive"
"Acanthastrea echinata","massive","massive"
"Acanthastrea hemprichi","massive","massive"
"Acanthastrea minuta","massive","massive"
"Acanthastrea pachysepta","massive","massive"
"Acanthastrea rotundoflora","encrusting","encrusting"
"Acanthastrea subechinata","massive","massive"
"Acropora abrolhosensis","branching_open","branching"
"Acropora abrotanoides","branching_open","branching"
"Acropora aculeus","corymbose","corymbose"
"Acropora acuminata","branching_open","branching"
"Acropora anthocercis","tables_or_plates","tables_or_plates"
"Acropora appressa","corymbose","corymbose"
"Acropora arabensis","digitate","digitate"
"Acropora arafura","branching_closed","branching"
"Acropora aspera","branching_open","branching"
"Acropora austera","branching_open","branching"
"Acropora awi","hispidose","branching"
"Acropora batunai","tables_or_plates","tables_or_plates"
"Acropora bifurcata","tables_or_plates","tables_or_plates"
"Acropora branchi","tables_or_plates","tables_or_plates"
"Acropora bushyensis","digitate","digitate"
"Acropora cardenae","branching_open","branching"
"Acropora carduus","hispidose","branching"
"Acropora caroliniana","tables_or_plates","tables_or_plates"
"Acropora cerealis","corymbose","corymbose"
"Acropora cervicornis","branching_open","branching"
"Acropora chesterfieldensis","branching_closed","branching"
"Acropora clathrata","tables_or_plates","tables_or_plates"
"Acropora cophodactyla","digitate","digitate"
"Acropora cytherea","tables_or_plates","tables_or_plates"
"Acropora dendrum","corymbose","corymbose"
"Acropora derawanensis","branching_open","branching"
"Acropora desalwii","corymbose","corymbose"
"Acropora digitifera","digitate","digitate"
"Acropora divaricata","tables_or_plates","tables_or_plates"
"Acropora donei","branching_open","branching"
"Acropora downingi","tables_or_plates","tables_or_plates"
"Acropora echinata","hispidose","branching"
"Acropora elegans","tables_or_plates","tables_or_plates"
"Acropora elegantula","branching_closed","branching"
"Acropora elseyi","hispidose","branching"
"Acropora eurystoma","corymbose","corymbose"
"Acropora exquisita","branching_closed","branching"
"Acropora fastigata","branching_closed","branching"
"Acropora fenneri","branching_open","branching"
"Acropora filiformis","branching_open","branching"
"Acropora florida","branching_open","branching"
"Acropora forskali","branching_open","branching"
"Acropora gemmifera","digitate","digitate"
"Acropora glauca","tables_or_plates","tables_or_plates"
"Acropora globiceps","digitate","digitate"
"Acropora gomezi","branching_open","branching"
"Acropora grandis","branching_open","branching"
"Acropora granulosa","tables_or_plates","tables_or_plates"
"Acropora haimei","branching_closed","branching"
"Acropora halmaherae","branching_open","branching"
"Acropora hemprichii","branching_open","branching"
"Acropora hoeksemai","branching_open","branching"
"Acropora horrida","branching_closed","branching"
"Acropora humilis","digitate","digitate"
"Acropora hyacinthus","tables_or_plates","tables_or_plates"
"Acropora indonesia","branching_open","branching"
"Acropora insignis","branching_closed","branching"
"Acropora intermedia","branching_open","branching"
"Acropora jacquelineae","tables_or_plates","tables_or_plates"
"Acropora japonica","tables_or_plates","tables_or_plates"
"Acropora khayranensis","tables_or_plates","tables_or_plates"
"Acropora kimbeensis","branching_closed","branching"
"Acropora kirstyae","branching_closed","branching"
"Acropora kosurini","branching_open","branching"
"Acropora lamarcki","tables_or_plates","tables_or_plates"
"Acropora latistella","corymbose","corymbose"
"Acropora lianae","branching_closed","branching"
"Acropora listeri","branching_closed","branching"
"Acropora loisetteae","branching_open","branching"
"Acropora lokani","branching_closed","branching"
"Acropora longicyathus","hispidose","branching"
"Acropora loripes","corymbose","corymbose"
"Acropora loveli","branching_open","branching"
"Acropora lutkeni","branching_open","branching"
"Acropora maryae","branching_closed","branching"
"Acropora microclados","corymbose","corymbose"
"Acropora microphthalma","branching_open","branching"
"Acropora millepora","corymbose","corymbose"
"Acropora minuta","encrusting","encrusting"
"Acropora mirabilis","corymbose","corymbose"
"Acropora monticulosa","digitate","digitate"
"Acropora mossambica","corymbose","corymbose"
"Acropora multiacuta","branching_closed","branching"
"Acropora muricata","branching_open","branching"
"Acropora nana","branching_closed","branching"
"Acropora nasuta","corymbose","corymbose"
"Acropora natalensis","tables_or_plates","tables_or_plates"
"Acropora navini","hispidose","branching"
"Acropora palmata","branching_open","branching"
"Acropora palmerae","encrusting","encrusting"
"Acropora paniculata","tables_or_plates","tables_or_plates"
"Acropora papillare","branching_open","branching"
"Acropora paragemmifera","digitate","digitate"
"Acropora parahemprichii","branching_closed","branching"
"Acropora parapharaonis","tables_or_plates","tables_or_plates"
"Acropora pectinata","branching_closed","branching"
"Acropora pharaonis","tables_or_plates","tables_or_plates"
"Acropora pichoni","tables_or_plates","tables_or_plates"
"Acropora plantaginea","corymbose","corymbose"
"Acropora plumosa","tables_or_plates","tables_or_plates"
"Acropora polystoma","corymbose","corymbose"
"Acropora prolifera","branching_closed","branching"
"Acropora proximalis","branching_closed","branching"
"Acropora pruinosa","branching_closed","branching"
"Acropora pulchra","branching_open","branching"
"Acropora retusa","digitate","digitate"
"Acropora ridzwani","tables_or_plates","tables_or_plates"
"Acropora robusta","branching_open","branching"
"Acropora rongelapensis","tables_or_plates","tables_or_plates"
"Acropora roseni","branching_open","branching"
"Acropora rudis","branching_open","branching"
