"species","modeLarvalDevelpment"
"Acanthastrea echinata","spawner"
"Acanthastrea pachysepta","spawner"
"Acropora abrolhosensis","spawner"
"Acropora abrotanoides","spawner"
"Acropora aculeus","spawner"
"Acropora anthocercis","spawner"
"Acropora appressa","spawner"
"Acropora arabensis","spawner"
"Acropora aspera","spawner"
"Acropora branchi","spawner"
"Acropora bushyensis","spawner"
"Acropora carduus","spawner"
"Acropora cerealis","spawner"
"Acropora cervicornis","spawner"
"Acropora clathrata","spawner"
"Acropora dendrum","spawner"
"Acropora digitifera","spawner"
"Acropora divaricata","spawner"
"Acropora donei","spawner"
"Acropora echinata","spawner"
"Acropora elseyi","spawner"
"Acropora eurystoma","spawner"
"Acropora florida","spawner"
"Acropora gemmifera","spawner"
"Acropora glauca","spawner"
"Acropora grandis","spawner"
"Acropora granulosa","spawner"
"Acropora haimei","spawner"
"Acropora hemprichii","spawner"
"Acropora horrida","spawner"
"Acropora humilis","spawner"
"Acropora hyacinthus","spawner"
"Acropora intermedia","spawner"
"Acropora japonica","spawner"
"Acropora lamarcki","spawner"
"Acropora latistella","spawner"
"Acropora listeri","spawner"
"Acropora longicyathus","spawner"
"Acropora loripes","spawner"
"Acropora loveli","spawner"
"Acropora lutkeni","spawner"
"Acropora maryae","spawner"
"Acropora microclados","spawner"
"Acropora microphthalma","spawner"
"Acropora millepora","spawner"
"Acropora monticulosa","spawner"
"Acropora muricata","spawner"
"Acropora nana","spawner"
"Acropora nasuta","spawner"
"Acropora palmata","spawner"
"Acropora palmerae","spawner"
"Acropora parapharaonis","spawner"
"Acropora pharaonis","spawner"
"Acropora plantaginea","spawner"
"Acropora polystoma","spawner"
"Acropora prolifera","spawner"
"Acropora pulchra","spawner"
"Acropora retusa","spawner"
"Acropora robusta","spawner"
"Acropora samoensis","spawner"
"Acropora sarmentosa","spawner"
"Acropora secale","spawner"
"Acropora selago","spawner"
"Acropora solitaryensis","spawner"
"Acropora spathulata","spawner"
"Acropora spicifera","spawner"
"Acropora squarrosa","spawner"
"Acropora striata","spawner"
"Acropora subulata","spawner"
"Acropora tenuis","spawner"
"Acropora tortuosa","spawner"
"Acropora valenciennesi","spawner"
"Acropora valida","spawner"
"Acropora vaughani","spawner"
"Acropora willisae","spawner"
"Acropora yongei","spawner"
"Agaricia agaricites","brooder"
"Agaricia fragilis","brooder"
"Agaricia humilis","brooder"
"Agaricia tenuifolia","brooder"
"Alveopora daedalea","brooder"
"Alveopora fenestrata","spawner"
"Alveopora gigas","spawner"
"Alveopora japonica","brooder"
"Alveopora tizardi","spawner"
"Alveopora verrilliana","spawner"
"Anacropora puertogalerae","spawner"
"Astrangia haimei","spawner"
"Astrangia poculata","spawner"
"Astrea curta","spawner"
"Astreopora gracilis","spawner"
"Astreopora listeri","spawner"
"Astreopora myriophthalma","spawner"
"Astroides calycularis","brooder"
"Australogyra zelli","spawner"
"Australophyllia wilsoni","spawner"
"Balanophyllia elegans","brooder"
"Balanophyllia europaea","brooder"
"Balanophyllia regia","brooder"
"Blastomussa wellsi","spawner"
"Caryophyllia ambrosia","spawner"
"Caryophyllia cyathus","brooder"
"Caryophyllia seguenzae","spawner"
"Caryophyllia smithii","spawner"
"Catalaphyllia jardinei","spawner"
"Caulastraea furcata","spawner"
"Cladocora caespitosa","spawner"
"Cladopsammia gracilis","brooder"
"Cladopsammia rolandi","brooder"
"Coelastrea aspera","spawner"
"Coelastrea palauensis","spawner"
"Colpophyllia natans","spawner"
"Coscinaraea columna","spawner"
"Coscinaraea marshae","spawner"
"Ctenactis crassa","spawner"
"Ctenactis echinata","spawner"
"Cycloseris distorta","spawner"
"Cynarina lacrymalis","spawner"
"Cyphastrea chalcidicum","spawner"
"Cyphastrea microphthalma","spawner"
"Cyphastrea ocellina","brooder"
"Cyphastrea serailia","spawner"
"Danafungia horrida","spawner"
"Danafungia scruposa","spawner"
"Dendrogyra cylindrus","spawner"
"Dichocoenia stokesii","spawner"
"Diploastrea heliopora","spawner"
"Diploria labyrinthiformis","spawner"
"Dipsastraea amicorum","spawner"
"Dipsastraea helianthoides","spawner"
"Dipsastraea laxa","spawner"
"Dipsastraea lizardensis","spawner"
"Dipsastraea matthaii","spawner"
"Dipsastraea pallida","spawner"
"Dipsastraea rotumana","spawner"
"Dipsastraea speciosa","spawner"
"Dipsastraea veroni","spawner"
"Echinophyllia aspera","spawner"
"Echinophyllia orpheensis","spawner"
"Echinopora ashmorensis","spawner"
"Echinopora gemmacea","spawner"
"Echinopora horrida","spawner"
