"species","mean_NumbPolyp_per_cm2","sd","n"
"Acropora cervicornis",25,NA,1
"Acropora gemmifera",126,NA,1
"Acropora hyacinthus",112,NA,1
"Acropora millepora",87,NA,1
"Acropora muricata",21,NA,1
"Acropora nana",50,NA,1
"Bernardpora stutchburyi",17.4,NA,1
"Coelastrea aspera",3.4,0.9,12
"Dipsastraea favus",1.273,NA,1
"Goniastrea favulus",3.9,1.2,18
"Goniastrea retiformis",8.5,NA,1
"Lobophyllia corymbosa",0.127,NA,1
"Montastraea cavernosa",1.2125,0.781894067846363,4
"Montipora capitata",158.5,NA,1
"Orbicella annularis",6.43333333333333,5.09542278258962,3
"Platygyra sinensis",4.1,0.7,25
"Pocillopora damicornis",53.4666666666667,17.7271919190077,3
"Pocillopora meandrina",66.4,NA,1
"Pocillopora verrucosa",129,NA,1
"Porites astreoides",18,NA,1
"Porites australiensis",38.197,NA,1
"Porites compressa",61,NA,1
"Porites lobata",76.7,NA,1
"Porites lutea",46.2343941176471,31.0512142809272,170
"Porites porites",23.8,1.69705627484771,2
"Stylophora pistillata",360,NA,1
