"species","sexual_system"
"Acanthastrea echinata","hermaphrodite"
"Acanthastrea pachysepta","hermaphrodite"
"Acropora abrolhosensis","hermaphrodite"
"Acropora abrotanoides","hermaphrodite"
"Acropora aculeus","hermaphrodite"
"Acropora anthocercis","hermaphrodite"
"Acropora appressa","hermaphrodite"
"Acropora arabensis","hermaphrodite"
"Acropora aspera","hermaphrodite"
"Acropora branchi","hermaphrodite"
"Acropora bushyensis","hermaphrodite"
"Acropora cerealis","hermaphrodite"
"Acropora cervicornis","hermaphrodite"
"Acropora clathrata","hermaphrodite"
"Acropora digitifera","hermaphrodite"
"Acropora divaricata","hermaphrodite"
"Acropora donei","hermaphrodite"
"Acropora echinata","hermaphrodite"
"Acropora elseyi","hermaphrodite"
"Acropora eurystoma","hermaphrodite"
"Acropora florida","hermaphrodite"
"Acropora gemmifera","hermaphrodite"
"Acropora glauca","hermaphrodite"
"Acropora globiceps","hermaphrodite"
"Acropora grandis","hermaphrodite"
"Acropora granulosa","hermaphrodite"
"Acropora haimei","hermaphrodite"
"Acropora hemprichii","hermaphrodite"
"Acropora horrida","hermaphrodite"
"Acropora humilis","hermaphrodite"
"Acropora hyacinthus","hermaphrodite"
"Acropora intermedia","hermaphrodite"
"Acropora lamarcki","hermaphrodite"
"Acropora latistella","hermaphrodite"
"Acropora listeri","hermaphrodite"
"Acropora longicyathus","hermaphrodite"
"Acropora loripes","hermaphrodite"
"Acropora loveli","hermaphrodite"
"Acropora lutkeni","hermaphrodite"
"Acropora maryae","hermaphrodite"
"Acropora microclados","hermaphrodite"
"Acropora microphthalma","hermaphrodite"
"Acropora millepora","hermaphrodite"
"Acropora monticulosa","hermaphrodite"
"Acropora muricata","hermaphrodite"
"Acropora nana","hermaphrodite"
"Acropora nasuta","hermaphrodite"
"Acropora palmata","hermaphrodite"
"Acropora palmerae","hermaphrodite"
"Acropora parapharaonis","hermaphrodite"
"Acropora pharaonis","hermaphrodite"
"Acropora plantaginea","hermaphrodite"
"Acropora polystoma","hermaphrodite"
"Acropora prolifera","hermaphrodite"
"Acropora pulchra","hermaphrodite"
"Acropora retusa","hermaphrodite"
"Acropora robusta","hermaphrodite"
"Acropora samoensis","hermaphrodite"
"Acropora sarmentosa","hermaphrodite"
"Acropora secale","hermaphrodite"
"Acropora selago","hermaphrodite"
"Acropora solitaryensis","hermaphrodite"
"Acropora spathulata","hermaphrodite"
"Acropora spicifera","hermaphrodite"
"Acropora squarrosa","hermaphrodite"
"Acropora striata","hermaphrodite"
"Acropora subglabra","hermaphrodite"
"Acropora subulata","hermaphrodite"
"Acropora tenuis","hermaphrodite"
"Acropora tortuosa","hermaphrodite"
"Acropora valenciennesi","hermaphrodite"
"Acropora valida","hermaphrodite"
"Acropora vaughani","hermaphrodite"
"Acropora willisae","hermaphrodite"
"Acropora yongei","hermaphrodite"
"Agaricia agaricites","gonochore"
"Agaricia humilis","gonochore"
"Alveopora daedalea","hermaphrodite"
"Alveopora gigas","hermaphrodite"
"Alveopora japonica","hermaphrodite"
"Alveopora verrilliana","hermaphrodite"
"Anacropora puertogalerae","hermaphrodite"
"Astrangia haimei","gonochore"
"Astrangia poculata","gonochore"
"Astrea curta","hermaphrodite"
"Astreopora gracilis","hermaphrodite"
"Astreopora listeri","hermaphrodite"
