"species","skeletalDensity_gcm3","sd","n"
"Acropora aspera",0.92,0.12,4
"Acropora austera",1.44,NA,1
"Acropora cervicornis",0.989804347826087,0.872945334390632,46
"Acropora digitifera",1.52,0.91,4
"Acropora gemmifera",1.47,0.08,2
"Acropora glauca",1.46,0.096,3
"Acropora horrida",0.86,0.1,3
"Acropora humilis",1.44944444444444,0.191101338279755,18
"Acropora hyacinthus",1.28,0.0832826512546281,6
"Acropora lamarcki",1.41,NA,1
"Acropora longicyathus",1.27,0.03,3
"Acropora muricata",1.48071428571429,0.42359700170203,14
"Acropora nasuta",1.4,NA,1
"Acropora palmata",1.89,0.16,3
"Acropora pulchra",1.9,0.02,3
"Acropora solitaryensis",1.45,0.096,6
"Acropora valida",1.52571428571429,0.326777213004174,7
"Agaricia agaricites",2.02358974358974,0.145936185201671,39
"Agaricia fragilis",2.31,0.16583123951777,11
"Agaricia lamarcki",2.28128205128205,0.13511969028785,39
"Agaricia undata",2.45076923076923,0.116021320219872,13
"Colpophyllia natans",0.84,0.0983333333333333,6
"Dichocoenia stokesii",2.04,0.035,7
"Diploria labyrinthiformis",1.30781609195402,0.0782136102664097,87
"Dipsastraea pallida",1.43,0.0383333333333333,90
"Fungia fungites",1.99,NA,1
"Gardineroseris planulata",1.63,0.114,9
"Goniastrea retiformis",1.7,0.0633333333333333,90
"Helioseris cucullata",2.23823529411765,0.159631387674216,34
"Hydnophora microconos",1.37,0.2,3
"Isopora palifera",1.52,0.21555509736492,6
"Leptastrea purpurea",1.63,0.28,3
"Leptoria phrygia",1.61,0.0881816307401944,6
"Montastraea cavernosa",1.6,0.134108901152836,76
"Orbicella annularis",1.6349446494465,0.436072959492756,271
"Orbicella faveolata",1.18,NA,1
"Pavona clavus",1.57410714285714,0.291306410760029,56
"Pavona gigantea",1.68630434782609,0.3274503858579,46
"Pavona varians",1.965,0.195164033571762,12
"Pocillopora damicornis",1.94583333333333,0.174429586239134,24
"Pocillopora elegans",1.92733333333333,0.0684559874826317,15
"Pocillopora meandrina",1.42,NA,1
"Porites annae",1.23,0.21555509736492,6
"Porites astreoides",1.53793296089385,0.168281277260148,179
"Porites australiensis",1.325,NA,1
"Porites cylindrica",1.40666666666667,0.190068993321431,9
"Porites furcata",1.05,NA,1
"Porites lobata",1.41937142857143,0.133259304523816,105
"Porites lutea",1.28748507462687,0.188331256324831,268
"Porites mayeri",1.17,0.10770329614269,4
"Porites nodifera",1.35,NA,1
"Porites solida",1.194,NA,1
"Seriatopora hystrix",2.2,0.440908153700972,6
"Stylophora pistillata",1.70258708326667,0.227249306894136,30
