"nameSp","nameSp_checked"
"Acanthastrea bowerbanki","Homophyllia bowerbanki"
"Acanthastrea brevis","Acanthastrea brevis"
"Acanthastrea echinata","Acanthastrea echinata"
"Acanthastrea faviaformis","Dipsastraea faviaformis"
"Acanthastrea hemprichi","Acanthastrea hemprichi"
"Acanthastrea hemprichii","Acanthastrea hemprichi"
"Acanthastrea hillae","Homophyllia bowerbanki"
"Acanthastrea ishigakiensis","Lobophyllia ishigakiensis"
"Acanthastrea lordhowensis","Micromussa lordhowensis"
"Acanthastrea maxima","Acanthastrea maxima"
"Acanthastrea regularis","Micromussa regularis"
"Acanthastrea rotundoflora","Acanthastrea rotundoflora"
"Acanthastrea subechinata","Acanthastrea subechinata"
"Acropora abrolhosensis","Acropora abrolhosensis"
"Acropora abrotanoides","Acropora abrotanoides"
"Acropora aculeus","Acropora aculeus"
"Acropora acuminata","Acropora acuminata"
"Acropora akajimensis","Acropora donei"
"Acropora anthocercis","Acropora anthocercis"
"Acropora appressa","Acropora appressa"
"Acropora arabensis","Acropora arabensis"
"Acropora arafura","Acropora arafura"
"Acropora aspera","Acropora aspera"
"Acropora austera","Acropora austera"
"Acropora awi","Acropora awi"
"Acropora azurea","Acropora nana"
"Acropora batunai","Acropora batunai"
"Acropora bifurcata","Acropora bifurcata"
"Acropora branchi","Acropora branchi"
"Acropora bushyensis","Acropora bushyensis"
"Acropora cardenae","Acropora cardenae"
"Acropora carduus","Acropora carduus"
"Acropora caroliniana","Acropora caroliniana"
"Acropora cerealis","Acropora cerealis"
"Acropora cervicornis","Acropora cervicornis"
"Acropora chesterfieldensis","Acropora chesterfieldensis"
"Acropora clathrata","Acropora clathrata"
"Acropora convexa","Acropora millepora"
"Acropora cophodactyla","Acropora cophodactyla"
"Acropora copiosa","Acropora muricata"
"Acropora cylindrica","Isopora togianensis"
"Acropora cytherea","Acropora cytherea"
"Acropora dendrum","Acropora dendrum"
"Acropora derawanensis","Acropora derawanensis"
"Acropora desalwii","Acropora desalwii"
"Acropora digitifera","Acropora digitifera"
"Acropora divaricata","Acropora divaricata"
"Acropora donei","Acropora donei"
"Acropora downingi","Acropora downingi"
"Acropora echinata","Acropora echinata"
"Acropora efflorescens","Acropora cytherea"
"Acropora elegans","Acropora elegans"
"Acropora elegantula","Acropora elegantula"
"Acropora elseyi","Acropora elseyi"
"Acropora eurystoma","Acropora eurystoma"
"Acropora exquisita","Acropora exquisita"
"Acropora fastigata","Acropora fastigata"
"Acropora fenneri","Acropora fenneri"
"Acropora filiformis","Acropora filiformis"
"Acropora florida","Acropora florida"
"Acropora formosa","Acropora muricata"
"Acropora forskali","Acropora forskali"
"Acropora gemmifera","Acropora gemmifera"
"Acropora glauca","Acropora glauca"
"Acropora globiceps","Acropora globiceps"
"Acropora gomezi","Acropora gomezi"
"Acropora grandis","Acropora grandis"
"Acropora granulosa","Acropora granulosa"
"Acropora haimei","Acropora haimei"
"Acropora halmaherae","Acropora halmaherae"
"Acropora hemprichii","Acropora hemprichii"
"Acropora hoeksemai","Acropora hoeksemai"
"Acropora horrida","Acropora horrida"
"Acropora humilis","Acropora humilis"
"Acropora hyacinthus","Acropora hyacinthus"
"Acropora indonesia","Acropora indonesia"
"Acropora inermis","Acropora microphthalma"
"Acropora insignis","Acropora insignis"
"Acropora intermedia","Acropora intermedia"
"Acropora irregularis","Acropora abrotanoides"
"Acropora jacquelineae","Acropora jacquelineae"
"Acropora japonica","Acropora japonica"
"Acropora khayranensis","Acropora khayranensis"
"Acropora kimbeensis","Acropora kimbeensis"
"Acropora kirstyae","Acropora kirstyae"
"Acropora kosurini","Acropora kosurini"
"Acropora lamarcki","Acropora lamarcki"
"Acropora latistella","Acropora latistella"
"Acropora lianae","Acropora lianae"
"Acropora listeri","Acropora listeri"
"Acropora loisetteae","Acropora loisetteae"
"Acropora lokani","Acropora lokani"
"Acropora longicyathus","Acropora longicyathus"
"Acropora loripes","Acropora loripes"
"Acropora loveli","Acropora loveli"
"Acropora lovelli","Acropora loveli"
"Acropora lutkeni","Acropora lutkeni"
"Acropora macrostoma","Acropora tenuis"
"Acropora magnifica","Acropora elegans"
"Acropora maryae","Acropora maryae"
"Acropora massawensis","Acropora polystoma"
"Acropora meridiana","Isopora brueggemanni"
"Acropora microclados","Acropora microclados"
"Acropora microphthalma","Acropora microphthalma"
"Acropora millepora","Acropora millepora"
"Acropora minuta","Acropora minuta"
"Acropora mirabilis","Acropora mirabilis"
"Acropora monticulosa","Acropora monticulosa"
"Acropora mossambica","Acropora mossambica"
"Acropora multiacuta","Acropora multiacuta"
"Acropora muricata","Acropora muricata"
"Acropora nana","Acropora nana"
"Acropora nasuta","Acropora nasuta"
"Acropora natalensis","Acropora natalensis"
"Acropora navini","Acropora navini"
"Acropora ocellata","Acropora humilis"
"Acropora orbicularis","Acropora clathrata"
"Acropora pagoensis","Acropora eurystoma"
"Acropora palifera","Isopora palifera"
"Acropora palmata","Acropora palmata"
"Acropora palmerae","Acropora palmerae"
"Acropora paniculata","Acropora paniculata"
"Acropora papillare","Acropora papillare"
"Acropora paragemmifera","Acropora paragemmifera"
"Acropora parahemprichii","Acropora parahemprichii"
"Acropora parapharaonis","Acropora parapharaonis"
"Acropora parilis","Acropora horrida"
"Acropora pectinatus","Acropora pectinata"
"Acropora pharaonis","Acropora pharaonis"
"Acropora pichoni","Acropora pichoni"
"Acropora pinguis","Acropora robusta"
"Acropora plana","Acropora tenuis"
"Acropora plantaginea","Acropora plantaginea"
"Acropora plumosa","Acropora plumosa"
