"species","mean_Symb_density (units/cm2)","sd","n"
"Acropora aspera",1500000,NA,1
"Acropora cervicornis",1532896.02,846446.06,452
"Acropora florida",1890000,NA,1
"Acropora humilis",1950000,NA,1
"Acropora hyacinthus",49073333.33,82122421.62,3
"Acropora insignis",1490000,NA,1
"Acropora muricata",1583200,986192.84,15
"Acropora palmata",2319873.76,1438850.73,404
"Acropora pulchra",2230000,NA,1
"Acropora robusta",2030000,NA,1
"Acropora solitaryensis",2100000,NA,1
"Coelastrea aspera",6900000,NA,1
"Goniastrea edwardsi",368000,NA,1
"Goniastrea pectinata",1920000,NA,1
"Goniastrea retiformis",2880000,NA,1
"Isopora brueggemanni",2150000,NA,1
"Isopora palifera",4e+06,2828427.12,2
"Montipora digitata",2470000,NA,1
"Montipora monasteriata",1135200,834974.67,5
"Montipora stellata",960000,NA,1
"Montipora turgescens",3320000,NA,1
"Orbicella annularis",2250406.95,1097591.06,1064
"Orbicella faveolata",3095399.29,1735110.07,1122
"Orbicella franksi",1682027.03,805377.98,444
"Pocillopora damicornis",826000,636851.63,5
"Pocillopora verrucosa",1710000,NA,1
"Porites astreoides",2767811.52,1453335.87,191
"Porites australiensis",3266666.67,1171893.06,3
"Porites cylindrica",2140000,NA,1
"Porites lutea",1988000,1901214.22,5
"Porites porites",2615000,445477.27,2
"Porites pukoensis",3650000,NA,1
"Porites rus",2890000,NA,1
"Porites solida",50100000,NA,1
"Siderastrea siderea",1271780.08,949349.56,241
