"species","numberClades","meanThermoRank","maxThermoRank"
"Acanthastrea echinata",4,36.2175,53.12
"Acanthastrea hemprichi",2,23.965,25.98
"Acropora abrolhosensis",1,21.72,21.72
"Acropora aculeus",2,32.745,39.51
"Acropora appressa",3,40.9733333333333,53.12
"Acropora aspera",5,30.73,53.12
"Acropora austera",4,17.47,25.98
"Acropora cerealis",3,20.29,25.98
"Acropora cervicornis",4,39.1075,53.12
"Acropora clathrata",2,17.38,25.98
"Acropora cytherea",5,24.852,35.71
"Acropora digitifera",5,33.318,53.12
"Acropora divaricata",3,20.29,25.98
"Acropora donei",2,23.85,25.98
"Acropora elseyi",2,17.38,25.98
"Acropora exquisita",1,25.98,25.98
"Acropora florida",4,17.4125,25.98
"Acropora gemmifera",3,18.8266666666667,25.98
"Acropora glauca",2,17.38,25.98
"Acropora grandis",2,19.575,25.98
"Acropora granulosa",2,39.88,40.25
"Acropora horrida",2,17.38,25.98
"Acropora humilis",6,21.8516666666667,39.51
"Acropora hyacinthus",5,21,39.51
"Acropora intermedia",5,18.32,25.98
"Acropora latistella",6,37.8783333333333,55.32
"Acropora listeri",1,25.98,25.98
"Acropora longicyathus",1,25.98,25.98
"Acropora loripes",2,17.38,25.98
"Acropora lutkeni",2,17.38,25.98
"Acropora microclados",1,25.98,25.98
"Acropora microphthalma",3,26.4666666666667,40.25
"Acropora millepora",5,28.172,40.25
"Acropora monticulosa",2,19.575,25.98
"Acropora muricata",5,21.878,39.51
"Acropora nasuta",4,20.705,25.98
"Acropora palmata",1,35.86,35.86
"Acropora polystoma",1,25.98,25.98
"Acropora pulchra",2,48.47,53.12
"Acropora retusa",1,25.98,25.98
"Acropora robusta",2,17.38,25.98
"Acropora rudis",2,17.38,25.98
"Acropora samoensis",4,17.47,25.98
"Acropora sarmentosa",1,25.98,25.98
"Acropora secale",5,18.32,25.98
"Acropora selago",1,25.98,25.98
"Acropora solitaryensis",3,18.9033333333333,25.98
"Acropora spicifera",2,23.965,25.98
"Acropora subglabra",1,25.98,25.98
"Acropora subulata",6,27.8033333333333,53.12
"Acropora tenuis",7,25.0957142857143,43.82
"Acropora torresiana",1,25.98,25.98
"Acropora valida",8,28.50625,53.12
"Acropora verweyi",1,21.72,21.72
"Acropora yongei",1,25.98,25.98
"Agaricia agaricites",2,24.805,25.98
"Agaricia fragilis",2,24.805,25.98
"Agaricia humilis",5,33.654,53.12
"Agaricia lamarcki",1,25.98,25.98
"Agaricia tenuifolia",1,25.98,25.98
