"species","age_at_maturity","aggressiveness","bleaching_response_index","chlorophyll_a_concentration","coloniality","colony_max_diameter","corallite_area","dark_respiration","egg_diameter","fecundity_polyp","growth_form","growthFormClasses","growth_rate","lipid_content","mode_larval_development","reduced_scattering_coefficient","size_at_maturity","skeletal_density","symbiodinium_density","tissue_thickness","sexual_system","zooxanthellae"
"Acanthastrea brevis",NA,NA,NA,NA,"colonial",NA,NA,NA,NA,NA,"submassive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Acanthastrea echinata",NA,44.6,42.14,NA,"colonial",NA,NA,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Acanthastrea hemprichi",NA,NA,0,NA,"colonial",NA,NA,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Acanthastrea minuta",NA,NA,NA,NA,"colonial",NA,0.15552847130678,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Acanthastrea pachysepta",NA,NA,0,NA,"colonial",50,4.28216750142965,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Acanthastrea rotundoflora",NA,NA,NA,NA,"colonial",NA,NA,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Acanthastrea subechinata",NA,NA,NA,NA,"colonial",NA,1.28679635091038,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Acropora abrolhosensis",NA,NA,NA,NA,"colonial",1000,0.0113097335529233,NA,NA,NA,"branching_open","branching",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Acropora abrotanoides",NA,NA,20,NA,"colonial",300,0.00708821842466197,NA,NA,NA,"branching_open","branching",127.5,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Acropora aculeus",NA,NA,17.69,NA,"colonial",40,0.00636172512351933,NA,NA,NA,"corymbose","corymbose",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Acropora acuminata",NA,NA,35.75,NA,"colonial",200,0.00636172512351933,NA,NA,NA,"branching_open","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Acropora anthocercis",NA,NA,0,NA,"colonial",100,0.00865901475145687,NA,NA,NA,"tables_or_plates","tables_or_plates",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Acropora appressa",NA,NA,NA,NA,"colonial",NA,NA,NA,NA,NA,"corymbose","corymbose",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Acropora arabensis",NA,NA,61.6,NA,"colonial",NA,0.0122718463030851,NA,NA,NA,"digitate","digitate",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Acropora arafura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Acropora aspera",NA,55.9,40.75,NA,"colonial",NA,0.01539380400259,NA,NA,NA,"branching_open","branching",47.7436162361624,NA,"spawner",7.06,NA,0.92,1500000,1,"hermaphrodite","zooxanthellate"
"Acropora austera",NA,NA,23.26,NA,"colonial",NA,0.00865901475145687,NA,NA,NA,"branching_open","branching",62.9,NA,NA,NA,NA,1.44,NA,NA,NA,"zooxanthellate"
"Acropora awi",NA,NA,NA,NA,"colonial",150,0.00567450173054656,NA,NA,NA,"hispidose","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Acropora batunai",NA,NA,NA,NA,"colonial",125,0.000962112750161874,NA,NA,NA,"tables_or_plates","tables_or_plates",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Acropora bifurcata",NA,NA,NA,NA,"colonial",NA,NA,NA,NA,NA,"tables_or_plates","tables_or_plates",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Acropora branchi",NA,NA,NA,NA,"colonial",NA,NA,NA,NA,NA,"tables_or_plates","tables_or_plates",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Acropora bushyensis",NA,NA,NA,NA,"colonial",25,0.00950331777710913,NA,NA,NA,"digitate","digitate",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
