"species","zooanthellae"
"Acanthastrea brevis","zooxanthellate"
"Acanthastrea echinata","zooxanthellate"
"Acanthastrea hemprichi","zooxanthellate"
"Acanthastrea minuta","zooxanthellate"
"Acanthastrea pachysepta","zooxanthellate"
"Acanthastrea rotundoflora","zooxanthellate"
"Acanthastrea subechinata","zooxanthellate"
"Acropora abrolhosensis","zooxanthellate"
"Acropora abrotanoides","zooxanthellate"
"Acropora aculeus","zooxanthellate"
"Acropora acuminata","zooxanthellate"
"Acropora anthocercis","zooxanthellate"
"Acropora appressa","zooxanthellate"
"Acropora arabensis","zooxanthellate"
"Acropora arafura","zooxanthellate"
"Acropora aspera","zooxanthellate"
"Acropora austera","zooxanthellate"
"Acropora awi","zooxanthellate"
"Acropora batunai","zooxanthellate"
"Acropora bifurcata","zooxanthellate"
"Acropora branchi","zooxanthellate"
"Acropora bushyensis","zooxanthellate"
"Acropora cardenae","zooxanthellate"
"Acropora carduus","zooxanthellate"
"Acropora caroliniana","zooxanthellate"
"Acropora cerealis","zooxanthellate"
"Acropora cervicornis","zooxanthellate"
"Acropora chesterfieldensis","zooxanthellate"
"Acropora clathrata","zooxanthellate"
"Acropora cophodactyla","zooxanthellate"
"Acropora cytherea","zooxanthellate"
"Acropora dendrum","zooxanthellate"
"Acropora derawanensis","zooxanthellate"
"Acropora desalwii","zooxanthellate"
"Acropora digitifera","zooxanthellate"
"Acropora divaricata","zooxanthellate"
"Acropora donei","zooxanthellate"
"Acropora downingi","zooxanthellate"
"Acropora echinata","zooxanthellate"
"Acropora elegans","zooxanthellate"
"Acropora elegantula","zooxanthellate"
"Acropora elseyi","zooxanthellate"
"Acropora eurystoma","zooxanthellate"
"Acropora exquisita","zooxanthellate"
"Acropora fastigata","zooxanthellate"
"Acropora fenneri","zooxanthellate"
"Acropora filiformis","zooxanthellate"
"Acropora florida","zooxanthellate"
"Acropora forskali","zooxanthellate"
"Acropora gemmifera","zooxanthellate"
"Acropora glauca","zooxanthellate"
"Acropora globiceps","zooxanthellate"
"Acropora gomezi","zooxanthellate"
"Acropora grandis","zooxanthellate"
"Acropora granulosa","zooxanthellate"
"Acropora haimei","zooxanthellate"
"Acropora halmaherae","zooxanthellate"
"Acropora hemprichii","zooxanthellate"
"Acropora hoeksemai","zooxanthellate"
"Acropora horrida","zooxanthellate"
"Acropora humilis","zooxanthellate"
"Acropora hyacinthus","zooxanthellate"
"Acropora indonesia","zooxanthellate"
"Acropora insignis","zooxanthellate"
"Acropora intermedia","zooxanthellate"
"Acropora jacquelineae","zooxanthellate"
"Acropora japonica","zooxanthellate"
"Acropora khayranensis","zooxanthellate"
"Acropora kimbeensis","zooxanthellate"
"Acropora kirstyae","zooxanthellate"
"Acropora kosurini","zooxanthellate"
"Acropora lamarcki","zooxanthellate"
"Acropora latistella","zooxanthellate"
"Acropora lianae","zooxanthellate"
"Acropora listeri","zooxanthellate"
"Acropora loisetteae","zooxanthellate"
"Acropora lokani","zooxanthellate"
"Acropora longicyathus","zooxanthellate"
"Acropora loripes","zooxanthellate"
"Acropora loveli","zooxanthellate"
"Acropora lutkeni","zooxanthellate"
"Acropora maryae","zooxanthellate"
"Acropora microclados","zooxanthellate"
"Acropora microphthalma","zooxanthellate"
"Acropora millepora","zooxanthellate"
