"observation_id","access","user_id","specie_id","specie_name","location_id","location_name","latitude","longitude","resource_id","resource_secondary_id","measurement_id","trait_id","trait_name","standard_id","standard_unit","methodology_id","methodology_name","value","value_type","precision","precision_type","precision_upper","replicates","notes"
109426,1,31,16,"Acropora abrolhosensis",1,"Global estimate",NA,NA,677,NA,123873,182,"Corallite width maximum",28,"mm",22,"Derived from textual description",1.5,"raw_value",NA,NA,NA,NA,NA
109428,1,31,17,"Acropora abrotanoides",1,"Global estimate",NA,NA,677,NA,123875,182,"Corallite width maximum",28,"mm",22,"Derived from textual description",1.2,"raw_value",NA,NA,NA,NA,NA
109430,1,31,18,"Acropora aculeus",1,"Global estimate",NA,NA,677,NA,123877,182,"Corallite width maximum",28,"mm",22,"Derived from textual description",1,"raw_value",NA,NA,NA,NA,NA
109432,1,31,19,"Acropora acuminata",1,"Global estimate",NA,NA,677,NA,123879,182,"Corallite width maximum",28,"mm",22,"Derived from textual description",1.2,"raw_value",NA,NA,NA,NA,NA
109434,1,31,21,"Acropora anthocercis",1,"Global estimate",NA,NA,677,NA,123881,182,"Corallite width maximum",28,"mm",22,"Derived from textual description",1.3,"raw_value",NA,NA,NA,NA,NA
109436,1,31,23,"Acropora arabensis",1,"Global estimate",NA,NA,677,NA,123883,182,"Corallite width maximum",28,"mm",22,"Derived from textual description",2,"raw_value",NA,NA,NA,NA,NA
109438,1,31,24,"Acropora aspera",1,"Global estimate",NA,NA,677,NA,123885,182,"Corallite width maximum",28,"mm",22,"Derived from textual description",1.8,"raw_value",NA,NA,NA,NA,NA
109440,1,31,25,"Acropora austera",1,"Global estimate",NA,NA,677,NA,123887,182,"Corallite width maximum",28,"mm",22,"Derived from textual description",1.5,"raw_value",NA,NA,NA,NA,NA
109442,1,31,26,"Acropora awi",1,"Global estimate",NA,NA,677,NA,123889,182,"Corallite width maximum",28,"mm",22,"Derived from textual description",1,"raw_value",NA,NA,NA,NA,NA
109444,1,31,28,"Acropora batunai",1,"Global estimate",NA,NA,677,NA,123891,182,"Corallite width maximum",28,"mm",22,"Derived from textual description",0.5,"raw_value",NA,NA,NA,NA,NA
109446,1,31,32,"Acropora bushyensis",1,"Global estimate",NA,NA,677,NA,123893,182,"Corallite width maximum",28,"mm",22,"Derived from textual description",1.5,"raw_value",NA,NA,NA,NA,NA
109448,1,31,34,"Acropora carduus",1,"Global estimate",NA,NA,677,NA,123895,182,"Corallite width maximum",28,"mm",22,"Derived from textual description",0.9,"raw_value",NA,NA,NA,NA,NA
109450,1,31,35,"Acropora caroliniana",1,"Global estimate",NA,NA,677,NA,123897,182,"Corallite width maximum",28,"mm",22,"Derived from textual description",1,"raw_value",NA,NA,NA,NA,NA
109452,1,31,36,"Acropora cerealis",1,"Global estimate",NA,NA,677,NA,123899,182,"Corallite width maximum",28,"mm",22,"Derived from textual description",0.8,"raw_value",NA,NA,NA,NA,NA
109454,1,31,37,"Acropora cervicornis",1,"Global estimate",NA,NA,677,NA,123901,182,"Corallite width maximum",28,"mm",22,"Derived from textual description",1.7,"raw_value",NA,NA,NA,NA,NA
109456,1,31,38,"Acropora chesterfieldensis",1,"Global estimate",NA,NA,677,NA,123903,182,"Corallite width maximum",28,"mm",22,"Derived from textual description",1,"raw_value",NA,NA,NA,NA,NA
109458,1,31,39,"Acropora clathrata",1,"Global estimate",NA,NA,677,NA,123905,182,"Corallite width maximum",28,"mm",22,"Derived from textual description",0.9,"raw_value",NA,NA,NA,NA,NA
109460,1,31,46,"Acropora cytherea",1,"Global estimate",NA,NA,677,NA,123907,182,"Corallite width maximum",28,"mm",22,"Derived from textual description",1,"raw_value",NA,NA,NA,NA,NA
109462,1,31,47,"Acropora dendrum",1,"Global estimate",NA,NA,677,NA,123909,182,"Corallite width maximum",28,"mm",22,"Derived from textual description",1.2,"raw_value",NA,NA,NA,NA,NA
109464,1,31,48,"Acropora derawanensis",1,"Global estimate",NA,NA,677,NA,123911,182,"Corallite width maximum",28,"mm",22,"Derived from textual description",1,"raw_value",NA,NA,NA,NA,NA
109466,1,31,49,"Acropora desalwii",1,"Global estimate",NA,NA,677,NA,123913,182,"Corallite width maximum",28,"mm",22,"Derived from textual description",0.8,"raw_value",NA,NA,NA,NA,NA
109468,1,31,50,"Acropora digitifera",1,"Global estimate",NA,NA,677,NA,123915,182,"Corallite width maximum",28,"mm",22,"Derived from textual description",1.6,"raw_value",NA,NA,NA,NA,NA
109470,1,31,51,"Acropora divaricata",1,"Global estimate",NA,NA,677,NA,123917,182,"Corallite width maximum",28,"mm",22,"Derived from textual description",1.1,"raw_value",NA,NA,NA,NA,NA
109472,1,31,52,"Acropora donei",1,"Global estimate",NA,NA,677,NA,123919,182,"Corallite width maximum",28,"mm",22,"Derived from textual description",1.4,"raw_value",NA,NA,NA,NA,NA
109474,1,31,53,"Acropora downingi",1,"Global estimate",NA,NA,677,NA,123921,182,"Corallite width maximum",28,"mm",22,"Derived from textual description",1,"raw_value",NA,NA,NA,NA,NA
109476,1,31,54,"Acropora echinata",1,"Global estimate",NA,NA,677,NA,123923,182,"Corallite width maximum",28,"mm",22,"Derived from textual description",1,"raw_value",NA,NA,NA,NA,NA
109478,1,31,56,"Acropora elegans",1,"Global estimate",NA,NA,677,NA,123925,182,"Corallite width maximum",28,"mm",22,"Derived from textual description",0.8,"raw_value",NA,NA,NA,NA,NA
