"observation_id","access","user_id","specie_id","specie_name","location_id","location_name","latitude","longitude","resource_id","resource_secondary_id","measurement_id","trait_id","trait_name","standard_id","standard_unit","methodology_id","methodology_name","value","value_type","precision","precision_type","precision_upper","replicates","notes"
109423,1,31,14,"Acanthastrea subechinata",1,"Global estimate",NA,NA,65,NA,123870,181,"Corallite width minimum",28,"mm",15,"Image analysis",12.8,"raw_value",NA,NA,NA,NA,NA
109425,1,31,16,"Acropora abrolhosensis",1,"Global estimate",NA,NA,677,NA,123872,181,"Corallite width minimum",28,"mm",22,"Derived from textual description",0.9,"raw_value",NA,NA,NA,NA,NA
109427,1,31,17,"Acropora abrotanoides",1,"Global estimate",NA,NA,677,NA,123874,181,"Corallite width minimum",28,"mm",22,"Derived from textual description",0.7,"raw_value",NA,NA,NA,NA,NA
109429,1,31,18,"Acropora aculeus",1,"Global estimate",NA,NA,677,NA,123876,181,"Corallite width minimum",28,"mm",22,"Derived from textual description",0.8,"raw_value",NA,NA,NA,NA,NA
109431,1,31,19,"Acropora acuminata",1,"Global estimate",NA,NA,677,NA,123878,181,"Corallite width minimum",28,"mm",22,"Derived from textual description",0.6,"raw_value",NA,NA,NA,NA,NA
109433,1,31,21,"Acropora anthocercis",1,"Global estimate",NA,NA,677,NA,123880,181,"Corallite width minimum",28,"mm",22,"Derived from textual description",0.8,"raw_value",NA,NA,NA,NA,NA
109435,1,31,23,"Acropora arabensis",1,"Global estimate",NA,NA,677,NA,123882,181,"Corallite width minimum",28,"mm",22,"Derived from textual description",0.5,"raw_value",NA,NA,NA,NA,NA
109437,1,31,24,"Acropora aspera",1,"Global estimate",NA,NA,677,NA,123884,181,"Corallite width minimum",28,"mm",22,"Derived from textual description",1,"raw_value",NA,NA,NA,NA,NA
109439,1,31,25,"Acropora austera",1,"Global estimate",NA,NA,677,NA,123886,181,"Corallite width minimum",28,"mm",22,"Derived from textual description",0.6,"raw_value",NA,NA,NA,NA,NA
109441,1,31,26,"Acropora awi",1,"Global estimate",NA,NA,677,NA,123888,181,"Corallite width minimum",28,"mm",22,"Derived from textual description",0.7,"raw_value",NA,NA,NA,NA,NA
