"observation_id","access","user_id","specie_id","specie_name","location_id","location_name","latitude","longitude","resource_id","resource_secondary_id","measurement_id","trait_id","trait_name","standard_id","standard_unit","methodology_id","methodology_name","value","value_type","precision","precision_type","precision_upper","replicates","notes"
137966,1,9,80,"Acropora hyacinthus",178,"Lizard Island",-14.6689,145.4594,192,NA,178972,217,"Egg size",77,"mm^3",NA,NA,"0.0493","raw_value",NA,"",NA,NA,"data from Figure 3a"
137966,1,9,80,"Acropora hyacinthus",178,"Lizard Island",-14.6689,145.4594,192,NA,178971,212,"Ratio of female to male gonads",66,"x:y",NA,NA,"1.5867","raw_value",NA,"",NA,NA,"data from Figure 3d"
137966,1,9,80,"Acropora hyacinthus",178,"Lizard Island",-14.6689,145.4594,192,NA,178970,155,"Colony area",57,"cm^2",NA,NA,"145.2780494","raw_value",NA,"",NA,NA,"data from Figure 3a and 3d"
137966,1,9,80,"Acropora hyacinthus",178,"Lizard Island",-14.6689,145.4594,192,NA,178969,151,"Season",10,"cat",NA,NA,"Nov","raw_value",NA,"",NA,NA,""
137966,1,9,80,"Acropora hyacinthus",178,"Lizard Island",-14.6689,145.4594,192,NA,178968,143,"Water depth",9,"m",NA,NA,"2","median",1,"range",3,NA,""
137966,1,9,80,"Acropora hyacinthus",178,"Lizard Island",-14.6689,145.4594,192,NA,178967,142,"Habitat type",10,"cat",NA,NA,"crest","raw_value",NA,"",NA,NA,""
137967,1,9,80,"Acropora hyacinthus",178,"Lizard Island",-14.6689,145.4594,192,NA,178978,217,"Egg size",77,"mm^3",NA,NA,"0.0774","raw_value",NA,"",NA,NA,"data from Figure 3a"
137967,1,9,80,"Acropora hyacinthus",178,"Lizard Island",-14.6689,145.4594,192,NA,178977,212,"Ratio of female to male gonads",66,"x:y",NA,NA,"1.8131","raw_value",NA,"",NA,NA,"data from Figure 3d"
137967,1,9,80,"Acropora hyacinthus",178,"Lizard Island",-14.6689,145.4594,192,NA,178976,155,"Colony area",57,"cm^2",NA,NA,"178.9369374","raw_value",NA,"",NA,NA,"data from Figure 3a and 3d"
137967,1,9,80,"Acropora hyacinthus",178,"Lizard Island",-14.6689,145.4594,192,NA,178975,151,"Season",10,"cat",NA,NA,"Nov","raw_value",NA,"",NA,NA,""
137967,1,9,80,"Acropora hyacinthus",178,"Lizard Island",-14.6689,145.4594,192,NA,178974,143,"Water depth",9,"m",NA,NA,"2","median",1,"range",3,NA,""
137967,1,9,80,"Acropora hyacinthus",178,"Lizard Island",-14.6689,145.4594,192,NA,178973,142,"Habitat type",10,"cat",NA,NA,"crest","raw_value",NA,"",NA,NA,""
