"species","age_at_maturity","aggressiveness","bleaching_response_index","chlorophyll_a_concentration","coloniality","colony_max_diameter","corallite_area","dark_respiration","egg_diameter","fecundity_polyp","growth_form","growthFormClasses","growth_rate","lipid_content","mode_larval_development","reduced_scattering_coefficient","size_at_maturity","skeletal_density","symbiodinium_density","tissue_thickness","sexual_system","zooxanthellae","comp1","comp2","comp3","comp4","comp5","comp6","comp7","comp8","comp9"
"Acanthastrea brevis",NA,NA,NA,NA,"colonial",NA,NA,NA,NA,NA,"submassive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7951.43,494.66,-719.69,104.25,-1.79,4.56,17.15,1.79,-178.26
"Acanthastrea echinata",NA,44.6,42.14,NA,"colonial",NA,NA,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",7951.15,494.51,-719.39,104.24,-1.75,4.56,17.19,1.78,-178
"Acanthastrea hemprichi",NA,NA,0,NA,"colonial",NA,NA,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7950.34,494.06,-718.49,104.21,-1.65,4.57,17.28,1.78,-177.21
"Acanthastrea minuta",NA,NA,NA,NA,"colonial",NA,0.15552847130678,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7913.21,473.38,-676.53,102.62,2.88,5.11,21.46,1.46,-135.96
"Acanthastrea pachysepta",NA,NA,0,NA,"colonial",50,4.28216750142965,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",7972.46,506.39,-743.67,105.22,-4.36,4.26,14.82,1.97,-202.65
"Acanthastrea rotundoflora",NA,NA,NA,NA,"colonial",NA,NA,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7950.82,494.32,-719.02,104.23,-1.71,4.57,17.22,1.78,-177.67
"Acanthastrea subechinata",NA,NA,NA,NA,"colonial",NA,1.28679635091038,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7951.35,494.62,-719.61,104.25,-1.78,4.56,17.16,1.78,-178.18
"Acropora abrolhosensis",NA,NA,NA,NA,"colonial",1000,0.0113097335529233,NA,NA,NA,"branching_open","branching",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7342.18,1545.14,-99.72,-395.08,53.66,-243.03,39.42,-1.61,-3.71
"Acropora abrotanoides",NA,NA,20,NA,"colonial",300,0.00708821842466197,NA,NA,NA,"branching_open","branching",127.5,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7440.44,1655.31,-134.93,-494.02,60.73,-360.01,48.19,-3.24,-2.65
"Acropora aculeus",NA,NA,17.69,NA,"colonial",40,0.00636172512351933,NA,NA,NA,"corymbose","corymbose",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7397.37,1606.96,-119.46,-450.35,57.56,-308.01,44.2,-2.51,-3.09
"Acropora acuminata",NA,NA,35.75,NA,"colonial",200,0.00636172512351933,NA,NA,NA,"branching_open","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7439.95,1654.75,-134.75,-493.51,60.69,-359.39,48.14,-3.23,-2.65
"Acropora anthocercis",NA,NA,0,NA,"colonial",100,0.00865901475145687,NA,NA,NA,"tables_or_plates","tables_or_plates",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7443.29,1658.52,-135.95,-496.95,60.95,-363.57,48.48,-3.29,-2.62
"Acropora appressa",NA,NA,NA,NA,"colonial",NA,NA,NA,NA,NA,"corymbose","corymbose",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7443.95,1659.27,-136.2,-497.66,61.01,-364.44,48.55,-3.3,-2.61
"Acropora arabensis",NA,NA,61.6,NA,"colonial",NA,0.0122718463030851,NA,NA,NA,"digitate","digitate",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7439.35,1654.08,-134.53,-492.89,60.64,-358.63,48.08,-3.22,-2.65
"Acropora aspera",NA,55.9,40.75,NA,"colonial",NA,0.01539380400259,NA,NA,NA,"branching_open","branching",47.7436162361624,NA,"spawner",7.06,NA,0.92,1500000,1,"hermaphrodite","zooxanthellate",-7442.5,1657.62,-135.67,-496.13,60.89,-362.57,48.4,-3.27,-2.63
"Acropora austera",NA,NA,23.26,NA,"colonial",NA,0.00865901475145687,NA,NA,NA,"branching_open","branching",62.9,NA,NA,NA,NA,1.44,NA,NA,NA,"zooxanthellate",-7246.2,1437.35,-65.23,-297.56,46.54,-126.64,30.42,0.03,-4.69
"Acropora awi",NA,NA,NA,NA,"colonial",150,0.00567450173054656,NA,NA,NA,"hispidose","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7442.7,1657.86,-135.74,-496.35,60.91,-362.84,48.42,-3.28,-2.62
"Acropora batunai",NA,NA,NA,NA,"colonial",125,0.000962112750161874,NA,NA,NA,"tables_or_plates","tables_or_plates",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7443.15,1658.36,-135.9,-496.81,60.94,-363.4,48.47,-3.29,-2.62
"Acropora bifurcata",NA,NA,NA,NA,"colonial",NA,NA,NA,NA,NA,"tables_or_plates","tables_or_plates",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7443.46,1658.71,-136.02,-497.13,60.96,-363.78,48.49,-3.29,-2.62
"Acropora branchi",NA,NA,NA,NA,"colonial",NA,NA,NA,NA,NA,"tables_or_plates","tables_or_plates",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7444.65,1660.06,-136.45,-498.39,61.06,-365.35,48.63,-3.31,-2.61
"Acropora bushyensis",NA,NA,NA,NA,"colonial",25,0.00950331777710913,NA,NA,NA,"digitate","digitate",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7444.78,1660.2,-136.5,-498.52,61.07,-365.49,48.64,-3.32,-2.61
"Acropora cardenae",NA,NA,NA,NA,"colonial",NA,NA,NA,NA,NA,"branching_open","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7434.09,1648.17,-132.64,-487.53,60.25,-352.24,47.58,-3.13,-2.71
"Acropora carduus",NA,NA,27.69,NA,"colonial",NA,0.0038484510006475,NA,NA,NA,"hispidose","branching",NA,NA,"spawner",NA,NA,NA,NA,NA,NA,"zooxanthellate",-7444.65,1660.06,-136.45,-498.39,61.06,-365.34,48.63,-3.31,-2.61
"Acropora caroliniana",NA,NA,NA,NA,"colonial",50,0.00502654824574367,NA,NA,NA,"tables_or_plates","tables_or_plates",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7436.01,1650.32,-133.33,-489.48,60.39,-354.55,47.76,-3.16,-2.69
"Acropora cerealis",NA,NA,48.63,NA,"colonial",50,0.00237582944427728,NA,NA,NA,"corymbose","corymbose",45.2588235294118,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7440.22,1655.06,-134.85,-493.79,60.71,-359.71,48.16,-3.23,-2.65
"Acropora cervicornis",NA,12.6,31.93,2.075,"colonial",111,0.01539380400259,0.373333333333333,NA,NA,"branching_open","branching",125.969251336898,NA,"spawner",7.28,NA,0.989804347826087,1532896.02,NA,"hermaphrodite","zooxanthellate",-7365.55,1571.33,-108.09,-418.58,55.33,-270.79,41.49,-1.99,-3.45
"Acropora chesterfieldensis",NA,NA,NA,NA,"colonial",NA,0.00567450173054656,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7444.64,1660.04,-136.44,-498.36,61.06,-365.29,48.62,-3.31,-2.61
"Acropora clathrata",NA,NA,32.99,NA,"colonial",NA,0.0038484510006475,NA,NA,NA,"tables_or_plates","tables_or_plates",NA,NA,"spawner",6.44,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7443.61,1658.88,-136.07,-497.29,60.98,-363.98,48.52,-3.29,-2.62
"Acropora cophodactyla",NA,NA,NA,NA,"colonial",NA,NA,NA,NA,NA,"digitate","digitate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7437.11,1651.57,-133.73,-490.62,60.48,-355.93,47.87,-3.18,-2.68
"Acropora cytherea",NA,NA,42.48,NA,"colonial",300,0.00567450173054656,NA,NA,NA,"tables_or_plates","tables_or_plates",88.7604166666667,NA,NA,9.31,NA,NA,NA,NA,NA,"zooxanthellate",-7443.84,1659.14,-136.16,-497.54,61,-364.29,48.54,-3.3,-2.61
"Acropora dendrum",NA,NA,NA,NA,"colonial",100,0.00567450173054656,NA,NA,NA,"corymbose","corymbose",NA,NA,"spawner",NA,NA,NA,NA,NA,NA,"zooxanthellate",-7439.52,1654.28,-134.6,-493.08,60.66,-358.88,48.1,-3.22,-2.66
"Acropora derawanensis",NA,NA,NA,NA,"colonial",100,0.00441786466911065,NA,NA,NA,"branching_open","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7444.73,1660.14,-136.48,-498.46,61.07,-365.43,48.64,-3.31,-2.61
"Acropora desalwii",NA,NA,NA,NA,"colonial",30,0.0038484510006475,NA,NA,NA,"corymbose","corymbose",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7441.49,1656.49,-135.31,-495.1,60.81,-361.31,48.3,-3.26,-2.64
"Acropora digitifera",NA,45.3,31.84,NA,"colonial",100,0.00950331777710913,NA,NA,NA,"digitate","digitate",37.6,NA,"spawner",10.79,NA,1.52,NA,1.9,"hermaphrodite","zooxanthellate",-7433.6,1647.62,-132.47,-487.06,60.22,-351.71,47.55,-3.12,-2.72
"Acropora divaricata",NA,NA,28.06,NA,"colonial",200,0.00636172512351933,NA,NA,NA,"tables_or_plates","tables_or_plates",83,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7443.94,1659.25,-136.19,-497.63,61,-364.39,48.55,-3.3,-2.61
"Acropora donei",NA,NA,NA,NA,"colonial",300,0.00950331777710913,NA,NA,NA,"branching_open","branching",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7283.28,1479.04,-78.58,-335.49,49.35,-172.23,34.03,-0.61,-4.32
"Acropora downingi",NA,NA,NA,NA,"colonial",NA,0.00567450173054656,NA,NA,NA,"tables_or_plates","tables_or_plates",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7444.47,1659.85,-136.39,-498.2,61.05,-365.11,48.61,-3.31,-2.61
"Acropora echinata",NA,NA,71.5,NA,"colonial",150,0.00441786466911065,NA,NA,NA,"hispidose","branching",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7314.94,1514.58,-89.96,-367.63,51.69,-210.54,36.98,-1.15,-4
"Acropora elegans",NA,NA,NA,NA,"colonial",NA,0.00282743338823081,NA,NA,NA,"tables_or_plates","tables_or_plates",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7428.52,1641.93,-130.65,-481.93,59.85,-345.6,47.08,-3.03,-2.77
