"observation_id","access","user_id","specie_id","specie_name","location_id","location_name","latitude","longitude","resource_id","resource_secondary_id","measurement_id","trait_id","trait_name","standard_id","standard_unit","methodology_id","methodology_name","value","value_type","precision","precision_type","precision_upper","replicates","notes"
110915,1,2,3,"Acanthastrea brevis",1,"Global estimate",NA,NA,10,NA,125362,183,"Growth form typical",10,"cat",55,"Growth form derived from Veron (2000) textual descriptions","submassive","expert_opinion",NA,NA,NA,NA,""
110917,1,2,4,"Acanthastrea echinata",1,"Global estimate",NA,NA,10,NA,125364,183,"Growth form typical",10,"cat",55,"Growth form derived from Veron (2000) textual descriptions","massive","expert_opinion",NA,NA,NA,NA,""
110923,1,2,6,"Acanthastrea hemprichi",1,"Global estimate",NA,NA,10,NA,125370,183,"Growth form typical",10,"cat",55,"Growth form derived from Veron (2000) textual descriptions","massive","expert_opinion",NA,NA,NA,NA,""
110926,1,2,8,"Acanthastrea ishigakiensis",1,"Global estimate",NA,NA,10,NA,125373,183,"Growth form typical",10,"cat",55,"Growth form derived from Veron (2000) textual descriptions","massive","expert_opinion",NA,NA,NA,NA,""
110928,1,2,12,"Acanthastrea regularis",1,"Global estimate",NA,NA,10,NA,125375,183,"Growth form typical",10,"cat",55,"Growth form derived from Veron (2000) textual descriptions","massive","expert_opinion",NA,NA,NA,NA,""
110930,1,2,13,"Acanthastrea rotundoflora",1,"Global estimate",NA,NA,10,NA,125377,183,"Growth form typical",10,"cat",55,"Growth form derived from Veron (2000) textual descriptions","encrusting","expert_opinion",NA,NA,NA,NA,""
110933,1,2,14,"Acanthastrea subechinata",1,"Global estimate",NA,NA,10,NA,125380,183,"Growth form typical",10,"cat",55,"Growth form derived from Veron (2000) textual descriptions","massive","expert_opinion",NA,NA,NA,NA,""
110936,1,2,16,"Acropora abrolhosensis",1,"Global estimate",NA,NA,10,NA,125383,183,"Growth form typical",10,"cat",55,"Growth form derived from Veron (2000) textual descriptions","branching_open","expert_opinion",NA,NA,NA,NA,""
110938,1,2,17,"Acropora abrotanoides",1,"Global estimate",NA,NA,10,NA,125385,183,"Growth form typical",10,"cat",55,"Growth form derived from Veron (2000) textual descriptions","branching_open","expert_opinion",NA,NA,NA,NA,""
110940,1,2,18,"Acropora aculeus",1,"Global estimate",NA,NA,10,NA,125387,183,"Growth form typical",10,"cat",55,"Growth form derived from Veron (2000) textual descriptions","corymbose","expert_opinion",NA,NA,NA,NA,""
110942,1,2,19,"Acropora acuminata",1,"Global estimate",NA,NA,10,NA,125389,183,"Growth form typical",10,"cat",55,"Growth form derived from Veron (2000) textual descriptions","branching_open","expert_opinion",NA,NA,NA,NA,""
110944,1,2,20,"Acropora akajimensis",1,"Global estimate",NA,NA,10,NA,125391,183,"Growth form typical",10,"cat",55,"Growth form derived from Veron (2000) textual descriptions","branching_closed","expert_opinion",NA,NA,NA,NA,""
110947,1,2,21,"Acropora anthocercis",1,"Global estimate",NA,NA,10,NA,125394,183,"Growth form typical",10,"cat",55,"Growth form derived from Veron (2000) textual descriptions","tables_or_plates","expert_opinion",NA,NA,NA,NA,""
110950,1,2,22,"Acropora appressa",1,"Global estimate",NA,NA,10,NA,125397,183,"Growth form typical",10,"cat",55,"Growth form derived from Veron (2000) textual descriptions","corymbose","expert_opinion",NA,NA,NA,NA,""
110953,1,2,23,"Acropora arabensis",1,"Global estimate",NA,NA,10,NA,125400,183,"Growth form typical",10,"cat",55,"Growth form derived from Veron (2000) textual descriptions","digitate","expert_opinion",NA,NA,NA,NA,""
160461,1,2,1573,"Acropora arafura",1,"Global estimate",NA,NA,677,NA,204379,183,"Growth form typical",10,"cat",55,"Growth form derived from Veron (2000) textual descriptions","branching_closed","expert_opinion",NA,NA,NA,NA,""
110955,1,2,24,"Acropora aspera",1,"Global estimate",NA,NA,10,NA,125402,183,"Growth form typical",10,"cat",55,"Growth form derived from Veron (2000) textual descriptions","branching_open","expert_opinion",NA,NA,NA,NA,""
110957,1,2,25,"Acropora austera",1,"Global estimate",NA,NA,10,NA,125404,183,"Growth form typical",10,"cat",55,"Growth form derived from Veron (2000) textual descriptions","branching_open","expert_opinion",NA,NA,NA,NA,""
110959,1,2,26,"Acropora awi",1,"Global estimate",NA,NA,10,NA,125406,183,"Growth form typical",10,"cat",55,"Growth form derived from Veron (2000) textual descriptions","hispidose","expert_opinion",NA,NA,NA,NA,""
110961,1,2,27,"Acropora azurea",1,"Global estimate",NA,NA,10,NA,125408,183,"Growth form typical",10,"cat",55,"Growth form derived from Veron (2000) textual descriptions","branching_closed","expert_opinion",NA,NA,NA,NA,""
110963,1,2,28,"Acropora batunai",1,"Global estimate",NA,NA,10,NA,125410,183,"Growth form typical",10,"cat",55,"Growth form derived from Veron (2000) textual descriptions","tables_or_plates","expert_opinion",NA,NA,NA,NA,""
110966,1,2,29,"Acropora bifurcata",1,"Global estimate",NA,NA,10,NA,125413,183,"Growth form typical",10,"cat",55,"Growth form derived from Veron (2000) textual descriptions","tables_or_plates","expert_opinion",NA,NA,NA,NA,""
110968,1,2,30,"Acropora branchi",1,"Global estimate",NA,NA,10,NA,125415,183,"Growth form typical",10,"cat",55,"Growth form derived from Veron (2000) textual descriptions","tables_or_plates","expert_opinion",NA,NA,NA,NA,""
110970,1,2,32,"Acropora bushyensis",1,"Global estimate",NA,NA,10,NA,125417,183,"Growth form typical",10,"cat",55,"Growth form derived from Veron (2000) textual descriptions","digitate","expert_opinion",NA,NA,NA,NA,""
110972,1,2,33,"Acropora cardenae",1,"Global estimate",NA,NA,10,NA,125419,183,"Growth form typical",10,"cat",55,"Growth form derived from Veron (2000) textual descriptions","branching_open","expert_opinion",NA,NA,NA,NA,""
