"observation_id","access","user_id","specie_id","specie_name","location_id","location_name","latitude","longitude","resource_id","resource_secondary_id","measurement_id","trait_id","trait_name","standard_id","standard_unit","methodology_id","methodology_name","value","value_type","precision","precision_type","precision_upper","replicates","notes"
159978,1,126,17,"Acropora abrotanoides",545,"Yapp Island",9.546155,138.136151,783,787,203880,152,"Water temperature",52,"ºC",NA,"","29.2","raw_value",NA,"",NA,NA,""
159978,1,126,17,"Acropora abrotanoides",545,"Yapp Island",9.546155,138.136151,783,787,203879,60,"Growth rate",38,"mm yr^-1",NA,"","127.5","mean",125,"range",130,NA,""
118616,1,9,24,"Acropora aspera",172,"Kavaratti lagoon, Lakshadweep Islands",10.565,72.631,269,NA,140042,185,"Month",10,"cat",NA,"","Sep","raw_value",NA,"",NA,NA,""
118616,1,9,24,"Acropora aspera",172,"Kavaratti lagoon, Lakshadweep Islands",10.565,72.631,269,NA,140041,174,"Year",10,"cat",NA,"","1988","raw_value",NA,"",NA,NA,""
118616,1,9,24,"Acropora aspera",172,"Kavaratti lagoon, Lakshadweep Islands",10.565,72.631,269,NA,140040,143,"Water depth",9,"m",6,"Depth gauge","2","raw_value",NA,"",NA,NA,""
118616,1,9,24,"Acropora aspera",172,"Kavaratti lagoon, Lakshadweep Islands",10.565,72.631,269,NA,140039,127,"Calcification rate",75,"g month^-1",18,"Weight","0.016","mean",0.002,"standard_deviation",NA,10,"Replicates reported as 10-15"
118616,1,9,24,"Acropora aspera",172,"Kavaratti lagoon, Lakshadweep Islands",10.565,72.631,269,NA,140038,60,"Growth rate",62,"mm month^-1",2,"Alizarin stain","4.24","mean",1.02,"standard_deviation",NA,10,"Replicates reported as 10-15"
118635,1,9,24,"Acropora aspera",441,"North Pari Reef, Pari Island Complex, Java Sea",-5.8515,106.631,347,NA,140137,144,"Wave exposure",10,"cat",NA,"","exposed","raw_value",NA,"",NA,NA,""
118635,1,9,24,"Acropora aspera",441,"North Pari Reef, Pari Island Complex, Java Sea",-5.8515,106.631,347,NA,140136,143,"Water depth",9,"m",NA,"","2","raw_value",NA,"",NA,NA,""
118635,1,9,24,"Acropora aspera",441,"North Pari Reef, Pari Island Complex, Java Sea",-5.8515,106.631,347,NA,140135,142,"Habitat type",10,"cat",NA,"","crest","raw_value",NA,"",NA,NA,""
118635,1,9,24,"Acropora aspera",441,"North Pari Reef, Pari Island Complex, Java Sea",-5.8515,106.631,347,NA,140134,151,"Season",10,"cat",NA,"","October-December","raw_value",NA,"",NA,NA,""
118635,1,9,24,"Acropora aspera",441,"North Pari Reef, Pari Island Complex, Java Sea",-5.8515,106.631,347,NA,140133,60,"Growth rate",62,"mm month^-1",2,"Alizarin stain","3.96","mean",0.7,"standard_deviation",NA,20,""
118647,1,9,24,"Acropora aspera",444,"South Tikus, Pari Island Complex, Java Sea",-5.8648,106.5837,347,NA,140197,144,"Wave exposure",10,"cat",NA,"","sheltered","raw_value",NA,"",NA,NA,""
118647,1,9,24,"Acropora aspera",444,"South Tikus, Pari Island Complex, Java Sea",-5.8648,106.5837,347,NA,140196,143,"Water depth",9,"m",NA,"","2","raw_value",NA,"",NA,NA,""
118647,1,9,24,"Acropora aspera",444,"South Tikus, Pari Island Complex, Java Sea",-5.8648,106.5837,347,NA,140195,142,"Habitat type",10,"cat",NA,"","crest","raw_value",NA,"",NA,NA,""
118647,1,9,24,"Acropora aspera",444,"South Tikus, Pari Island Complex, Java Sea",-5.8648,106.5837,347,NA,140194,151,"Season",10,"cat",NA,"","October-December","raw_value",NA,"",NA,NA,""
118647,1,9,24,"Acropora aspera",444,"South Tikus, Pari Island Complex, Java Sea",-5.8648,106.5837,347,NA,140193,60,"Growth rate",62,"mm month^-1",2,"Alizarin stain","7.7","mean",0.9,"standard_deviation",NA,20,""
118618,1,9,24,"Acropora aspera",172,"Kavaratti lagoon, Lakshadweep Islands",10.565,72.631,269,NA,140052,185,"Month",10,"cat",NA,"","Nov","raw_value",NA,"",NA,NA,""
118618,1,9,24,"Acropora aspera",172,"Kavaratti lagoon, Lakshadweep Islands",10.565,72.631,269,NA,140051,174,"Year",10,"cat",NA,"","1988","raw_value",NA,"",NA,NA,""
118618,1,9,24,"Acropora aspera",172,"Kavaratti lagoon, Lakshadweep Islands",10.565,72.631,269,NA,140050,143,"Water depth",9,"m",6,"Depth gauge","2","raw_value",NA,"",NA,NA,""
118618,1,9,24,"Acropora aspera",172,"Kavaratti lagoon, Lakshadweep Islands",10.565,72.631,269,NA,140049,127,"Calcification rate",75,"g month^-1",18,"Weight","0.016","mean",0.002,"standard_deviation",NA,10,"Replicates reported as 10-15"
118618,1,9,24,"Acropora aspera",172,"Kavaratti lagoon, Lakshadweep Islands",10.565,72.631,269,NA,140048,60,"Growth rate",62,"mm month^-1",2,"Alizarin stain","4.481","mean",0.946,"standard_deviation",NA,10,"Replicates reported as 10-15"
118620,1,9,24,"Acropora aspera",172,"Kavaratti lagoon, Lakshadweep Islands",10.565,72.631,269,NA,140062,185,"Month",10,"cat",NA,"","Jan","raw_value",NA,"",NA,NA,""
118620,1,9,24,"Acropora aspera",172,"Kavaratti lagoon, Lakshadweep Islands",10.565,72.631,269,NA,140061,174,"Year",10,"cat",NA,"","1989","raw_value",NA,"",NA,NA,""
118620,1,9,24,"Acropora aspera",172,"Kavaratti lagoon, Lakshadweep Islands",10.565,72.631,269,NA,140060,143,"Water depth",9,"m",6,"Depth gauge","2","raw_value",NA,"",NA,NA,""
118620,1,9,24,"Acropora aspera",172,"Kavaratti lagoon, Lakshadweep Islands",10.565,72.631,269,NA,140059,127,"Calcification rate",75,"g month^-1",18,"Weight","0.015","mean",0.001,"standard_deviation",NA,10,"Replicates reported as 10-15"
118620,1,9,24,"Acropora aspera",172,"Kavaratti lagoon, Lakshadweep Islands",10.565,72.631,269,NA,140058,60,"Growth rate",62,"mm month^-1",2,"Alizarin stain","4.073","mean",0.835,"standard_deviation",NA,10,"Replicates reported as 10-15"
118623,1,9,24,"Acropora aspera",172,"Kavaratti lagoon, Lakshadweep Islands",10.565,72.631,269,NA,140077,185,"Month",10,"cat",NA,"","Apr","raw_value",NA,"",NA,NA,""
118623,1,9,24,"Acropora aspera",172,"Kavaratti lagoon, Lakshadweep Islands",10.565,72.631,269,NA,140076,174,"Year",10,"cat",NA,"","1989","raw_value",NA,"",NA,NA,""
118623,1,9,24,"Acropora aspera",172,"Kavaratti lagoon, Lakshadweep Islands",10.565,72.631,269,NA,140075,143,"Water depth",9,"m",6,"Depth gauge","2","raw_value",NA,"",NA,NA,""
118623,1,9,24,"Acropora aspera",172,"Kavaratti lagoon, Lakshadweep Islands",10.565,72.631,269,NA,140074,127,"Calcification rate",75,"g month^-1",18,"Weight","0.016","mean",0.001,"standard_deviation",NA,10,"Replicates reported as 10-15"
118623,1,9,24,"Acropora aspera",172,"Kavaratti lagoon, Lakshadweep Islands",10.565,72.631,269,NA,140073,60,"Growth rate",62,"mm month^-1",2,"Alizarin stain","4.907","mean",0.854,"standard_deviation",NA,10,"Replicates reported as 10-15"
118644,1,9,24,"Acropora aspera",444,"South Tikus, Pari Island Complex, Java Sea",-5.8648,106.5837,347,NA,140182,144,"Wave exposure",10,"cat",NA,"","sheltered","raw_value",NA,"",NA,NA,""
118644,1,9,24,"Acropora aspera",444,"South Tikus, Pari Island Complex, Java Sea",-5.8648,106.5837,347,NA,140181,143,"Water depth",9,"m",6,"Depth gauge","1","raw_value",NA,"",NA,NA,""
118644,1,9,24,"Acropora aspera",444,"South Tikus, Pari Island Complex, Java Sea",-5.8648,106.5837,347,NA,140180,142,"Habitat type",10,"cat",NA,"","flat","raw_value",NA,"",NA,NA,""
118644,1,9,24,"Acropora aspera",444,"South Tikus, Pari Island Complex, Java Sea",-5.8648,106.5837,347,NA,140179,151,"Season",10,"cat",NA,"","July-August","raw_value",NA,"",NA,NA,""
118644,1,9,24,"Acropora aspera",444,"South Tikus, Pari Island Complex, Java Sea",-5.8648,106.5837,347,NA,140178,60,"Growth rate",62,"mm month^-1",2,"Alizarin stain","3.85","mean",1.6,"standard_deviation",NA,20,""
118619,1,9,24,"Acropora aspera",172,"Kavaratti lagoon, Lakshadweep Islands",10.565,72.631,269,NA,140057,185,"Month",10,"cat",NA,"","Dec","raw_value",NA,"",NA,NA,""
118619,1,9,24,"Acropora aspera",172,"Kavaratti lagoon, Lakshadweep Islands",10.565,72.631,269,NA,140056,174,"Year",10,"cat",NA,"","1988","raw_value",NA,"",NA,NA,""
118619,1,9,24,"Acropora aspera",172,"Kavaratti lagoon, Lakshadweep Islands",10.565,72.631,269,NA,140055,143,"Water depth",9,"m",6,"Depth gauge","2","raw_value",NA,"",NA,NA,""
