"observation_id","access","user_id","specie_id","specie_name","location_id","location_name","latitude","longitude","resource_id","resource_secondary_id","measurement_id","trait_id","trait_name","standard_id","standard_unit","methodology_id","methodology_name","value","value_type","precision","precision_type","precision_upper","replicates","notes"
90145,1,15,66,"Acropora muricata",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,531,683,94316,131,"Lipid content",45,"mg cm^-2",33,"Chloroform to methanol ratio","1.94","mean",0.24,"standard_error",NA,"12","chloro:meth"
90145,1,15,66,"Acropora muricata",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,531,683,94317,143,"Water depth",9,"m",NA,"","3","raw_value",NA,"",NA,"",""
90145,1,15,66,"Acropora muricata",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,531,683,94318,151,"Season",10,"cat",NA,"","July 2007","raw_value",NA,"",NA,"",""
90145,1,15,66,"Acropora muricata",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,531,683,94319,152,"Water temperature",52,"ºC",NA,"","23","raw_value",NA,"",NA,"",""
90145,1,15,66,"Acropora muricata",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,531,683,94320,153,"Irradiance",53,"µmol quanta m^-2 s^-1",NA,"","140","raw_value",NA,"",NA,"",""
90144,1,15,66,"Acropora muricata",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,531,683,94311,131,"Lipid content",45,"mg cm^-2",33,"Chloroform to methanol ratio","2.28","mean",0.72,"standard_error",NA,"12","chloro:meth"
90144,1,15,66,"Acropora muricata",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,531,683,94312,143,"Water depth",9,"m",NA,"","3","raw_value",NA,"",NA,"",""
90144,1,15,66,"Acropora muricata",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,531,683,94313,151,"Season",10,"cat",NA,"","July 2007","raw_value",NA,"",NA,"",""
90144,1,15,66,"Acropora muricata",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,531,683,94314,152,"Water temperature",52,"ºC",NA,"","23","raw_value",NA,"",NA,"",""
90144,1,15,66,"Acropora muricata",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,531,683,94315,153,"Irradiance",53,"µmol quanta m^-2 s^-1",NA,"","140","raw_value",NA,"",NA,"",""
90146,1,15,180,"Acropora tenuis",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,532,683,94321,131,"Lipid content",45,"mg cm^-2",33,"Chloroform to methanol ratio","4.6","mean",NA,"standard_error",NA,"4-10","chloroform:methanol"
90146,1,15,180,"Acropora tenuis",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,532,683,94322,143,"Water depth",9,"m",NA,"","1 to 2 m below datum","raw_value",NA,"",NA,"",""
90146,1,15,180,"Acropora tenuis",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,532,683,94323,151,"Season",10,"cat",NA,"","November 2000","raw_value",NA,"",NA,"",""
