Taxon,Family,RSC,BRI,Number of records (vi),Std Error
Acropora aspera,Acroporidae,7.06,40.75,6,6.34
Acropora cervicornis,Acroporidae,7.28,31.93,12,6.7
Acropora clathrata,Acroporidae,6.44,32.99,6,5.27
Acropora cytherea,Acroporidae,11.4,42.48,7,12.51
Acropora cytherea,Acroporidae,6.7,42.48,7,12.51
Acropora cytherea,Acroporidae,9.83,42.48,7,12.51
Acropora cytherea,Acroporidae,9.31,42.48,7,12.51
Acropora digitifera,Acroporidae,10.79,31.84,12,7.87
Acropora elseyi,Acroporidae,8.2,36.1,334,1.4
Acropora humilis,Acroporidae,12.99,51.14,5,15.32
Acropora hyacinthus,Acroporidae,9.87,35.71,17,6.2
Acropora intermedia/nobilis,Acroporidae,7.01,34.38,10,9.28
Acropora intermedia/nobilis,Acroporidae,9.28,34.38,10,9.28
Acropora intermedia/nobilis,Acroporidae,9.2,34.38,10,9.28
Acropora intermedia/nobilis,Acroporidae,6.32,34.38,10,9.28
Acropora intermedia/nobilis,Acroporidae,13.19,34.38,10,9.28
Acropora loisetteae,Acroporidae,5.44,36.1,334,1.4
Acropora millepora,Acroporidae,7.2,34.19,4,8.9
Acropora monticulosa,Acroporidae,6.07,36.1,334,1.4
Acropora palifera,Acroporidae,8.36,40.85,8,8.07
Acropora palifera,Acroporidae,8.76,40.85,8,8.07
Acropora palmata,Acroporidae,10.36,25.82,11,6.9
Acropora palmata,Acroporidae,6.4,25.82,11,6.9
Acropora palmata,Acroporidae,3.61,25.82,11,6.9
Acropora robusta,Acroporidae,15.77,50.76,4,16.44
Acropora secale,Acroporidae,8.09,31.03,5,4.79
Acropora sp.,Acroporidae,6.64,36.1,334,1.4
Acropora sp.,Acroporidae,8.41,36.1,334,1.4
Acropora variolosa,Acroporidae,14.53,36.1,334,1.4
Agaricia agaricites,Agariciidae,7.58,33.51,13,8.5
Agaricia agaricites,Agariciidae,6.03,33.51,13,8.5
Agaricia fragilis,Agariciidae,7.91,30.11,55,3.65
Agaricia fragilis,Agariciidae,9.13,30.11,55,3.65
Alveopora daedalea,Poritidae,10.8,25.31,3,13.39
Caulastrea tumida,Faviidae,11.79,26.57,5,9.23
Coeloseris mayeri,Agariciidae,5.94,35.96,4,0.96
Coscinaraea columna,Siderastreidae,9.8,26.84,9,9.23
Coscinaraea monile,Siderastreidae,6.26,26.84,9,9.23
Cycloseris curvata,Fungiidae,5.83,46.85,12,2.6
Cyphastrea chalcidicum,Faviidae,9.64,17.65,13,7.21
