"observation_id","access","user_id","specie_id","specie_name","location_id","location_name","latitude","longitude","resource_id","resource_secondary_id","measurement_id","trait_id","trait_name","standard_id","standard_unit","methodology_id","methodology_name","value","value_type","precision","precision_type","precision_upper","replicates","notes"
90188,1,15,37,"Acropora cervicornis",330,"Puerto Rico",18.20848,-66.549683,543,683,94483,148,"Polyps per area",47,"units cm^-2",NA,"","25","",NA,"",NA,NA,"Counts"
90188,1,15,37,"Acropora cervicornis",330,"Puerto Rico",18.20848,-66.549683,543,683,94484,154,"Flow rate",54,"ml min^-1",NA,"","","raw_value",NA,"",NA,NA,""
138267,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,180508,212,"Ratio of female to male gonads",66,"x:y",NA,"","1.22","mean",0.1,"standard_error",NA,NA,""
138267,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,180507,151,"Season",10,"cat",NA,"","Nov","raw_value",NA,"",NA,NA,""
138267,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,180506,148,"Polyps per area",47,"units cm^-2",NA,"","126","mean",4.7,"standard_error",NA,NA,"Counts"
138267,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,180505,143,"Water depth",9,"m",NA,"","2","median",1,"range",3,NA,""
138267,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,180504,142,"Habitat type",10,"cat",NA,"","crest","raw_value",NA,"",NA,NA,""
138267,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,180503,46,"Size at maturity",57,"cm^2",NA,"","59.42921586","raw_value",NA,"",NA,NA,"We follow a different definition than the one in the resource paper. The colony diameter at which a coral is observed to start producing gametes and reproducing, instead of the size in which all colonies are reproducing."
138267,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,180502,12,"Polyp fecundity",6,"units",NA,"","6.448","raw_value",0.145,"standard_error",NA,NA,""
138268,1,9,80,"Acropora hyacinthus",178,"Lizard Island",-14.6689,145.4594,192,NA,180514,212,"Ratio of female to male gonads",66,"x:y",NA,"","1.47","mean",0.11,"standard_error",NA,NA,""
138268,1,9,80,"Acropora hyacinthus",178,"Lizard Island",-14.6689,145.4594,192,NA,180513,151,"Season",10,"cat",NA,"","Nov","raw_value",NA,"",NA,NA,""
138268,1,9,80,"Acropora hyacinthus",178,"Lizard Island",-14.6689,145.4594,192,NA,180512,148,"Polyps per area",47,"units cm^-2",NA,"","112","mean",3.2,"standard_error",NA,NA,"Counts"
138268,1,9,80,"Acropora hyacinthus",178,"Lizard Island",-14.6689,145.4594,192,NA,180511,143,"Water depth",9,"m",NA,"","2","median",1,"range",3,NA,""
138268,1,9,80,"Acropora hyacinthus",178,"Lizard Island",-14.6689,145.4594,192,NA,180510,142,"Habitat type",10,"cat",NA,"","crest","raw_value",NA,"",NA,NA,""
138268,1,9,80,"Acropora hyacinthus",178,"Lizard Island",-14.6689,145.4594,192,NA,180509,12,"Polyp fecundity",6,"units",NA,"","5.576","raw_value",0.217,"standard_error",NA,NA,""
138269,1,9,109,"Acropora millepora",178,"Lizard Island",-14.6689,145.4594,192,NA,180521,212,"Ratio of female to male gonads",66,"x:y",NA,"","1.1","mean",0.11,"standard_error",NA,NA,""
138269,1,9,109,"Acropora millepora",178,"Lizard Island",-14.6689,145.4594,192,NA,180520,151,"Season",10,"cat",NA,"","Nov","raw_value",NA,"",NA,NA,""
138269,1,9,109,"Acropora millepora",178,"Lizard Island",-14.6689,145.4594,192,NA,180519,148,"Polyps per area",47,"units cm^-2",NA,"","87","mean",5.3,"standard_error",NA,NA,"Counts"
138269,1,9,109,"Acropora millepora",178,"Lizard Island",-14.6689,145.4594,192,NA,180518,143,"Water depth",9,"m",NA,"","2","median",1,"range",3,NA,""
138269,1,9,109,"Acropora millepora",178,"Lizard Island",-14.6689,145.4594,192,NA,180517,142,"Habitat type",10,"cat",NA,"","crest","raw_value",NA,"",NA,NA,""
138269,1,9,109,"Acropora millepora",178,"Lizard Island",-14.6689,145.4594,192,NA,180516,46,"Size at maturity",57,"cm^2",NA,"","45.3106195","raw_value",NA,"",NA,NA,"We follow a different definition than the one in the resource paper. The colony diameter at which a coral is observed to start producing gametes and reproducing, instead of the size in which all colonies are reproducing."
138269,1,9,109,"Acropora millepora",178,"Lizard Island",-14.6689,145.4594,192,NA,180515,12,"Polyp fecundity",6,"units",NA,"","5.139","raw_value",0.145,"standard_error",NA,NA,""
90189,1,15,66,"Acropora muricata",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,63,683,94485,148,"Polyps per area",47,"units cm^-2",NA,"","21","",NA,"",NA,NA,"Counts"
90189,1,15,66,"Acropora muricata",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,63,683,94486,142,"Habitat type",10,"cat",NA,"","laboratory","raw_value",NA,"",NA,NA,""
90189,1,15,66,"Acropora muricata",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,63,683,94487,152,"Water temperature",52,"ºC",NA,"","26.56666667","raw_value",NA,"",NA,NA,""
90189,1,15,66,"Acropora muricata",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,63,683,94488,153,"Irradiance",53,"µmol quanta m^-2 s^-1",NA,"","1535.333333","raw_value",NA,"",NA,NA,""
90189,1,15,66,"Acropora muricata",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,63,683,94489,154,"Flow rate",54,"ml min^-1",NA,"","4 l min-1","raw_value",NA,"",NA,NA,""
138270,1,9,115,"Acropora nana",178,"Lizard Island",-14.6689,145.4594,192,NA,180528,212,"Ratio of female to male gonads",66,"x:y",NA,"","1.55","mean",0.11,"standard_error",NA,NA,""
138270,1,9,115,"Acropora nana",178,"Lizard Island",-14.6689,145.4594,192,NA,180527,151,"Season",10,"cat",NA,"","Nov","raw_value",NA,"",NA,NA,""
138270,1,9,115,"Acropora nana",178,"Lizard Island",-14.6689,145.4594,192,NA,180526,148,"Polyps per area",47,"units cm^-2",NA,"","50","mean",3.3,"standard_error",NA,NA,"Counts"
138270,1,9,115,"Acropora nana",178,"Lizard Island",-14.6689,145.4594,192,NA,180525,143,"Water depth",9,"m",NA,"","2","median",1,"range",3,NA,""
138270,1,9,115,"Acropora nana",178,"Lizard Island",-14.6689,145.4594,192,NA,180524,142,"Habitat type",10,"cat",NA,"","crest","raw_value",NA,"",NA,NA,""
138270,1,9,115,"Acropora nana",178,"Lizard Island",-14.6689,145.4594,192,NA,180523,46,"Size at maturity",57,"cm^2",NA,"","39.30972449","raw_value",NA,"",NA,NA,"We follow a different definition than the one in the resource paper. The colony diameter at which a coral is observed to start producing gametes and reproducing, instead of the size in which all colonies are reproducing."
138270,1,9,115,"Acropora nana",178,"Lizard Island",-14.6689,145.4594,192,NA,180522,12,"Polyp fecundity",6,"units",NA,"","4.461","raw_value",0.149,"standard_error",NA,NA,""
160547,1,31,828,"Bernardpora stutchburyi",1,"Global estimate",NA,NA,738,NA,204465,148,"Polyps per area",47,"units cm^-2",15,"Image analysis","17.4","raw_value",NA,"",NA,NA,""
156169,1,9,794,"Coelastrea aspera",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,273,NA,198483,211,"Eggs per area",47,"units cm^-2",NA,"","900","mean",250,"standard_deviation",NA,4,""
156169,1,9,794,"Coelastrea aspera",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,273,NA,198482,210,"Number of septa per corallite",6,"units",NA,"","23.7","mean",0.8,"standard_deviation",NA,4,""
156169,1,9,794,"Coelastrea aspera",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,273,NA,198481,209,"Mesentery fecundity",6,"units",NA,"","11.2","mean",1,"standard_deviation",NA,4,""
156169,1,9,794,"Coelastrea aspera",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,273,NA,198480,151,"Season",10,"cat",NA,"","June-August","raw_value",NA,"",NA,NA,""
