"observation_id","access","user_id","specie_id","specie_name","location_id","location_name","latitude","longitude","resource_id","resource_secondary_id","measurement_id","trait_id","trait_name","standard_id","standard_unit","methodology_id","methodology_name","value","value_type","precision","precision_type","precision_upper","replicates","notes"
101838,1,92,24,"Acropora aspera",146,"One Tree Island",-23.490371,152.075065,348,NA,116277,179,"Skeletal micro-density",34,"g cm-3",3,"Archimedes principle","2.788","mean",0.037,"standard_deviation",NA,4,"From Table 3"
101838,1,92,24,"Acropora aspera",146,"One Tree Island",-23.490371,152.075065,348,NA,116276,143,"Water depth",9,"m",NA,"","7.5","median",5,"range",10,NA,""
101838,1,92,24,"Acropora aspera",146,"One Tree Island",-23.490371,152.075065,348,NA,116275,61,"Skeletal density",34,"g cm-3",3,"Archimedes principle","0.92","mean",0.12,"standard_deviation",NA,4,"Bulk density from Table 3"
159744,1,126,25,"Acropora austera",339,"Maldives",2.438229,73.212891,802,787,203183,143,"Water depth",9,"m",NA,"","1","raw_value",NA,"",NA,NA,""
159744,1,126,25,"Acropora austera",339,"Maldives",2.438229,73.212891,802,787,203182,152,"Water temperature",52,"ºC",NA,"","29","raw_value",NA,"",NA,NA,""
159744,1,126,25,"Acropora austera",339,"Maldives",2.438229,73.212891,802,787,203181,174,"Year",10,"cat",NA,"","2010-2011","raw_value",NA,"",NA,NA,""
159744,1,126,25,"Acropora austera",339,"Maldives",2.438229,73.212891,802,787,203180,61,"Skeletal density",34,"g cm-3",3,"Archimedes principle","1.44","raw_value",NA,"",NA,1,""
159744,1,126,25,"Acropora austera",339,"Maldives",2.438229,73.212891,802,787,203179,60,"Growth rate",38,"mm yr^-1",4,"Callipers","62.9","raw_value",NA,"",NA,1,""
159744,1,126,25,"Acropora austera",339,"Maldives",2.438229,73.212891,802,787,203178,127,"Calcification rate",43,"g cm ^-2 yr^-1",32,"Product of linear extension and bulk density","1.82","raw_value",NA,"",NA,1,""
99194,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113363,61,"Skeletal density",34,"g cm-3",5,"Kobe porosimeter","2.178","mean",0.123,"standard_deviation",NA,NA,"From fig. 6 using ImageJ. Mineralisation values multiplied by density of pure aragonite 2.94 to give density"
99194,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113397,143,"Water depth",9,"m",NA,"","8","raw_value",NA,"",NA,NA,""
99194,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113398,159,"Axial corallite part",1,"text",NA,"","calyx","raw_value",NA,"",NA,NA,""
99194,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113399,157,"Distance from tip",29,"cm",4,"Callipers","60","raw_value",NA,"",NA,NA,""
99191,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113360,61,"Skeletal density",34,"g cm-3",5,"Kobe porosimeter","1.624","mean",0.632,"standard_deviation",NA,NA,"From fig. 6 using ImageJ. Mineralisation values multiplied by density of pure aragonite 2.94 to give density"
99191,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113388,143,"Water depth",9,"m",NA,"","8","raw_value",NA,"",NA,NA,""
99191,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113389,159,"Axial corallite part",1,"text",NA,""," calyx","raw_value",NA,"",NA,NA,""
99191,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113390,157,"Distance from tip",29,"cm",4,"Callipers","30","raw_value",NA,"",NA,NA,""
99200,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113369,61,"Skeletal density",34,"g cm-3",5,"Kobe porosimeter","1.163","mean",0.149,"standard_deviation",NA,NA,"From fig. 6 using ImageJ. Mineralisation values multiplied by density of pure aragonite 2.94 to give density"
99200,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113415,143,"Water depth",9,"m",NA,"","8","raw_value",NA,"",NA,NA,""
99200,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113416,159,"Axial corallite part",1,"text",NA,"","wall","raw_value",NA,"",NA,NA,""
99200,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113417,157,"Distance from tip",29,"cm",4,"Callipers","5","raw_value",NA,"",NA,NA,""
99196,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113365,61,"Skeletal density",34,"g cm-3",5,"Kobe porosimeter","0.304","mean",0.065,"standard_deviation",NA,NA,"From fig. 6 using ImageJ. Mineralisation values multiplied by density of pure aragonite 2.94 to give density"
99196,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113403,143,"Water depth",9,"m",NA,"","8","raw_value",NA,"",NA,NA,""
99196,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113404,159,"Axial corallite part",1,"text",NA,"","calyx","raw_value",NA,"",NA,NA,""
99196,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113405,157,"Distance from tip",29,"cm",4,"Callipers","2.5","raw_value",NA,"",NA,NA,""
99201,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113370,61,"Skeletal density",34,"g cm-3",5,"Kobe porosimeter","1.693","mean",0.265,"standard_deviation",NA,NA,"From fig. 6 using ImageJ. Mineralisation values multiplied by density of pure aragonite 2.94 to give density"
99201,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113418,143,"Water depth",9,"m",NA,"","8","raw_value",NA,"",NA,NA,""
99201,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113419,159,"Axial corallite part",1,"text",NA,"","wall","raw_value",NA,"",NA,NA,""
99201,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113420,157,"Distance from tip",29,"cm",4,"Callipers","10","raw_value",NA,"",NA,NA,""
156300,1,92,37,"Acropora cervicornis",430,"La Parguera, Puerto Rico ",17.937626,-67.048164,440,NA,198797,205,"UV radiation treatment",10,"cat",NA,"","reduced","raw_value",NA,"",NA,NA,""
156300,1,92,37,"Acropora cervicornis",430,"La Parguera, Puerto Rico ",17.937626,-67.048164,440,NA,198796,143,"Water depth",9,"m",NA,"","21.5","median",3.5,"range",25,NA,""
156300,1,92,37,"Acropora cervicornis",430,"La Parguera, Puerto Rico ",17.937626,-67.048164,440,NA,198795,61,"Skeletal density",78,"g mL^-1",3,"Archimedes principle","0.324","mean",0.118,"standard_deviation",NA,18,""
156300,1,92,37,"Acropora cervicornis",430,"La Parguera, Puerto Rico ",17.937626,-67.048164,440,NA,198794,60,"Growth rate",63,"mm d^-1",4,"Callipers","0.46","mean",0.02,"standard_deviation",NA,18,""
156299,1,92,37,"Acropora cervicornis",430,"La Parguera, Puerto Rico ",17.937626,-67.048164,440,NA,198793,205,"UV radiation treatment",10,"cat",NA,"","control","raw_value",NA,"",NA,NA,""
156299,1,92,37,"Acropora cervicornis",430,"La Parguera, Puerto Rico ",17.937626,-67.048164,440,NA,198792,143,"Water depth",9,"m",6,"Depth gauge","1","raw_value",NA,"",NA,NA,""
156299,1,92,37,"Acropora cervicornis",430,"La Parguera, Puerto Rico ",17.937626,-67.048164,440,NA,198791,61,"Skeletal density",78,"g mL^-1",3,"Archimedes principle","0.295","mean",0.11,"standard_deviation",NA,6,""
156299,1,92,37,"Acropora cervicornis",430,"La Parguera, Puerto Rico ",17.937626,-67.048164,440,NA,198790,60,"Growth rate",63,"mm d^-1",4,"Callipers","0.39","mean",0.02,"standard_deviation",NA,6,"control"
99197,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113366,61,"Skeletal density",34,"g cm-3",5,"Kobe porosimeter","0.213","mean",0.071,"standard_deviation",NA,NA,"From fig. 6 using ImageJ. Mineralisation values multiplied by density of pure aragonite 2.94 to give density"
99197,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113406,143,"Water depth",9,"m",NA,"","8","raw_value",NA,"",NA,NA,""
99197,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113407,159,"Axial corallite part",1,"text",NA,"","calyx","raw_value",NA,"",NA,NA,""
99197,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113408,157,"Distance from tip",29,"cm",4,"Callipers","5","raw_value",NA,"",NA,NA,""
99198,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113367,61,"Skeletal density",34,"g cm-3",5,"Kobe porosimeter","0.627","mean",0.174,"standard_deviation",NA,NA,"From fig. 6 using ImageJ. Mineralisation values multiplied by density of pure aragonite 2.94 to give density"
99198,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113409,143,"Water depth",9,"m",NA,"","8","raw_value",NA,"",NA,NA,""
99198,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113410,159,"Axial corallite part",1,"text",NA,"","calyx","raw_value",NA,"",NA,NA,""
99198,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113411,157,"Distance from tip",29,"cm",4,"Callipers","10","raw_value",NA,"",NA,NA,""
99199,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113368,61,"Skeletal density",34,"g cm-3",5,"Kobe porosimeter","1.144","mean",0.162,"standard_deviation",NA,NA,"From fig. 6 using ImageJ. Mineralisation values multiplied by density of pure aragonite 2.94 to give density"
99199,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113412,143,"Water depth",9,"m",NA,"","8","raw_value",NA,"",NA,NA,""
99199,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113413,159,"Axial corallite part",1,"text",NA,"","wall","raw_value",NA,"",NA,NA,""
99199,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113414,157,"Distance from tip",29,"cm",4,"Callipers","2.5","raw_value",NA,"",NA,NA,""
99203,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113372,61,"Skeletal density",34,"g cm-3",5,"Kobe porosimeter","2.042","mean",0.271,"standard_deviation",NA,NA,"From fig. 6 using ImageJ. Mineralisation values multiplied by density of pure aragonite 2.94 to give density"
99203,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113424,143,"Water depth",9,"m",6,"Depth gauge","8","raw_value",NA,"",NA,NA,""
99203,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113425,159,"Axial corallite part",1,"text",NA,"","wall","raw_value",NA,"",NA,NA,""
99203,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113426,157,"Distance from tip",29,"cm",4,"Callipers","20","raw_value",NA,"",NA,NA,""
99208,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113377,61,"Skeletal density",34,"g cm-3",5,"Kobe porosimeter","2.591","mean",0.045,"standard_deviation",NA,NA,"From fig. 6 using ImageJ. Mineralisation values multiplied by density of pure aragonite 2.94 to give density"
99208,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113439,143,"Water depth",9,"m",6,"Depth gauge","8","raw_value",NA,"",NA,NA,""
99208,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113440,159,"Axial corallite part",1,"text",NA,"","wall","raw_value",NA,"",NA,NA,""
99208,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113441,157,"Distance from tip",29,"cm",4,"Callipers","60","raw_value",NA,"",NA,NA,""
99209,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113378,61,"Skeletal density",34,"g cm-3",5,"Kobe porosimeter","2.759","raw_value",NA,"",NA,NA,"From fig. 6 using ImageJ. Mineralisation values multiplied by density of pure aragonite 2.94 to give density"
99209,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113442,143,"Water depth",9,"m",6,"Depth gauge","8","raw_value",NA,"",NA,NA,""
99209,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113443,159,"Axial corallite part",1,"text",NA,"","wall","raw_value",NA,"",NA,NA,""
99209,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113444,157,"Distance from tip",29,"cm",NA,"","70","raw_value",NA,"",NA,NA,""
99204,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113373,61,"Skeletal density",34,"g cm-3",5,"Kobe porosimeter","2.274","mean",0.168,"standard_deviation",NA,NA,"From fig. 6 using ImageJ. Mineralisation values multiplied by density of pure aragonite 2.94 to give density"
99204,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113427,143,"Water depth",9,"m",6,"Depth gauge","8","raw_value",NA,"",NA,NA,""
99204,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113428,159,"Axial corallite part",1,"text",NA,"","wall","raw_value",NA,"",NA,NA,""
99204,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113429,157,"Distance from tip",29,"cm",4,"Callipers","25","raw_value",NA,"",NA,NA,""
99190,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113359,61,"Skeletal density",34,"g cm-3",5,"Kobe porosimeter","1.824","mean",0.116,"standard_deviation",NA,NA,"From fig. 6 using ImageJ. Mineralisation values multiplied by density of pure aragonite 2.94 to give density"
99190,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113385,143,"Water depth",9,"m",NA,"","8","raw_value",NA,"",NA,NA,""
99190,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113386,159,"Axial corallite part",1,"text",NA,""," calyx","raw_value",NA,"",NA,NA,""
99190,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113387,157,"Distance from tip",29,"cm",4,"Callipers","25","raw_value",NA,"",NA,NA,""
99189,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113358,61,"Skeletal density",34,"g cm-3",5,"Kobe porosimeter","1.153","mean",0.309,"standard_deviation",NA,NA,"From fig. 6 using ImageJ. Mineralisation values multiplied by density of pure aragonite 2.94 to give density"
99189,1,1,37,"Acropora cervicornis",248,"Buck Island, St. Croix",17.790045,-64.62038,590,NA,113382,143,"Water depth",9,"m",NA,"","8","raw_value",NA,"",NA,NA,""
