Taxon,"Taxon-BRI (Bleaching Response Index) (%)                                                   
",Number of records,"Std Deviation
",Std Error,"Error of measurement, _BRIj (Eq. 8)","Uncertainty, _BRIj  (Eq. 10)",Taxon-dependent site-BRI sBRIj (Eq.12) (316 sites),Taxon-dependent site-BRI sBRIj (Eq.12) (314 sites*)
Acanthastrea,29.23,10,34.77,13.14,8.34,13.14,19.17,19.17
Acanthastrea echinata,42.14,4,39.38,19.69,14.36,19.69,46.63,55.70
Acanthastrea hemprichii,0,1,,,0.00,0.00,19.51,
Acanthastrea hillae,0,1,,,0.00,0.00,19.51,
Acanthastrea lordhowensis,0,1,,,0.00,0.00,19.51,
Acropora,39.17,320,26.36,2.05,1.98,2.05,36.73,37.05
Acropora abrotanoides,20.00,1,,,0.00,0.00,19.41,
Acropora aculeus,17.69,1,,,0.00,0.00,19.42,
Acropora acuminata,35.75,2,,,18.11,18.11,30.51,30.51
Acropora anthocercis,0,1,,,0.00,0.00,19.51, 
Acropora arabensis,61.60,5,13.56,6.06,17.45,17.45,61.60,61.60
Acropora aspera,40.75,6,15.54,6.34,11.37,11.37,26.31,28.04
Acropora austera,23.26,2,,,12.80,12.80,19.63,19.80
Acropora carduus,27.69,1,,,0.00,0.00,19.37, 
Acropora cerealis,48.63,3,46.29,26.72,18.73,26.72,33.33,40.26
Acropora cervicornis,31.93,12,23.20,6.70,5.59,6.70,24.09,25.18
Acropora clathrata,32.99,6,12.92,5.27,9.73,9.73,25.74,27.00
Acropora cytherea,42.48,7,33.10,12.51,9.03,12.51,32.47,34.65
Acropora digitifera,31.84,12,27.26,7.87,5.52,7.87,26.97,27.65
Acropora divaricata,28.06,3,13.31,7.69,12.08,12.08,26.82,30.51
Acropora echinata,71.50,1,,,36.21,36.21,53.97,53.97
Acropora elseyi,25.43,2,,,12.81,12.81,25.88,32.33
Acropora eurystoma,52.60,1,,,18.56,18.56,40.97,40.97
Acropora florida,45.69,3,35.97,20.77,21.25,21.25,28.51,33.04
Acropora gemmifera,71.07,4,32.55,16.28,15.20,16.28,44.54,52.92
Acropora glauca,24.35,1,,,1.04,1.04,19.39, 
Acropora grandis,24.23,4,15.59,7.80,9.09,9.09,20.79,21.26
Acropora horrida,19.40,3,15.90,9.18,8.54,9.18,28.91,33.65
Acropora humilis,51.14,5,34.27,15.32,15.50,15.50,35.70,39.76
Acropora hyacinthus,35.71,17,25.58,6.20,5.62,6.20,29.54,30.18
Acropora latistella,25.27,4,20.28,10.14,4.57,10.14,25.08,26.98
Acropora listeri,18.46,1,,,0.00,0.00,19.42, 
Acropora longicyathus,25.88,1,,,1.04,1.04,19.38, 
Acropora loripes,9.38,1,,,1.38,1.38,19.47, 
Acropora lutkeni,13.73,1,,,2.42,2.42,19.44, 
Acropora microclados,0,1,,,0.00,0.00,19.51, 
Acropora microphthalma,7.26,8,6.66,2.36,1.55,2.36,16.29,15.66
Acropora millepora,34.19,4,17.79,8.90,9.02,9.02,44.68,53.08
Acropora monticulosa,45.23,2,,,22.46,22.46,45.46,71.50
Acropora muricata,29.30,13,18.10,5.02,5.74,5.74,24.11,24.50
Acropora nasuta,58.94,6,36.44,14.88,9.13,14.88,40.75,45.01
Acropora palmata,25.82,11,22.90,6.90,5.99,6.90,20.73,21.59
Acropora pharaonis,35.75,1,,,25.61,25.61,16.50,16.50
Acropora pulchra,8.40,4,3.90,1.95,2.78,2.78,11.05,8.25
Acropora robusta,36.04,14,31.41,9.93,6.70,9.93,30.35,31.57
Acropora samoensis,11.54,1,,,0.00,0.00,19.46, 
Acropora sarmentosa,12.19,1,,,1.73,1.73,19.45, 
Acropora secale,31.03,5,10.70,4.79,10.19,10.19,28.69,31.00
Acropora selago,12.31,1,,,0.00,0.00,19.45, 
Acropora seriata,2.75,1,,,3.04,3.04,2.75,2.75
Acropora solitaryensis,29.88,1,,,2.42,2.42,19.36, 
Acropora spathulata,10.08,1,,,0.69,0.69,19.46, 
Acropora subglabra,35.75,1,,,25.61,25.61,32.33,32.33
Acropora subulata,29.57,4,18.25,9.13,5.09,9.13,22.66,23.74
Acropora tenuis,37.85,5,23.73,10.61,12.46,12.46,29.35,31.82
Acropora valenciennesi,32.82,4,5.86,2.93,11.11,11.11,24.23,25.84
Acropora valida,16.35,3,17.01,9.82,8.57,9.82,34.20,41.56
Acropora willisae,0,1,,,0.00,0.00,19.51, 
Acropora yongei,15.96,1,,,1.73,1.73,19.43, 
Agaricia,32.24,55,24.80,3.92,3.09,3.92,28.92,28.92
Agaricia agaricites,33.51,13,30.66,8.50,3.66,8.50,14.61,14.82
Agaricia fragilis,7.33,3,5.72,3.31,4.97,4.97,7.91,5.50
Agaricia grahamae,2.75,2,,,2.15,2.15,7.73,2.75
Agaricia humilis,11.00,1,,,7.57,7.57,12.57, 
Agaricia lamarcki,25.54,8,32.30,11.42,4.87,11.42,22.20,23.57
Agaricia tenuifolia,32.08,12,27.76,8.01,7.91,8.01,19.36,20.17
Agaricia undata,2.75,2,,,2.15,2.15,7.73,2.75
Alveopora,25.31,3,23.19,13.39,5.60,13.39,31.88,31.88
Astrea curta,10.25,17,24.26,5.88,3.03,5.88,7.18,6.25
Astreopora,23.38,20,14.76,3.30,3.60,3.60,31.79,31.79
Astreopora myriophthalma,2.75,1,,,3.04,3.04,22.00,22.00
Australogyra zelli,55.89,1,,,21.03,21.03,19.23, 
Catalaphyllia jardinei,2.75,1,,,0.00,0.00,56.12,56.12
Caulastraea,26.57,5,20.64,9.23,9.19,9.23,41.25,41.25
Caulastraea furcata,4.55,2,,,0.00,0.00,37.84,56.20
Cladocora arbuscula,2.75,1,,,3.04,3.04,12.72, 
Coelastrea aspera,14.27,4,16.87,8.44,6.54,8.44,23.69,25.10
Coeloseris mayeri,35.96,4,1.92,0.96,11.29,11.29,29.72,33.17
Colpophyllia amaranthus,2.75,1,,,8.15,8.15,12.72, 
Colpophyllia natans,17.97,22,16.93,3.61,2.96,3.61,21.11,21.51
Coscinaraea,26.50,9,24.46,8.65,6.86,8.65,30.77,30.77
Coscinaraea columna,6.51,1,,,2.79,2.79,19.48, 
Coscinaraea exesa,8.00,2,,,6.25,6.25,35.07,50.62
Coscinaraea monile,37.13,2,,,22.50,22.50,45.38,45.38
Ctenactis,0,2,,,0.00,0.00,4.98,4.98
Ctenactis echinata,0,1,,,0.00,0.00,19.51, 
Cycloseris,37.67,26,20.63,5.33,4.98,5.33,49.23,49.23
Cycloseris curvata,17.50,4,20.21,10.11,8.08,10.11,28.45,28.45
Cycloseris distorta,1.38,2,,,1.52,1.52,21.13,21.13
Cyphastrea,21.75,13,28.55,9.03,7.01,9.03,40.12,40.12
Cyphastrea chalcidicum,0,1,,,0.00,0.00,19.51, 
Cyphastrea decadia,0.79,1,,,0.79,0.79,19.51, 
Cyphastrea microphthalma,6.54,1,,,0.00,0.00,19.48, 
Cyphastrea ocellina,5.50,1,,,4.30,4.30,22.00,22.00
Cyphastrea serailia,8.64,1,,,1.68,1.68,19.47, 
Danafungia horrida,0,2,,,0.00,0.00,19.51, 
Dendrogyra cylindrus,45.38,2,,,25.89,25.89,23.78,35.42
Dichocoenia stellaris,2.75,1,,,3.04,3.04,12.72, 
Dichocoenia stokesii,10.25,5,15.90,7.11,5.41,7.11,15.75,16.51
Diploastrea,34.21,6,26.14,10.67,10.12,10.67,42.49,42.49
Diploastrea heliopora,19.94,2,,,5.06,5.06,24.26,29.15
Diploria,17.33,57,15.74,2.52,2.01,2.52,32.09,32.09
Diploria clivosa,17.49,4,21.30,10.65,9.03,10.65,21.00,23.81
Diploria labyrinthiformis,12.28,26,11.79,2.31,2.10,2.31,16.98,17.15
Diploria strigosa,17.57,18,14.81,3.49,3.43,3.49,21.53,22.06
Dipsastraea,33.04,65,20.98,3.16,3.05,3.16,31.01,31.16
Dipsastraea danai,37.43,1,,,4.63,4.63,19.32, 
Dipsastraea favus,32.05,6,28.24,11.53,6.64,11.53,41.02,45.35
Dipsastraea laxa,41.50,1,,,0.89,0.89,19.30, 
Dipsastraea lizardensis,76.00,2,,,25.13,25.13,34.31,49.37
Dipsastraea maritima,6.73,1,,,1.68,1.68,19.48, 
Dipsastraea matthaii,31.87,1,,,3.79,3.79,19.35, 
Dipsastraea maxima,16.00,1,,,12.50,12.50,49.76,49.76
Dipsastraea pallida,55.04,12,20.23,5.84,9.28,9.28,47.30,49.84
Dipsastraea rotumana,23.04,2,,,12.80,12.80,24.08,28.70
Dipsastraea speciosa,33.60,5,21.79,9.75,10.46,10.46,28.65,30.97
Dipsastraea truncatus,35.19,1,,,3.37,3.37,19.33, 
Echinophyllia,11.13,7,12.51,5.11,2.27,5.11,37.50,37.50
Echinophyllia aspera,10.56,1,,,4.37,4.37,19.46, 
Echinophyllia orpheensis,0,1,,,0.00,0.00,19.51, 
Echinopora,13.76,20,17.20,4.30,2.89,4.30,18.70,18.70
Echinopora gemmacea,31.56,2,,,2.70,2.70,30.47,41.52
Echinopora horrida,0.79,1,,,0.79,0.79,19.51, 
Echinopora lamellosa,8.87,3,8.34,4.81,1.81,4.81,23.84,28.25
Echinopora mammiformis,19.16,1,,,4.21,4.21,19.42, 
Echinopora pacificus,28.60,1,,,5.05,5.05,19.37, 
Euphyllia glabrescens,2.75,3,0.00,0.00,1.76,1.76,2.75,2.75
Eusmilia fastigiata,14.13,4,12.98,6.49,2.66,6.49,22.70,26.07
Favia fragum,34.21,5,21.08,9.43,13.56,13.56,18.91,20.49
Favites,28.41,52,20.31,3.71,3.07,3.71,31.61,31.61
Favites abdita,26.03,5,15.29,6.84,8.47,8.47,34.05,37.72
Favites chinensis,49.37,5,38.82,17.36,14.86,17.36,45.38,45.38
Favites complanata,20.28,1,,,5.05,5.05,19.41, 
Favites flexuosa,43.34,4,43.47,21.74,15.07,21.74,34.92,40.09
Favites halicora,25.66,5,25.44,11.38,9.08,11.38,41.96,47.59
Favites magnistellata,24.72,1,,,6.31,6.31,19.39, 
Favites pentagona,27.07,2,,,2.53,2.53,31.19,43.02
Favites rotundata,32.34,1,,,4.21,4.21,19.35, 
Favites russelli,14.73,2,,,6.31,6.31,35.04,50.62
Favites valenciennesi,18.14,2,,,12.50,12.50,34.45,49.39
Fungia fungites,15.21,4,14.19,7.10,6.94,7.10,28.40,31.37
Galaxea,32.09,32,19.35,3.72,4.16,4.16,36.77,36.77
Galaxea acrhelia,29.85,1,,,0.00,0.00,19.36, 
Galaxea astreata,47.59,3,32.75,18.91,13.62,18.91,37.92,47.15
Galaxea fascicularis,25.43,7,22.82,8.63,7.91,8.63,35.57,38.80
Galaxea horrescens,28.51,1,,,1.34,1.34,19.37, 
Gardineroseris,20.09,7,19.63,7.42,6.54,7.42,4.96,4.96
Gardineroseris planulata,23.31,6,19.37,7.91,7.61,7.91,24.25,25.22
Goniastrea,29.31,27,27.23,6.81,4.35,6.81,28.57,28.57
Goniastrea australensis,22.80,1,,,3.36,3.36,19.40, 
Goniastrea edwardsi,56.91,2,,,19.01,19.01,34.06,48.87
Goniastrea favulus,14.95,1,,,0.00,0.00,19.44, 
Goniastrea pectinata,46.88,3,49.24,28.43,16.76,28.43,30.51,36.10
Goniastrea retiformis,56.85,6,23.52,9.60,13.15,13.15,42.64,47.31
Goniastrea stelligera,49.18,4,37.51,18.76,14.28,18.76,27.08,29.69
