"observation_id","access","user_id","specie_id","specie_name","location_id","location_name","latitude","longitude","resource_id","resource_secondary_id","measurement_id","trait_id","trait_name","standard_id","standard_unit","methodology_id","methodology_name","value","value_type","precision","precision_type","precision_upper","replicates","notes"
84548,1,15,4,"Acanthastrea echinata",105,"Zanzibar",-6.09446701,39.07226501,251,285,86169,129,"Symbiodinium subclade",10,"cat",NA,NA,"C3","raw_value",NA,NA,NA,NA,NA
84548,1,15,4,"Acanthastrea echinata",105,"Zanzibar",-6.09446701,39.07226501,251,285,86170,143,"Water depth",9,"m",NA,NA,"3","raw_value",NA,NA,NA,NA,NA
85983,1,15,4,"Acanthastrea echinata",89,"Feather Reef",-17.53280278,146.3924694,247,285,89039,129,"Symbiodinium subclade",10,"cat",NA,NA,"D1a","raw_value",NA,NA,NA,NA,NA
85983,1,15,4,"Acanthastrea echinata",89,"Feather Reef",-17.53280278,146.3924694,247,285,89040,143,"Water depth",9,"m",NA,NA,"10","raw_value",NA,NA,NA,NA,NA
85782,1,15,4,"Acanthastrea echinata",89,"Feather Reef",-17.53280278,146.3924694,247,285,88637,129,"Symbiodinium subclade",10,"cat",NA,NA,"D1","raw_value",NA,NA,NA,NA,NA
85782,1,15,4,"Acanthastrea echinata",89,"Feather Reef",-17.53280278,146.3924694,247,285,88638,143,"Water depth",9,"m",NA,NA,"10","raw_value",NA,NA,NA,NA,NA
84322,1,15,4,"Acanthastrea echinata",86,"Heron Island",-23.44412778,151.9160528,245,285,85717,129,"Symbiodinium subclade",10,"cat",NA,NA,"C3","raw_value",NA,NA,NA,NA,NA
84322,1,15,4,"Acanthastrea echinata",86,"Heron Island",-23.44412778,151.9160528,245,285,85718,143,"Water depth",9,"m",NA,NA,"3","raw_value",NA,NA,NA,NA,NA
84321,1,15,4,"Acanthastrea echinata",86,"Heron Island",-23.44412778,151.9160528,245,285,85715,129,"Symbiodinium subclade",10,"cat",NA,NA,"C3","raw_value",NA,NA,NA,NA,NA
84321,1,15,4,"Acanthastrea echinata",86,"Heron Island",-23.44412778,151.9160528,245,285,85716,143,"Water depth",9,"m",NA,NA,"3","raw_value",NA,NA,NA,NA,NA
85214,1,15,4,"Acanthastrea echinata",105,"Zanzibar",-6.09446701,39.07226501,251,285,87501,129,"Symbiodinium subclade",10,"cat",NA,NA,"C3u","raw_value",NA,NA,NA,NA,NA
85214,1,15,4,"Acanthastrea echinata",105,"Zanzibar",-6.09446701,39.07226501,251,285,87502,143,"Water depth",9,"m",NA,NA,"3","raw_value",NA,NA,NA,NA,NA
85268,1,15,6,"Acanthastrea hemprichi",105,"Zanzibar",-6.09446701,39.07226501,251,285,87609,129,"Symbiodinium subclade",10,"cat",NA,NA,"C3u","raw_value",NA,NA,NA,NA,NA
85268,1,15,6,"Acanthastrea hemprichi",105,"Zanzibar",-6.09446701,39.07226501,251,285,87610,143,"Water depth",9,"m",NA,NA,"3","raw_value",NA,NA,NA,NA,NA
84610,1,15,6,"Acanthastrea hemprichi",105,"Zanzibar",-6.09446701,39.07226501,251,285,86293,129,"Symbiodinium subclade",10,"cat",NA,NA,"C3","raw_value",NA,NA,NA,NA,NA
84610,1,15,6,"Acanthastrea hemprichi",105,"Zanzibar",-6.09446701,39.07226501,251,285,86294,143,"Water depth",9,"m",NA,NA,"3","raw_value",NA,NA,NA,NA,NA
83414,1,15,16,"Acropora abrolhosensis",88,"Zamami Island",26.23345278,127.3092069,247,285,83901,129,"Symbiodinium subclade",10,"cat",NA,NA,"C1","raw_value",NA,NA,NA,NA,NA
83414,1,15,16,"Acropora abrolhosensis",88,"Zamami Island",26.23345278,127.3092069,247,285,83902,143,"Water depth",9,"m",NA,NA,"1","raw_value",NA,NA,NA,NA,NA
