"observation_id","access","user_id","specie_id","specie_name","location_id","location_name","latitude","longitude","resource_id","resource_secondary_id","measurement_id","trait_id","trait_name","standard_id","standard_unit","methodology_id","methodology_name","value","value_type","precision","precision_type","precision_upper","replicates","notes"
90274,1,15,24,"Acropora aspera",86,"Heron Island",-23.44412778,151.9160528,557,683,94813,135,"Symbiodinium density",47,"units cm^-2",37,"Frozen, airbrush","1500000","raw_value",NA,"",NA,NA,"frozen, airbrush"
90274,1,15,24,"Acropora aspera",86,"Heron Island",-23.44412778,151.9160528,557,683,94814,142,"Habitat type",10,"cat",NA,"","flat","raw_value",NA,"",NA,NA,""
90274,1,15,24,"Acropora aspera",86,"Heron Island",-23.44412778,151.9160528,557,683,94815,151,"Season",10,"cat",NA,"","April 2006","raw_value",NA,"",NA,NA,""
90274,1,15,24,"Acropora aspera",86,"Heron Island",-23.44412778,151.9160528,557,683,94816,152,"Water temperature",52,"ºC",NA,"","27","raw_value",NA,"",NA,NA,""
90274,1,15,24,"Acropora aspera",86,"Heron Island",-23.44412778,151.9160528,557,683,94817,153,"Irradiance",53,"µmol quanta m^-2 s^-1",NA,"","1271","raw_value",NA,"",NA,NA,"mean max"
123999,1,15,37,"Acropora cervicornis",64,"North Norman's Patch, Exuma Cays",23.7912,-76.1368,572,NA,160681,135,"Symbiodinium density",47,"units cm^-2",38,"Hemocytometer counts","491000","raw_value",NA,"",NA,NA,""
123999,1,15,37,"Acropora cervicornis",64,"North Norman's Patch, Exuma Cays",23.7912,-76.1368,572,NA,160684,207,"Bleaching event",10,"cat",NA,"","no","raw_value",NA,"",NA,NA,""
123999,1,15,37,"Acropora cervicornis",64,"North Norman's Patch, Exuma Cays",23.7912,-76.1368,572,NA,160683,143,"Water depth",9,"m",NA,"","2","raw_value",NA,"",NA,NA,"Midpoint of range given in Table 1"
123999,1,15,37,"Acropora cervicornis",64,"North Norman's Patch, Exuma Cays",23.7912,-76.1368,572,NA,160682,151,"Season",10,"cat",NA,"","spring","raw_value",NA,"",NA,NA,""
123999,1,15,37,"Acropora cervicornis",64,"North Norman's Patch, Exuma Cays",23.7912,-76.1368,572,NA,160680,150,"Total biomass",45,"mg cm^-2",48,"Ash free dry weight (AFDW)","2.499","raw_value",NA,"",NA,NA,""
124075,1,15,37,"Acropora cervicornis",67,"Alligator Reef, Florida Keys",24.8424,-80.6244,572,NA,161058,135,"Symbiodinium density",47,"units cm^-2",38,"Hemocytometer counts","1600000","raw_value",NA,"",NA,NA,""
124075,1,15,37,"Acropora cervicornis",67,"Alligator Reef, Florida Keys",24.8424,-80.6244,572,NA,161061,207,"Bleaching event",10,"cat",NA,"","no","raw_value",NA,"",NA,NA,""
124075,1,15,37,"Acropora cervicornis",67,"Alligator Reef, Florida Keys",24.8424,-80.6244,572,NA,161060,143,"Water depth",9,"m",NA,"","13.5","raw_value",NA,"",NA,NA,"Midpoint of range given in Table 1"
124075,1,15,37,"Acropora cervicornis",67,"Alligator Reef, Florida Keys",24.8424,-80.6244,572,NA,161059,151,"Season",10,"cat",NA,"","spring","raw_value",NA,"",NA,NA,""
124075,1,15,37,"Acropora cervicornis",67,"Alligator Reef, Florida Keys",24.8424,-80.6244,572,NA,161057,150,"Total biomass",45,"mg cm^-2",48,"Ash free dry weight (AFDW)","1.98","raw_value",NA,"",NA,NA,""
