"observation_id","access","user_id","specie_id","specie_name","location_id","location_name","latitude","longitude","resource_id","resource_secondary_id","measurement_id","trait_id","trait_name","standard_id","standard_unit","methodology_id","methodology_name","value","value_type","precision","precision_type","precision_upper","replicates","notes"
90349,1,15,24,"Acropora aspera",243,"Sesoko Island, Okinawa",26.650527,127.86438,567,683,95122,132,"Tissue thickness",28,"mm",34,"Decalcified tissues measured with calipers","1","mean",0.329,"standard_deviation",NA,5,"Decalcified tissues measured with calipers"
90349,1,15,24,"Acropora aspera",243,"Sesoko Island, Okinawa",26.650527,127.86438,567,683,95123,143,"Water depth",9,"m",NA,"","2","raw_value",NA,"",NA,NA,""
90349,1,15,24,"Acropora aspera",243,"Sesoko Island, Okinawa",26.650527,127.86438,567,683,95124,142,"Habitat type",10,"cat",NA,"","flat","raw_value",NA,"",NA,NA,""
90349,1,15,24,"Acropora aspera",243,"Sesoko Island, Okinawa",26.650527,127.86438,567,683,95125,151,"Season",10,"cat",NA,"","Summer","raw_value",NA,"",NA,NA,""
90350,1,15,50,"Acropora digitifera",243,"Sesoko Island, Okinawa",26.650527,127.86438,567,683,95126,132,"Tissue thickness",28,"mm",34,"Decalcified tissues measured with calipers","1.9","mean",0.105,"standard_deviation",NA,5,"Decalcified tissues measured with calipers"
90350,1,15,50,"Acropora digitifera",243,"Sesoko Island, Okinawa",26.650527,127.86438,567,683,95127,143,"Water depth",9,"m",NA,"","2","raw_value",NA,"",NA,NA,""
90350,1,15,50,"Acropora digitifera",243,"Sesoko Island, Okinawa",26.650527,127.86438,567,683,95128,142,"Habitat type",10,"cat",NA,"","flat","raw_value",NA,"",NA,NA,""
90350,1,15,50,"Acropora digitifera",243,"Sesoko Island, Okinawa",26.650527,127.86438,567,683,95129,151,"Season",10,"cat",NA,"","Summer","raw_value",NA,"",NA,NA,""
90351,1,15,68,"Acropora gemmifera",243,"Sesoko Island, Okinawa",26.650527,127.86438,567,683,95130,132,"Tissue thickness",28,"mm",34,"Decalcified tissues measured with calipers","1.9","mean",0.018,"standard_deviation",NA,5,"Decalcified tissues measured with calipers"
90351,1,15,68,"Acropora gemmifera",243,"Sesoko Island, Okinawa",26.650527,127.86438,567,683,95131,143,"Water depth",9,"m",NA,"","2","raw_value",NA,"",NA,NA,""
90351,1,15,68,"Acropora gemmifera",243,"Sesoko Island, Okinawa",26.650527,127.86438,567,683,95132,142,"Habitat type",10,"cat",NA,"","flat","raw_value",NA,"",NA,NA,""
90351,1,15,68,"Acropora gemmifera",243,"Sesoko Island, Okinawa",26.650527,127.86438,567,683,95133,151,"Season",10,"cat",NA,"","Summer","raw_value",NA,"",NA,NA,""
90352,1,15,794,"Coelastrea aspera",243,"Sesoko Island, Okinawa",26.650527,127.86438,567,683,95134,132,"Tissue thickness",28,"mm",34,"Decalcified tissues measured with calipers","3.6","mean",0.006,"standard_deviation",NA,5,"Decalcified tissues measured with calipers"
90352,1,15,794,"Coelastrea aspera",243,"Sesoko Island, Okinawa",26.650527,127.86438,567,683,95135,143,"Water depth",9,"m",NA,"","2","raw_value",NA,"",NA,NA,""
90352,1,15,794,"Coelastrea aspera",243,"Sesoko Island, Okinawa",26.650527,127.86438,567,683,95136,142,"Habitat type",10,"cat",NA,"","flat","raw_value",NA,"",NA,NA,""
90352,1,15,794,"Coelastrea aspera",243,"Sesoko Island, Okinawa",26.650527,127.86438,567,683,95137,151,"Season",10,"cat",NA,"","Summer","raw_value",NA,"",NA,NA,""
90353,1,15,805,"Goniastrea retiformis",243,"Sesoko Island, Okinawa",26.650527,127.86438,567,683,95138,132,"Tissue thickness",28,"mm",34,"Decalcified tissues measured with calipers","2.8","mean",0.196,"standard_deviation",NA,5,"Decalcified tissues measured with calipers"
90353,1,15,805,"Goniastrea retiformis",243,"Sesoko Island, Okinawa",26.650527,127.86438,567,683,95139,143,"Water depth",9,"m",NA,"","2","raw_value",NA,"",NA,NA,""
90353,1,15,805,"Goniastrea retiformis",243,"Sesoko Island, Okinawa",26.650527,127.86438,567,683,95140,142,"Habitat type",10,"cat",NA,"","flat","raw_value",NA,"",NA,NA,""
90353,1,15,805,"Goniastrea retiformis",243,"Sesoko Island, Okinawa",26.650527,127.86438,567,683,95141,151,"Season",10,"cat",NA,"","Summer","raw_value",NA,"",NA,NA,""
