"observation_id","access","user_id","specie_id","specie_name","location_id","location_name","latitude","longitude","resource_id","resource_secondary_id","measurement_id","trait_id","trait_name","standard_id","standard_unit","methodology_id","methodology_name","value","value_type","precision","precision_type","precision_upper","replicates","notes"
89941,1,15,37,"Acropora cervicornis",222,"Bahamas",25.533672,-77.384523,484,683,93520,146,"Chlorophyll a",51,"µg cm^-2",39,"Acetone","3.1","raw_value",NA,"",NA,NA,"Acetone"
89941,1,15,37,"Acropora cervicornis",222,"Bahamas",25.533672,-77.384523,484,683,93521,143,"Water depth",9,"m",NA,"","13","raw_value",NA,"",NA,NA,""
89941,1,15,37,"Acropora cervicornis",222,"Bahamas",25.533672,-77.384523,484,683,93522,151,"Season",10,"cat",NA,"","Jan/Feb","raw_value",NA,"",NA,NA,""
89939,1,15,37,"Acropora cervicornis",222,"Bahamas",25.533672,-77.384523,484,683,93514,146,"Chlorophyll a",51,"µg cm^-2",39,"Acetone","2.5","raw_value",NA,"",NA,NA,"Acetone"
89939,1,15,37,"Acropora cervicornis",222,"Bahamas",25.533672,-77.384523,484,683,93515,143,"Water depth",9,"m",NA,"","1","raw_value",NA,"",NA,NA,""
89939,1,15,37,"Acropora cervicornis",222,"Bahamas",25.533672,-77.384523,484,683,93516,151,"Season",10,"cat",NA,"","Dec/Jan","raw_value",NA,"",NA,NA,""
89940,1,15,37,"Acropora cervicornis",222,"Bahamas",25.533672,-77.384523,484,683,93517,146,"Chlorophyll a",51,"µg cm^-2",39,"Acetone","1","raw_value",NA,"",NA,NA,"Acetone"
89940,1,15,37,"Acropora cervicornis",222,"Bahamas",25.533672,-77.384523,484,683,93518,143,"Water depth",9,"m",NA,"","1","raw_value",NA,"",NA,NA,""
89940,1,15,37,"Acropora cervicornis",222,"Bahamas",25.533672,-77.384523,484,683,93519,151,"Season",10,"cat",NA,"","Dec/Jan","raw_value",NA,"",NA,NA,""
89942,1,15,37,"Acropora cervicornis",222,"Bahamas",25.533672,-77.384523,484,683,93523,146,"Chlorophyll a",51,"µg cm^-2",39,"Acetone","1.7","raw_value",NA,"",NA,NA,"Acetone"
89942,1,15,37,"Acropora cervicornis",222,"Bahamas",25.533672,-77.384523,484,683,93524,143,"Water depth",9,"m",NA,"","13","raw_value",NA,"",NA,NA,""
89942,1,15,37,"Acropora cervicornis",222,"Bahamas",25.533672,-77.384523,484,683,93525,151,"Season",10,"cat",NA,"","Nov","raw_value",NA,"",NA,NA,""
89943,1,15,66,"Acropora muricata",223,"Kavaratti atoll India Indo-Pacific",0,0,485,683,93526,146,"Chlorophyll a",51,"µg cm^-2",39,"Acetone","0.8","raw_value",NA,"",NA,NA,"90% Acetone"
89943,1,15,66,"Acropora muricata",223,"Kavaratti atoll India Indo-Pacific",0,0,485,683,93527,143,"Water depth",9,"m",NA,"","2","raw_value",NA,"",NA,NA,""
89943,1,15,66,"Acropora muricata",223,"Kavaratti atoll India Indo-Pacific",0,0,485,683,93528,142,"Habitat type",10,"cat",NA,"","lagoon","raw_value",NA,"",NA,NA,""
89943,1,15,66,"Acropora muricata",223,"Kavaratti atoll India Indo-Pacific",0,0,485,683,93529,151,"Season",10,"cat",NA,"","April 2002","raw_value",NA,"",NA,NA,""
89943,1,15,66,"Acropora muricata",223,"Kavaratti atoll India Indo-Pacific",0,0,485,683,93530,152,"Water temperature",52,"ºC",NA,"","28 to 29 normal April to May 2002 highs were 31-32","raw_value",NA,"",NA,NA,""
89945,1,15,124,"Acropora palmata",222,"Bahamas",25.533672,-77.384523,484,683,93534,146,"Chlorophyll a",51,"µg cm^-2",39,"Acetone","1.3","raw_value",NA,"",NA,NA,"Acetone"
89945,1,15,124,"Acropora palmata",222,"Bahamas",25.533672,-77.384523,484,683,93535,143,"Water depth",9,"m",NA,"","1","raw_value",NA,"",NA,NA,""
89945,1,15,124,"Acropora palmata",222,"Bahamas",25.533672,-77.384523,484,683,93536,151,"Season",10,"cat",NA,"","ÅAug/Sept","raw_value",NA,"",NA,NA,""
89944,1,15,124,"Acropora palmata",222,"Bahamas",25.533672,-77.384523,484,683,93531,146,"Chlorophyll a",51,"µg cm^-2",39,"Acetone","4.3","raw_value",NA,"",NA,NA,"Acetone"
89944,1,15,124,"Acropora palmata",222,"Bahamas",25.533672,-77.384523,484,683,93532,143,"Water depth",9,"m",NA,"","1","raw_value",NA,"",NA,NA,""
89944,1,15,124,"Acropora palmata",222,"Bahamas",25.533672,-77.384523,484,683,93533,151,"Season",10,"cat",NA,"","ÅDec/Jan","raw_value",NA,"",NA,NA,""
89946,1,15,794,"Coelastrea aspera",165,"Phuket Island",7.98631667,98.32754444,487,683,93537,146,"Chlorophyll a",51,"µg cm^-2",39,"Acetone","6.4","raw_value",NA,"",NA,NA,"90% Acetone"
89946,1,15,794,"Coelastrea aspera",165,"Phuket Island",7.98631667,98.32754444,487,683,93538,143,"Water depth",9,"m",NA,"","1","raw_value",NA,"",NA,NA,""
89946,1,15,794,"Coelastrea aspera",165,"Phuket Island",7.98631667,98.32754444,487,683,93539,151,"Season",10,"cat",NA,"","May 1994","raw_value",NA,"",NA,NA,""
