"observation_id","access","user_id","specie_id","specie_name","location_id","location_name","latitude","longitude","resource_id","resource_secondary_id","measurement_id","trait_id","trait_name","standard_id","standard_unit","methodology_id","methodology_name","value","value_type","precision","precision_type","precision_upper","replicates","notes"
107676,1,2,3,"Acanthastrea brevis",1,"Global estimate",NA,NA,10,NA,122123,104,"Coloniality",10,"cat",22,"Derived from textual description","colonial","expert_opinion",NA,NA,NA,NA,NA
107677,1,2,4,"Acanthastrea echinata",1,"Global estimate",NA,NA,10,NA,122124,104,"Coloniality",10,"cat",22,"Derived from textual description","colonial","expert_opinion",NA,NA,NA,NA,NA
107679,1,2,6,"Acanthastrea hemprichi",1,"Global estimate",NA,NA,10,NA,122126,104,"Coloniality",10,"cat",22,"Derived from textual description","colonial","expert_opinion",NA,NA,NA,NA,NA
107680,1,2,8,"Acanthastrea ishigakiensis",1,"Global estimate",NA,NA,10,NA,122127,104,"Coloniality",10,"cat",22,"Derived from textual description","colonial","expert_opinion",NA,NA,NA,NA,NA
107681,1,2,12,"Acanthastrea regularis",1,"Global estimate",NA,NA,10,NA,122128,104,"Coloniality",10,"cat",22,"Derived from textual description","colonial","expert_opinion",NA,NA,NA,NA,NA
107682,1,2,13,"Acanthastrea rotundoflora",1,"Global estimate",NA,NA,10,NA,122129,104,"Coloniality",10,"cat",22,"Derived from textual description","colonial","expert_opinion",NA,NA,NA,NA,NA
107683,1,2,14,"Acanthastrea subechinata",1,"Global estimate",NA,NA,10,NA,122130,104,"Coloniality",10,"cat",22,"Derived from textual description","colonial","expert_opinion",NA,NA,NA,NA,NA
108449,1,2,16,"Acropora abrolhosensis",1,"Global estimate",NA,NA,677,NA,122896,104,"Coloniality",10,"cat",22,"Derived from textual description","colonial","expert_opinion",NA,NA,NA,NA,NA
107684,1,2,16,"Acropora abrolhosensis",1,"Global estimate",NA,NA,10,NA,122131,104,"Coloniality",10,"cat",22,"Derived from textual description","colonial","expert_opinion",NA,NA,NA,NA,NA
108450,1,2,17,"Acropora abrotanoides",1,"Global estimate",NA,NA,677,NA,122897,104,"Coloniality",10,"cat",22,"Derived from textual description","colonial","expert_opinion",NA,NA,NA,NA,NA
107685,1,2,17,"Acropora abrotanoides",1,"Global estimate",NA,NA,10,NA,122132,104,"Coloniality",10,"cat",22,"Derived from textual description","colonial","expert_opinion",NA,NA,NA,NA,NA
107686,1,2,18,"Acropora aculeus",1,"Global estimate",NA,NA,10,NA,122133,104,"Coloniality",10,"cat",22,"Derived from textual description","colonial","expert_opinion",NA,NA,NA,NA,NA
108451,1,2,18,"Acropora aculeus",1,"Global estimate",NA,NA,677,NA,122898,104,"Coloniality",10,"cat",22,"Derived from textual description","colonial","expert_opinion",NA,NA,NA,NA,NA
107687,1,2,19,"Acropora acuminata",1,"Global estimate",NA,NA,10,NA,122134,104,"Coloniality",10,"cat",22,"Derived from textual description","colonial","expert_opinion",NA,NA,NA,NA,NA
108452,1,2,19,"Acropora acuminata",1,"Global estimate",NA,NA,677,NA,122899,104,"Coloniality",10,"cat",22,"Derived from textual description","colonial","expert_opinion",NA,NA,NA,NA,NA
107688,1,2,20,"Acropora akajimensis",1,"Global estimate",NA,NA,10,NA,122135,104,"Coloniality",10,"cat",22,"Derived from textual description","colonial","expert_opinion",NA,NA,NA,NA,NA
107689,1,2,21,"Acropora anthocercis",1,"Global estimate",NA,NA,10,NA,122136,104,"Coloniality",10,"cat",22,"Derived from textual description","colonial","expert_opinion",NA,NA,NA,NA,NA
