"observation_id","access","user_id","specie_id","specie_name","location_id","location_name","latitude","longitude","resource_id","resource_secondary_id","measurement_id","trait_id","trait_name","standard_id","standard_unit","methodology_id","methodology_name","value","value_type","precision","precision_type","precision_upper","replicates","notes"
112778,1,31,16,"Acropora abrolhosensis",1,"Global estimate",NA,NA,10,NA,127225,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",1000,"raw_value","","",NA,NA,NA
112779,1,31,16,"Acropora abrolhosensis",1,"Global estimate",NA,NA,23,NA,127226,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",300,"raw_value","","",NA,NA,NA
112780,1,31,16,"Acropora abrolhosensis",1,"Global estimate",NA,NA,37,NA,127227,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",300,"raw_value","","",NA,NA,NA
112781,1,31,18,"Acropora aculeus",1,"Global estimate",NA,NA,23,NA,127228,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",40,"raw_value","","",NA,NA,NA
112782,1,31,18,"Acropora aculeus",1,"Global estimate",NA,NA,37,NA,127229,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",40,"raw_value","","",NA,NA,NA
112785,1,31,19,"Acropora acuminata",1,"Global estimate",NA,NA,37,NA,127232,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",100,"raw_value","","",NA,NA,NA
112783,1,31,19,"Acropora acuminata",1,"Global estimate",NA,NA,15,NA,127230,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",200,"raw_value","","",NA,NA,NA
112784,1,31,19,"Acropora acuminata",1,"Global estimate",NA,NA,23,NA,127231,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",100,"raw_value","","",NA,NA,NA
112787,1,31,21,"Acropora anthocercis",1,"Global estimate",NA,NA,23,NA,127234,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",50,"raw_value","","",NA,NA,NA
112786,1,31,21,"Acropora anthocercis",1,"Global estimate",NA,NA,15,NA,127233,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",100,"raw_value","","",NA,NA,NA
112788,1,31,26,"Acropora awi",1,"Global estimate",NA,NA,23,NA,127235,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",150,"raw_value","","",NA,NA,NA
112789,1,31,26,"Acropora awi",1,"Global estimate",NA,NA,37,NA,127236,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",150,"raw_value","","",NA,NA,NA
112790,1,31,27,"Acropora azurea",1,"Global estimate",NA,NA,23,NA,127237,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",15,"raw_value","","",NA,NA,NA
112792,1,31,28,"Acropora batunai",1,"Global estimate",NA,NA,37,NA,127239,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",125,"raw_value","","",NA,NA,NA
112791,1,31,28,"Acropora batunai",1,"Global estimate",NA,NA,23,NA,127238,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",125,"raw_value","","",NA,NA,NA
112793,1,31,32,"Acropora bushyensis",1,"Global estimate",NA,NA,15,NA,127240,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",25,"raw_value","","",NA,NA,NA
112794,1,31,32,"Acropora bushyensis",1,"Global estimate",NA,NA,23,NA,127241,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",25,"raw_value","","",NA,NA,NA
112795,1,31,35,"Acropora caroliniana",1,"Global estimate",NA,NA,15,NA,127242,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",50,"raw_value","","",NA,NA,NA
112796,1,31,35,"Acropora caroliniana",1,"Global estimate",NA,NA,23,NA,127243,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",50,"raw_value","","",NA,NA,NA
112797,1,31,35,"Acropora caroliniana",1,"Global estimate",NA,NA,37,NA,127244,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",50,"raw_value","","",NA,NA,NA
112798,1,31,36,"Acropora cerealis",1,"Global estimate",NA,NA,23,NA,127245,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",50,"raw_value","","",NA,NA,NA
112799,1,31,36,"Acropora cerealis",1,"Global estimate",NA,NA,37,NA,127246,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",50,"raw_value","","",NA,NA,NA
114465,1,8,37,"Acropora cervicornis",56,"Lee Stocking Island",23.76725556,-76.09464167,690,NA,134852,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",26.38,"maximum","a cervicornis","",NA,NA,NA
114453,1,8,37,"Acropora cervicornis",1,"Global estimate",NA,NA,689,NA,134840,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",111,"maximum","","",NA,NA,NA
112800,1,31,45,"Acropora cylindrica",1,"Global estimate",NA,NA,65,NA,127247,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",100,"raw_value","","",NA,NA,NA
112801,1,31,46,"Acropora cytherea",1,"Global estimate",NA,NA,15,NA,127248,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",300,"raw_value","","",NA,NA,NA
112802,1,31,46,"Acropora cytherea",1,"Global estimate",NA,NA,23,NA,127249,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",300,"raw_value","","",NA,NA,NA
112803,1,31,46,"Acropora cytherea",1,"Global estimate",NA,NA,37,NA,127250,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",300,"raw_value","","",NA,NA,NA
112805,1,31,47,"Acropora dendrum",1,"Global estimate",NA,NA,10,NA,127252,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",100,"raw_value","","",NA,NA,NA
112804,1,31,47,"Acropora dendrum",1,"Global estimate",NA,NA,38,NA,127251,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",100,"raw_value","","",NA,NA,NA
112806,1,31,47,"Acropora dendrum",1,"Global estimate",NA,NA,15,NA,127253,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",100,"raw_value","","",NA,NA,NA
112807,1,31,48,"Acropora derawanensis",1,"Global estimate",NA,NA,23,NA,127254,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",100,"raw_value","","",NA,NA,NA
112808,1,31,48,"Acropora derawanensis",1,"Global estimate",NA,NA,37,NA,127255,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",100,"raw_value","","",NA,NA,NA
112809,1,31,49,"Acropora desalwii",1,"Global estimate",NA,NA,23,NA,127256,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",30,"raw_value","","",NA,NA,NA
112810,1,31,49,"Acropora desalwii",1,"Global estimate",NA,NA,37,NA,127257,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",30,"raw_value","","",NA,NA,NA
112811,1,31,50,"Acropora digitifera",1,"Global estimate",NA,NA,10,NA,127258,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",100,"raw_value","","",NA,NA,NA
112812,1,31,52,"Acropora donei",1,"Global estimate",NA,NA,10,NA,127259,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",200,"raw_value","","",NA,NA,NA
112813,1,31,52,"Acropora donei",1,"Global estimate",NA,NA,23,NA,127260,90,"Colony maximum diameter",29,"cm",22,"Derived from textual description",300,"raw_value","","",NA,NA,NA
