"observation_id","access","user_id","specie_id","specie_name","location_id","location_name","latitude","longitude","resource_id","resource_secondary_id","measurement_id","trait_id","trait_name","standard_id","standard_unit","methodology_id","methodology_name","value","value_type","precision","precision_type","precision_upper","replicates","notes"
137935,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178816,216,"Colony fecundity",77,"mm^3",NA,NA,"0","raw_value",NA,"",NA,NA,"data from Figure 5d"
137935,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178815,155,"Colony area",57,"cm^2",NA,NA,"33.13599378","raw_value",NA,"",NA,NA,"data from Figure 5d"
137935,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178814,151,"Season",10,"cat",NA,NA,"Nov","raw_value",NA,"",NA,NA,""
137935,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178813,143,"Water depth",9,"m",NA,NA,"2","median",1,"range",3,NA,""
137935,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178812,142,"Habitat type",10,"cat",NA,NA,"crest","raw_value",NA,"",NA,NA,""
137936,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178821,216,"Colony fecundity",77,"mm^3",NA,NA,"0","raw_value",NA,"",NA,NA,"data from Figure 5d"
137936,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178820,155,"Colony area",57,"cm^2",NA,NA,"35.5467582","raw_value",NA,"",NA,NA,"data from Figure 5d"
137936,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178819,151,"Season",10,"cat",NA,NA,"Nov","raw_value",NA,"",NA,NA,""
137936,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178818,143,"Water depth",9,"m",NA,NA,"2","median",1,"range",3,NA,""
137936,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178817,142,"Habitat type",10,"cat",NA,NA,"crest","raw_value",NA,"",NA,NA,""
137937,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178826,216,"Colony fecundity",77,"mm^3",NA,NA,"0","raw_value",NA,"",NA,NA,"data from Figure 5d"
137937,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178825,155,"Colony area",57,"cm^2",NA,NA,"38.72576449","raw_value",NA,"",NA,NA,"data from Figure 5d"
137937,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178824,151,"Season",10,"cat",NA,NA,"Nov","raw_value",NA,"",NA,NA,""
137937,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178823,143,"Water depth",9,"m",NA,NA,"2","median",1,"range",3,NA,""
137937,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178822,142,"Habitat type",10,"cat",NA,NA,"crest","raw_value",NA,"",NA,NA,""
137938,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178831,216,"Colony fecundity",77,"mm^3",NA,NA,"2348.09","raw_value",NA,"",NA,NA,"data from Figure 5d"
137938,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178830,155,"Colony area",57,"cm^2",NA,NA,"59.42921586","raw_value",NA,"",NA,NA,"data from Figure 5d"
137938,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178829,151,"Season",10,"cat",NA,NA,"Nov","raw_value",NA,"",NA,NA,""
137938,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178828,143,"Water depth",9,"m",NA,NA,"2","median",1,"range",3,NA,""
137938,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178827,142,"Habitat type",10,"cat",NA,NA,"crest","raw_value",NA,"",NA,NA,""
137939,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178836,216,"Colony fecundity",77,"mm^3",NA,NA,"0","raw_value",NA,"",NA,NA,"data from Figure 5d"
137939,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178835,155,"Colony area",57,"cm^2",NA,NA,"69.02398038","raw_value",NA,"",NA,NA,"data from Figure 5d"
137939,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178834,151,"Season",10,"cat",NA,NA,"Nov","raw_value",NA,"",NA,NA,""
137939,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178833,143,"Water depth",9,"m",NA,NA,"2","median",1,"range",3,NA,""
137939,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178832,142,"Habitat type",10,"cat",NA,NA,"crest","raw_value",NA,"",NA,NA,""
137940,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178841,216,"Colony fecundity",77,"mm^3",NA,NA,"856.63","raw_value",NA,"",NA,NA,"data from Figure 5d"
137940,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178840,155,"Colony area",57,"cm^2",NA,NA,"73.8924387","raw_value",NA,"",NA,NA,"data from Figure 5d"
137940,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178839,151,"Season",10,"cat",NA,NA,"Nov","raw_value",NA,"",NA,NA,""
137940,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178838,143,"Water depth",9,"m",NA,NA,"2","median",1,"range",3,NA,""
137940,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178837,142,"Habitat type",10,"cat",NA,NA,"crest","raw_value",NA,"",NA,NA,""
137941,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178846,216,"Colony fecundity",77,"mm^3",NA,NA,"0","raw_value",NA,"",NA,NA,"data from Figure 5d"
137941,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178845,155,"Colony area",57,"cm^2",NA,NA,"101.976476","raw_value",NA,"",NA,NA,"data from Figure 5d"
137941,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178844,151,"Season",10,"cat",NA,NA,"Nov","raw_value",NA,"",NA,NA,""
137941,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178843,143,"Water depth",9,"m",NA,NA,"2","median",1,"range",3,NA,""
137941,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178842,142,"Habitat type",10,"cat",NA,NA,"crest","raw_value",NA,"",NA,NA,""
137942,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178851,216,"Colony fecundity",77,"mm^3",NA,NA,"2748.79","raw_value",NA,"",NA,NA,"data from Figure 5d"
137942,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178850,155,"Colony area",57,"cm^2",NA,NA,"102.6597022","raw_value",NA,"",NA,NA,"data from Figure 5d"
137942,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178849,151,"Season",10,"cat",NA,NA,"Nov","raw_value",NA,"",NA,NA,""
137942,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178848,143,"Water depth",9,"m",NA,NA,"2","median",1,"range",3,NA,""
137942,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178847,142,"Habitat type",10,"cat",NA,NA,"crest","raw_value",NA,"",NA,NA,""
137943,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178856,216,"Colony fecundity",77,"mm^3",NA,NA,"0","raw_value",NA,"",NA,NA,"data from Figure 5d"
137943,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178855,155,"Colony area",57,"cm^2",NA,NA,"122.0112847","raw_value",NA,"",NA,NA,"data from Figure 5d"
137943,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178854,151,"Season",10,"cat",NA,NA,"Nov","raw_value",NA,"",NA,NA,""
137943,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178853,143,"Water depth",9,"m",NA,NA,"2","median",1,"range",3,NA,""
137943,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178852,142,"Habitat type",10,"cat",NA,NA,"crest","raw_value",NA,"",NA,NA,""
137944,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178861,216,"Colony fecundity",77,"mm^3",NA,NA,"2748.79","raw_value",NA,"",NA,NA,"data from Figure 5d"
137944,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178860,155,"Colony area",57,"cm^2",NA,NA,"145.8478395","raw_value",NA,"",NA,NA,"data from Figure 5d"
137944,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178859,151,"Season",10,"cat",NA,NA,"Nov","raw_value",NA,"",NA,NA,""
137944,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178858,143,"Water depth",9,"m",NA,NA,"2","median",1,"range",3,NA,""
137944,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178857,142,"Habitat type",10,"cat",NA,NA,"crest","raw_value",NA,"",NA,NA,""
137945,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178866,216,"Colony fecundity",77,"mm^3",NA,NA,"6433.28","raw_value",NA,"",NA,NA,"data from Figure 5d"
137945,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178865,155,"Colony area",57,"cm^2",NA,NA,"180.2187612","raw_value",NA,"",NA,NA,"data from Figure 5d"
137945,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178864,151,"Season",10,"cat",NA,NA,"Nov","raw_value",NA,"",NA,NA,""
137945,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178863,143,"Water depth",9,"m",NA,NA,"2","median",1,"range",3,NA,""
137945,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178862,142,"Habitat type",10,"cat",NA,NA,"crest","raw_value",NA,"",NA,NA,""
137946,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178871,216,"Colony fecundity",77,"mm^3",NA,NA,"6433.28","raw_value",NA,"",NA,NA,"data from Figure 5d"
137946,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178870,155,"Colony area",57,"cm^2",NA,NA,"197.8791335","raw_value",NA,"",NA,NA,"data from Figure 5d"
137946,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178869,151,"Season",10,"cat",NA,NA,"Nov","raw_value",NA,"",NA,NA,""
137946,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178868,143,"Water depth",9,"m",NA,NA,"2","median",1,"range",3,NA,""
137946,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178867,142,"Habitat type",10,"cat",NA,NA,"crest","raw_value",NA,"",NA,NA,""
137947,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178876,216,"Colony fecundity",77,"mm^3",NA,NA,"5671.83","raw_value",NA,"",NA,NA,"data from Figure 5d"
137947,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178875,155,"Colony area",57,"cm^2",NA,NA,"266.1950651","raw_value",NA,"",NA,NA,"data from Figure 5d"
137947,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178874,151,"Season",10,"cat",NA,NA,"Nov","raw_value",NA,"",NA,NA,""
137947,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178873,143,"Water depth",9,"m",NA,NA,"2","median",1,"range",3,NA,""
137947,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178872,142,"Habitat type",10,"cat",NA,NA,"crest","raw_value",NA,"",NA,NA,""
137948,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178881,216,"Colony fecundity",77,"mm^3",NA,NA,"10319.48","raw_value",NA,"",NA,NA,"data from Figure 5d"
137948,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178880,155,"Colony area",57,"cm^2",NA,NA,"311.3149665","raw_value",NA,"",NA,NA,"data from Figure 5d"
137948,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178879,151,"Season",10,"cat",NA,NA,"Nov","raw_value",NA,"",NA,NA,""
137948,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178878,143,"Water depth",9,"m",NA,NA,"2","median",1,"range",3,NA,""
137948,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178877,142,"Habitat type",10,"cat",NA,NA,"crest","raw_value",NA,"",NA,NA,""
137949,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178886,216,"Colony fecundity",77,"mm^3",NA,NA,"12079.92","raw_value",NA,"",NA,NA,"data from Figure 5d"
137949,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178885,155,"Colony area",57,"cm^2",NA,NA,"311.3866577","raw_value",NA,"",NA,NA,"data from Figure 5d"
137949,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,178884,151,"Season",10,"cat",NA,NA,"Nov","raw_value",NA,"",NA,NA,""
