"observation_id","access","user_id","specie_id","specie_name","location_id","location_name","latitude","longitude","resource_id","resource_secondary_id","measurement_id","trait_id","trait_name","standard_id","standard_unit","methodology_id","methodology_name","value","value_type","precision","precision_type","precision_upper","replicates","notes"
156945,1,14,4,"Acanthastrea echinata",409,"Indo-Pacific (unspecified)",0,160,740,NA,199747,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","stress-tolerant","model_derived",NA,NA,NA,NA,""
156946,1,14,24,"Acropora aspera",409,"Indo-Pacific (unspecified)",0,160,740,NA,199748,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156947,1,14,36,"Acropora cerealis",409,"Indo-Pacific (unspecified)",0,160,740,NA,199749,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156948,1,14,37,"Acropora cervicornis",522,"Atlantic (unspecified)",13.695557,-47.026395,740,NA,199750,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156949,1,14,46,"Acropora cytherea",409,"Indo-Pacific (unspecified)",0,160,740,NA,199751,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156950,1,14,51,"Acropora divaricata",409,"Indo-Pacific (unspecified)",0,160,740,NA,199752,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156951,1,14,59,"Acropora elseyi",409,"Indo-Pacific (unspecified)",0,160,740,NA,199753,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156952,1,14,65,"Acropora florida",409,"Indo-Pacific (unspecified)",0,160,740,NA,199754,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156954,1,14,68,"Acropora gemmifera",409,"Indo-Pacific (unspecified)",0,160,740,NA,199756,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156955,1,14,69,"Acropora glauca",409,"Indo-Pacific (unspecified)",0,160,740,NA,199757,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156956,1,14,72,"Acropora grandis",409,"Indo-Pacific (unspecified)",0,160,740,NA,199758,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156957,1,14,73,"Acropora granulosa",409,"Indo-Pacific (unspecified)",0,160,740,NA,199759,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156958,1,14,76,"Acropora hemprichii",409,"Indo-Pacific (unspecified)",0,160,740,NA,199760,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156959,1,14,78,"Acropora horrida",409,"Indo-Pacific (unspecified)",0,160,740,NA,199761,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156960,1,14,79,"Acropora humilis",409,"Indo-Pacific (unspecified)",0,160,740,NA,199762,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156961,1,14,80,"Acropora hyacinthus",409,"Indo-Pacific (unspecified)",0,160,740,NA,199763,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156968,1,14,119,"Acropora intermedia",409,"Indo-Pacific (unspecified)",0,160,740,NA,199770,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,"Was Acropora nobilis"
156962,1,14,98,"Acropora longicyathus",409,"Indo-Pacific (unspecified)",0,160,740,NA,199764,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156963,1,14,99,"Acropora loripes",409,"Indo-Pacific (unspecified)",0,160,740,NA,199765,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156964,1,14,101,"Acropora lutkeni",409,"Indo-Pacific (unspecified)",0,160,740,NA,199766,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156965,1,14,107,"Acropora microclados",409,"Indo-Pacific (unspecified)",0,160,740,NA,199767,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156966,1,14,108,"Acropora microphthalma",409,"Indo-Pacific (unspecified)",0,160,740,NA,199768,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156967,1,14,109,"Acropora millepora",409,"Indo-Pacific (unspecified)",0,160,740,NA,199769,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156953,1,14,66,"Acropora muricata",409,"Indo-Pacific (unspecified)",0,160,740,NA,199755,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,"Was Acropora formosa"
156969,1,14,124,"Acropora palmata",522,"Atlantic (unspecified)",13.695557,-47.026395,740,NA,199771,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156970,1,14,140,"Acropora polystoma",409,"Indo-Pacific (unspecified)",0,160,740,NA,199772,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156971,1,14,145,"Acropora pulchra",409,"Indo-Pacific (unspecified)",0,160,740,NA,199773,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156972,1,14,149,"Acropora robusta",409,"Indo-Pacific (unspecified)",0,160,740,NA,199774,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156973,1,14,156,"Acropora samoensis",409,"Indo-Pacific (unspecified)",0,160,740,NA,199775,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156974,1,14,157,"Acropora sarmentosa",409,"Indo-Pacific (unspecified)",0,160,740,NA,199776,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156975,1,14,160,"Acropora secale",409,"Indo-Pacific (unspecified)",0,160,740,NA,199777,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156976,1,14,165,"Acropora solitaryensis",409,"Indo-Pacific (unspecified)",0,160,740,NA,199778,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156977,1,14,174,"Acropora subulata",409,"Indo-Pacific (unspecified)",0,160,740,NA,199779,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156978,1,14,180,"Acropora tenuis",409,"Indo-Pacific (unspecified)",0,160,740,NA,199780,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156979,1,14,190,"Acropora valenciennesi",409,"Indo-Pacific (unspecified)",0,160,740,NA,199781,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156980,1,14,191,"Acropora valida",409,"Indo-Pacific (unspecified)",0,160,740,NA,199782,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156981,1,14,196,"Acropora verweyi",409,"Indo-Pacific (unspecified)",0,160,740,NA,199783,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156982,1,14,200,"Acropora yongei",409,"Indo-Pacific (unspecified)",0,160,740,NA,199784,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","competitive","model_derived",NA,NA,NA,NA,""
156983,1,14,201,"Agaricia agaricites",522,"Atlantic (unspecified)",13.695557,-47.026395,740,NA,199785,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","weedy","model_derived",NA,NA,NA,NA,""
156984,1,14,202,"Agaricia fragilis",522,"Atlantic (unspecified)",13.695557,-47.026395,740,NA,199786,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","weedy","model_derived",NA,NA,NA,NA,""
156985,1,14,204,"Agaricia humilis",522,"Atlantic (unspecified)",13.695557,-47.026395,740,NA,199787,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","weedy","model_derived",NA,NA,NA,NA,""
156986,1,14,205,"Agaricia lamarcki",522,"Atlantic (unspecified)",13.695557,-47.026395,740,NA,199788,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","weedy","model_derived",NA,NA,NA,NA,""
156987,1,14,206,"Agaricia tenuifolia",522,"Atlantic (unspecified)",13.695557,-47.026395,740,NA,199789,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","weedy","model_derived",NA,NA,NA,NA,""
156988,1,14,213,"Alveopora fenestrata",409,"Indo-Pacific (unspecified)",0,160,740,NA,199790,233,"Life history strategy",10,"cat",76,"Random forests analyses (Darling et al. 2012)","stress-tolerant","model_derived",NA,NA,NA,NA,""
