"observation_id","access","user_id","specie_id","specie_name","location_id","location_name","latitude","longitude","resource_id","resource_secondary_id","measurement_id","trait_id","trait_name","standard_id","standard_unit","methodology_id","methodology_name","value","value_type","precision","precision_type","precision_upper","replicates","notes"
166,1,2,4,"Acanthastrea echinata",1,"Global estimate",NA,NA,57,48,161,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
911,1,2,16,"Acropora abrolhosensis",1,"Global estimate",NA,NA,51,48,874,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
992,1,2,17,"Acropora abrotanoides",1,"Global estimate",NA,NA,51,48,951,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
1072,1,2,18,"Acropora aculeus",1,"Global estimate",NA,NA,56,48,1027,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
1306,1,2,21,"Acropora anthocercis",1,"Global estimate",NA,NA,56,48,1251,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
1386,1,2,22,"Acropora appressa",1,"Global estimate",NA,NA,71,48,1327,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
1454,1,2,23,"Acropora arabensis",1,"Global estimate",NA,NA,95,48,1395,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
1525,1,2,24,"Acropora aspera",1,"Global estimate",NA,NA,58,48,1464,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
1966,1,2,30,"Acropora branchi",1,"Global estimate",NA,NA,71,48,1891,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
2113,1,2,32,"Acropora bushyensis",1,"Global estimate",NA,NA,23,48,2034,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
2267,1,2,34,"Acropora carduus",1,"Global estimate",NA,NA,129,48,2181,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
2429,1,2,36,"Acropora cerealis",1,"Global estimate",NA,NA,51,48,2335,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
2519,1,2,37,"Acropora cervicornis",1,"Global estimate",NA,NA,87,48,2429,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
2678,1,2,39,"Acropora clathrata",1,"Global estimate",NA,NA,93,48,2581,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
3278,1,2,47,"Acropora dendrum",1,"Global estimate",NA,NA,181,48,3165,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
3496,1,2,50,"Acropora digitifera",1,"Global estimate",NA,NA,57,48,3375,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
3586,1,2,51,"Acropora divaricata",1,"Global estimate",NA,NA,57,48,3460,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
3678,1,2,52,"Acropora donei",1,"Global estimate",NA,NA,110,48,3549,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
3830,1,2,54,"Acropora echinata",1,"Global estimate",NA,NA,51,48,3695,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
4157,1,2,59,"Acropora elseyi",1,"Global estimate",NA,NA,88,48,4014,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
4242,1,2,60,"Acropora eurystoma",1,"Global estimate",NA,NA,60,48,4095,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
4529,1,2,65,"Acropora florida",1,"Global estimate",NA,NA,58,48,4376,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
4760,1,2,68,"Acropora gemmifera",1,"Global estimate",NA,NA,59,48,4598,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
4852,1,2,69,"Acropora glauca",1,"Global estimate",NA,NA,645,48,4686,5,"Mode of larval development",10,"cat",21,"inferred","spawner","raw_value",NA,NA,NA,NA,NA
5076,1,2,72,"Acropora grandis",1,"Global estimate",NA,NA,57,48,4902,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
5159,1,2,73,"Acropora granulosa",1,"Global estimate",NA,NA,66,48,4981,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
5249,1,2,74,"Acropora haimei",1,"Global estimate",NA,NA,66,48,5067,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
5359,1,2,76,"Acropora hemprichii",1,"Global estimate",NA,NA,66,48,5175,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
5509,1,2,78,"Acropora horrida",1,"Global estimate",NA,NA,51,48,5320,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
5594,1,2,79,"Acropora humilis",1,"Global estimate",NA,NA,59,48,5401,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
5696,1,2,80,"Acropora hyacinthus",1,"Global estimate",NA,NA,59,48,5501,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
8402,1,2,119,"Acropora intermedia",1,"Global estimate",NA,NA,56,48,8138,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
6152,1,2,87,"Acropora japonica",1,"Global estimate",NA,NA,181,48,5951,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
6477,1,2,92,"Acropora lamarcki",1,"Global estimate",NA,NA,199,48,6268,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
6537,1,2,93,"Acropora latistella",1,"Global estimate",NA,NA,23,48,6328,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
6681,1,2,95,"Acropora listeri",1,"Global estimate",NA,NA,59,48,6468,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
6897,1,2,98,"Acropora longicyathus",1,"Global estimate",NA,NA,59,48,6676,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
6984,1,2,99,"Acropora loripes",1,"Global estimate",NA,NA,59,48,6759,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
7071,1,2,100,"Acropora loveli",1,"Global estimate",NA,NA,52,48,6842,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
7154,1,2,101,"Acropora lutkeni",1,"Global estimate",NA,NA,23,48,6921,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
7347,1,2,104,"Acropora maryae",1,"Global estimate",NA,NA,658,48,7107,5,"Mode of larval development",10,"cat",19,"observation_field","spawner","raw_value",NA,NA,NA,NA,NA
7522,1,2,107,"Acropora microclados",1,"Global estimate",NA,NA,110,48,7282,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
7603,1,2,108,"Acropora microphthalma",1,"Global estimate",NA,NA,59,48,7359,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
7688,1,2,109,"Acropora millepora",1,"Global estimate",NA,NA,59,48,7440,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
7902,1,2,112,"Acropora monticulosa",1,"Global estimate",NA,NA,73,48,7648,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
4618,1,2,66,"Acropora muricata",1,"Global estimate",NA,NA,59,48,4461,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
8099,1,2,115,"Acropora nana",1,"Global estimate",NA,NA,73,48,7837,5,"Mode of larval development",10,"cat",NA,"","spawner","raw_value",NA,NA,NA,NA,NA
