"observation_id","access","user_id","specie_id","specie_name","location_id","location_name","latitude","longitude","resource_id","resource_secondary_id","measurement_id","trait_id","trait_name","standard_id","standard_unit","methodology_id","methodology_name","value","value_type","precision","precision_type","precision_upper","replicates","notes"
114637,1,2,4,"Acanthastrea echinata",1,"Global estimate",NA,NA,57,48,135024,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114576,1,2,16,"Acropora abrolhosensis",1,"Global estimate",NA,NA,51,48,134963,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114577,1,2,17,"Acropora abrotanoides",1,"Global estimate",NA,NA,51,48,134964,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114604,1,2,18,"Acropora aculeus",1,"Global estimate",NA,NA,56,48,134991,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114605,1,2,21,"Acropora anthocercis",1,"Global estimate",NA,NA,56,48,134992,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114723,1,2,22,"Acropora appressa",1,"Global estimate",NA,NA,71,48,135110,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114756,1,2,23,"Acropora arabensis",1,"Global estimate",NA,NA,95,48,135143,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114693,1,2,24,"Acropora aspera",1,"Global estimate",NA,NA,58,48,135080,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114724,1,2,30,"Acropora branchi",1,"Global estimate",NA,NA,71,48,135111,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114543,1,2,32,"Acropora bushyensis",1,"Global estimate",NA,NA,23,48,134930,8,"Sexual system",10,"cat",14,"Dissection","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114578,1,2,36,"Acropora cerealis",1,"Global estimate",NA,NA,51,48,134965,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114745,1,2,37,"Acropora cervicornis",1,"Global estimate",NA,NA,87,48,135132,8,"Sexual system",10,"cat",13,"Histology","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114754,1,2,39,"Acropora clathrata",1,"Global estimate",NA,NA,93,48,135141,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114638,1,2,50,"Acropora digitifera",1,"Global estimate",NA,NA,57,48,135025,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114639,1,2,51,"Acropora divaricata",1,"Global estimate",NA,NA,57,48,135026,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114773,1,2,52,"Acropora donei",1,"Global estimate",NA,NA,110,48,135160,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114774,1,2,54,"Acropora echinata",1,"Global estimate",NA,NA,110,48,135161,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114775,1,2,59,"Acropora elseyi",1,"Global estimate",NA,NA,110,48,135162,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114710,1,2,60,"Acropora eurystoma",1,"Global estimate",NA,NA,60,48,135097,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114694,1,2,65,"Acropora florida",1,"Global estimate",NA,NA,58,48,135081,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114698,1,2,68,"Acropora gemmifera",1,"Global estimate",NA,NA,59,48,135085,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114817,1,2,69,"Acropora glauca",1,"Global estimate",NA,NA,152,48,135204,8,"Sexual system",10,"cat",13,"Histology","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114748,1,2,70,"Acropora globiceps",1,"Global estimate",NA,NA,90,48,135135,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114640,1,2,72,"Acropora grandis",1,"Global estimate",NA,NA,57,48,135027,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114715,1,2,73,"Acropora granulosa",1,"Global estimate",NA,NA,66,48,135102,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
115676,1,2,74,"Acropora haimei",1,"Global estimate",NA,NA,660,48,136063,8,"Sexual system",10,"cat",19,"observation_field","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114737,1,2,76,"Acropora hemprichii",1,"Global estimate",NA,NA,75,48,135124,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114579,1,2,78,"Acropora horrida",1,"Global estimate",NA,NA,51,48,134966,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114699,1,2,79,"Acropora humilis",1,"Global estimate",NA,NA,59,48,135086,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114700,1,2,80,"Acropora hyacinthus",1,"Global estimate",NA,NA,59,48,135087,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114606,1,2,119,"Acropora intermedia",1,"Global estimate",NA,NA,56,48,134993,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114873,1,2,92,"Acropora lamarcki",1,"Global estimate",NA,NA,199,48,135260,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114544,1,2,93,"Acropora latistella",1,"Global estimate",NA,NA,23,48,134931,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114701,1,2,95,"Acropora listeri",1,"Global estimate",NA,NA,59,48,135088,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114702,1,2,98,"Acropora longicyathus",1,"Global estimate",NA,NA,59,48,135089,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114703,1,2,99,"Acropora loripes",1,"Global estimate",NA,NA,59,48,135090,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114599,1,2,100,"Acropora loveli",1,"Global estimate",NA,NA,52,48,134986,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114545,1,2,101,"Acropora lutkeni",1,"Global estimate",NA,NA,23,48,134932,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
115677,1,2,104,"Acropora maryae",1,"Global estimate",NA,NA,660,48,136064,8,"Sexual system",10,"cat",19,"observation_field","hermaphrodite","raw_value",NA,NA,NA,NA,NA
115678,1,2,105,"Acropora massawensis",1,"Global estimate",NA,NA,660,48,136065,8,"Sexual system",10,"cat",19,"observation_field","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114776,1,2,107,"Acropora microclados",1,"Global estimate",NA,NA,110,48,135163,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114704,1,2,108,"Acropora microphthalma",1,"Global estimate",NA,NA,59,48,135091,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114705,1,2,109,"Acropora millepora",1,"Global estimate",NA,NA,59,48,135092,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114725,1,2,112,"Acropora monticulosa",1,"Global estimate",NA,NA,73,48,135112,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114706,1,2,66,"Acropora muricata",1,"Global estimate",NA,NA,59,48,135093,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114726,1,2,115,"Acropora nana",1,"Global estimate",NA,NA,73,48,135113,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114707,1,2,116,"Acropora nasuta",1,"Global estimate",NA,NA,59,48,135094,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
115679,1,2,120,"Acropora ocellata",1,"Global estimate",NA,NA,660,48,136066,8,"Sexual system",10,"cat",19,"observation_field","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114852,1,2,124,"Acropora palmata",1,"Global estimate",NA,NA,184,48,135239,8,"Sexual system",10,"cat",13,"Histology","hermaphrodite","raw_value",NA,NA,NA,NA,NA
114727,1,2,125,"Acropora palmerae",1,"Global estimate",NA,NA,73,48,135114,8,"Sexual system",10,"cat",58,"Observation_field_or_laboratory","hermaphrodite","raw_value",NA,NA,NA,NA,NA
