"observation_id","access","user_id","specie_id","specie_name","location_id","location_name","latitude","longitude","resource_id","resource_secondary_id","measurement_id","trait_id","trait_name","standard_id","standard_unit","methodology_id","methodology_name","value","value_type","precision","precision_type","precision_upper","replicates","notes"
131,1,1,3,"Acanthastrea brevis",1,"Global estimate",NA,NA,40,NA,127,41,"Zooxanthellate",10,"cat",22,"Derived from textual description","zooxanthellate","expert_opinion",NA,NA,NA,NA,NA
200,1,1,4,"Acanthastrea echinata",1,"Global estimate",NA,NA,40,NA,195,41,"Zooxanthellate",10,"cat",22,"Derived from textual description","zooxanthellate","expert_opinion",NA,NA,NA,NA,NA
335,1,1,6,"Acanthastrea hemprichi",1,"Global estimate",NA,NA,40,NA,323,41,"Zooxanthellate",10,"cat",22,"Derived from textual description","zooxanthellate","expert_opinion",NA,NA,NA,NA,NA
471,1,1,8,"Acanthastrea ishigakiensis",1,"Global estimate",NA,NA,40,NA,452,41,"Zooxanthellate",10,"cat",22,"Derived from textual description","zooxanthellate","expert_opinion",NA,NA,NA,NA,NA
708,1,1,12,"Acanthastrea regularis",1,"Global estimate",NA,NA,40,NA,681,41,"Zooxanthellate",10,"cat",22,"Derived from textual description","zooxanthellate","expert_opinion",NA,NA,NA,NA,NA
775,1,1,13,"Acanthastrea rotundoflora",1,"Global estimate",NA,NA,40,NA,744,41,"Zooxanthellate",10,"cat",22,"Derived from textual description","zooxanthellate","expert_opinion",NA,NA,NA,NA,NA
841,1,1,14,"Acanthastrea subechinata",1,"Global estimate",NA,NA,40,NA,807,41,"Zooxanthellate",10,"cat",22,"Derived from textual description","zooxanthellate","expert_opinion",NA,NA,NA,NA,NA
943,1,1,16,"Acropora abrolhosensis",1,"Global estimate",NA,NA,40,NA,906,41,"Zooxanthellate",10,"cat",22,"Derived from textual description","zooxanthellate","expert_opinion",NA,NA,NA,NA,NA
1025,1,1,17,"Acropora abrotanoides",1,"Global estimate",NA,NA,40,NA,984,41,"Zooxanthellate",10,"cat",22,"Derived from textual description","zooxanthellate","expert_opinion",NA,NA,NA,NA,NA
1103,1,1,18,"Acropora aculeus",1,"Global estimate",NA,NA,40,NA,1058,41,"Zooxanthellate",10,"cat",22,"Derived from textual description","zooxanthellate","expert_opinion",NA,NA,NA,NA,NA
1184,1,1,19,"Acropora acuminata",1,"Global estimate",NA,NA,40,NA,1135,41,"Zooxanthellate",10,"cat",22,"Derived from textual description","zooxanthellate","expert_opinion",NA,NA,NA,NA,NA
1262,1,1,20,"Acropora akajimensis",1,"Global estimate",NA,NA,40,NA,1209,41,"Zooxanthellate",10,"cat",22,"Derived from textual description","zooxanthellate","expert_opinion",NA,NA,NA,NA,NA
1337,1,1,21,"Acropora anthocercis",1,"Global estimate",NA,NA,40,NA,1282,41,"Zooxanthellate",10,"cat",22,"Derived from textual description","zooxanthellate","expert_opinion",NA,NA,NA,NA,NA
1419,1,1,22,"Acropora appressa",1,"Global estimate",NA,NA,10,NA,1360,41,"Zooxanthellate",10,"cat",22,"Derived from textual description","zooxanthellate","expert_opinion",NA,NA,NA,NA,NA
1485,1,1,23,"Acropora arabensis",1,"Global estimate",NA,NA,40,NA,1426,41,"Zooxanthellate",10,"cat",22,"Derived from textual description","zooxanthellate","expert_opinion",NA,NA,NA,NA,NA
114501,1,2,1573,"Acropora arafura",1,"Global estimate",NA,NA,704,NA,134888,41,"Zooxanthellate",10,"cat",22,"Derived from textual description","zooxanthellate","expert_opinion",NA,NA,NA,NA,NA
1560,1,1,24,"Acropora aspera",1,"Global estimate",NA,NA,40,NA,1499,41,"Zooxanthellate",10,"cat",22,"Derived from textual description","zooxanthellate","expert_opinion",NA,NA,NA,NA,NA
