species,meanNormR_1
Acanthastrea echinata,34.2
Acropora aspera,49.5
Acropora cervicornis,11.7
Acropora digitifera,47
Acropora gemmifera,25.6
Acropora hemprichii,17.6
Acropora humilis,36.2
Acropora hyacinthus,47.3
Acropora millepora,42.3
Acropora monticulosa,25.6
Acropora nana,34.2
Acropora nasuta,37.6
Acropora palmata,14.1
Acropora robusta,61.1
Acropora tenuis,34.2
Acropora valida,32.9
Acropora variabilis,17.6
Agaricia fragilis,2.1
Agaricia spp.,9.4
Astreopora listeri,8.5
Astreopora myriophthalma,5.9
Astreopora sp.,18.5
Coeloseris mayeri,25.6
Colpophyllia natans,16.4
Ctenella chagius,46.2
Cynarina lacrymalis,88.2
Cyphastrea chalcidicum,21.9
Cyphastrea microphthalma,23.1
Dichocoenia stokesi,16.4
Diploria labyrinthiformis,18.8
Dipsastraea favus,43.2
Dipsastrea paillida,61.2
Echinophyllia aspera,53.7
Echinopora gemmacea,82.4
Echinopora lamellosa,40.2
Eusmilia fastigiata,11.7
Favia fragum,8.2
Favia stelligera,55.5
Favites abdita,29.4
Favites flexuosa,25.6
Favites pentagona,41.2
Favites valenciennesi,25.6
Fungia 3sp.,97.1
Fungia fungites,100
Galaxea astreata,92.4
Galaxea fascicularis,68.4
Gardineroseris planulata,37
Goniastrea pectinata,45.1
Goniopora savignyi,88.2
Gonjopora spp.,83.2
Halomitra pileus,97.1
Heliopora coerulea,8.5
Helioseris cucullata,9.4
Hydnophora exesa,59.6
Hydnophora microconos,52.9
Isophyllia rigida,25.8
Isophyllia sinuosa,26.9
Isopora cuneata,23.5
Isopora palifera,65.3
Leptastrea purpurea,17.1
Leptastrea transversa,9.2
Lobophyllia corymbosa,37.9
Lobophytum pauciflorum,25.6
Lobophytum sarcophytoides,17.1
Lopbophyllia sp.,94.1
Madracis decactis,6.2
Madracis mirabilis,6.2
Madracis spp.,2.3
Manicina areolata,16.4
Meandrina meandrites,27.9
Merulina ampliata,42.7
Millepora platyphylla,42.7
Millepora sp.,11.8
Montastraea cavernosa,16.4
Montipora aequituberculata,27.5
Montipora ehrenbergi,17.1
Montipora foliosa,34.2
Montipora foveolata,17.1
Montipora grisea,25.6
Montipora informis,32.1
Montipora lobulata,17.6
Montipora monasteriata,8.5
Montipora peltiformis,17.1
Montipora spp.,46.4
Montipora spumosa,34.2
Montipora tuberculosa,25.6
Montipora undata,34.2
Montipora venosa,8.5
Montipora verrucosa,34.2
Mussa angulosa,37.6
Mycedium elephantotus,42.7
Mycetophyllia aliciae,30.5
Mycetophyllia danaana,28.2
Mycetophyllia ferox,35.2
Mycetophyllia lamarckiana,28.2
Mycetophyllia reesi,32.9
Oculina spp.,6.2
Orbicella annularis,18.9
Pachyseris rugosa,25.6
Pachyseris speciosa,25.6
Pavona clavus,4.6
Pavona varians,38.1
Platygyra daedalea,34.2
Platygyra lamellina,46.5
Platygyra sinensis,34.2
Plerogyra sinuosa,100
Plesiastrea versipora,8.5
Pocillopora damicornis,31.1
Pocillopora eydouxi,17.1
Pocillopora verrucosa,61.1
Porites annae,4.7
Porites astreoides,8.2
Porites australiensis,25.6
Porites cylindrica,15.5
Porites lichen,17.1
Porites lutea,6.3
Porites murrayensis,4.7
Porites nigrescens,17.1
Porites porites,4.1
Porites rus,25.6
Porites solida,5.9
Pseudodiploria clivosa,18.8
Pseudodiploria strigosa,14.5
Sacrophyton glaucum,8.5
Sarcophyton crassocaule,8.5
Sarcophyton trocheliophorum,25.6
Scolymia cubensis,19.1
Scolymia lacera,37.6
Seriatopora hystrix,19.5
Siderastrea spp.,6.6
Sinularia compacta,17.1
Sinularia facile,17.1
Sinularia gibberosa,17.1
Sinularia granosa,8.5
Sinularia numerosa,8.5
Sinularia polydactyla,25.6
Sinularia scabra,25.6
Stephanocoenia intersepta,6.2
Stephanocoenia spp.,2.3
Stylophora pistillata,21.6
Symphyllia agaricia,34.2
Symphyllia radians,33.3
Symphyllia recta,34.2
Turbinaria frondens,25.6
Turbinaria immersa,25.6
Turbinaria reniformis,25.6
Turbinaria sp.,23.5
