"""Genus""","""Species""",,AphiaID,Match type,ScientificName,AphiaID_accepted,ScientificName_accepted
"""Dipsastrea""","""paillida""",,,,,,
"""Favia""","""stelligera""",,869344,exact,Favia stelligera var. fanningensis,763067,Goniastrea stelligera
"""Lobophytum""","""pauciflorum""",,209963,exact,Lobophytum pauciflorum,209963,Lobophytum pauciflorum
"""Lobophytum""","""sarcophytoides""",,288811,exact,Lobophytum sarcophytoides,288811,Lobophytum sarcophytoides
"""Montipora""","""ehrenbergi""",,207155,exact,Montipora ehrenbergi,207155,Montipora ehrenbergi
"""Sacrophyton""","""glaucum""",,,,,,
"""Sarcophyton""","""crassocaule""",,288291,exact,Sarcophyton crassocaule,288291,Sarcophyton crassocaule
"""Sarcophyton""","""trocheliophorum""",,209618,exact,Sarcophyton trocheliophorum,209618,Sarcophyton trocheliophorum
"""Sinularia""","""compacta""",,288502,exact,Sinularia compacta,288502,Sinularia compacta
"""Sinularia""","""facile""",,288517,exact,Sinularia facile,288517,Sinularia facile
"""Sinularia""","""gibberosa""",,288527,exact,Sinularia gibberosa,288527,Sinularia gibberosa
"""Sinularia""","""granosa""",,288529,exact,Sinularia granosa,288529,Sinularia granosa
"""Sinularia""","""numerosa""",,288559,exact,Sinularia numerosa,288559,Sinularia numerosa
"""Sinularia""","""polydactyla""",,209973,exact,Sinularia polydactyla,209973,Sinularia polydactyla
"""Sinularia""","""scabra""",,288580,exact,Sinularia scabra,288580,Sinularia scabra
"""Turbinaria""","""immersa""",,767424,exact,Turbinaria immersa,767424,
