"nameSp","nameSp_checked"
"Acanthastrea echinata","Acanthastrea echinata"
"Acanthastrea hemprichii","Acanthastrea hemprichi"
"Acanthastrea hillae","Homophyllia bowerbanki"
"Acanthastrea lordhowensis","Micromussa lordhowensis"
"Acropora abrotanoides","Acropora abrotanoides"
"Acropora aculeus","Acropora aculeus"
"Acropora acuminata","Acropora acuminata"
"Acropora anthocercis","Acropora anthocercis"
"Acropora arabensis","Acropora arabensis"
"Acropora aspera","Acropora aspera"
"Acropora austera","Acropora austera"
"Acropora carduus","Acropora carduus"
"Acropora cerealis","Acropora cerealis"
"Acropora cervicornis","Acropora cervicornis"
"Acropora clathrata","Acropora clathrata"
"Acropora cytherea","Acropora cytherea"
"Acropora digitifera","Acropora digitifera"
"Acropora divaricata","Acropora divaricata"
"Acropora echinata","Acropora echinata"
"Acropora elseyi","Acropora elseyi"
"Acropora eurystoma","Acropora eurystoma"
"Acropora florida","Acropora florida"
"Acropora gemmifera","Acropora gemmifera"
"Acropora glauca","Acropora glauca"
"Acropora grandis","Acropora grandis"
"Acropora horrida","Acropora horrida"
"Acropora humilis","Acropora humilis"
"Acropora hyacinthus","Acropora hyacinthus"
"Acropora latistella","Acropora latistella"
"Acropora listeri","Acropora listeri"
"Acropora longicyathus","Acropora longicyathus"
"Acropora loripes","Acropora loripes"
"Acropora lutkeni","Acropora lutkeni"
"Acropora microclados","Acropora microclados"
"Acropora microphthalma","Acropora microphthalma"
"Acropora millepora","Acropora millepora"
"Acropora monticulosa","Acropora monticulosa"
"Acropora muricata","Acropora muricata"
"Acropora nasuta","Acropora nasuta"
"Acropora palmata","Acropora palmata"
"Acropora pharaonis","Acropora pharaonis"
"Acropora pulchra","Acropora pulchra"
"Acropora robusta","Acropora robusta"
"Acropora samoensis","Acropora samoensis"
"Acropora sarmentosa","Acropora sarmentosa"
"Acropora secale","Acropora secale"
"Acropora selago","Acropora selago"
"Acropora seriata","Acropora seriata"
"Acropora solitaryensis","Acropora solitaryensis"
"Acropora spathulata","Acropora spathulata"
"Acropora subglabra","Acropora subglabra"
"Acropora subulata","Acropora subulata"
"Acropora tenuis","Acropora tenuis"
"Acropora valenciennesi","Acropora valenciennesi"
"Acropora valida","Acropora valida"
"Acropora willisae","Acropora willisae"
"Acropora yongei","Acropora yongei"
"Agaricia agaricites","Agaricia agaricites"
"Agaricia fragilis","Agaricia fragilis"
"Agaricia grahamae","Agaricia grahamae"
"Agaricia humilis","Agaricia humilis"
"Agaricia lamarcki","Agaricia lamarcki"
"Agaricia tenuifolia","Agaricia tenuifolia"
"Agaricia undata","Agaricia undata"
"Astrea curta","Astrea curta"
"Astreopora myriophthalma","Astreopora myriophthalma"
"Australogyra zelli","Australogyra zelli"
"Catalaphyllia jardinei","Catalaphyllia jardinei"
"Caulastraea furcata","Caulastraea furcata"
"Cladocora arbuscula","Cladocora arbuscula"
"Coelastrea aspera","Coelastrea aspera"
"Coeloseris mayeri","Coeloseris mayeri"
"Colpophyllia amaranthus","Colpophyllia natans"
"Colpophyllia natans","Colpophyllia natans"
"Coscinaraea columna","Coscinaraea columna"
"Coscinaraea exesa","Coscinaraea exesa"
"Coscinaraea monile","Coscinaraea monile"
"Ctenactis echinata","Ctenactis echinata"
"Cycloseris curvata","Cycloseris curvata"
"Cycloseris distorta","Cycloseris distorta"
"Cyphastrea chalcidicum","Cyphastrea chalcidicum"
"Cyphastrea decadia","Cyphastrea decadia"
"Cyphastrea microphthalma","Cyphastrea microphthalma"
"Cyphastrea ocellina","Cyphastrea ocellina"
"Cyphastrea serailia","Cyphastrea serailia"
"Danafungia horrida","Danafungia horrida"
"Dendrogyra cylindrus","Dendrogyra cylindrus"
"Dichocoenia stellaris","Dichocoenia stokesii"
