"Genus","Species"
"Acanthastrea","echinata"
"Acanthastrea","hemprichii"
"Acanthastrea","hillae"
"Acanthastrea","lordhowensis"
"Acropora","abrotanoides"
"Acropora","aculeus"
"Acropora","acuminata"
"Acropora","anthocercis"
"Acropora","arabensis"
"Acropora","aspera"
"Acropora","austera"
"Acropora","carduus"
"Acropora","cerealis"
"Acropora","cervicornis"
"Acropora","clathrata"
"Acropora","cytherea"
"Acropora","digitifera"
"Acropora","divaricata"
"Acropora","echinata"
"Acropora","elseyi"
"Acropora","eurystoma"
"Acropora","florida"
"Acropora","gemmifera"
"Acropora","glauca"
"Acropora","grandis"
"Acropora","horrida"
"Acropora","humilis"
"Acropora","hyacinthus"
"Acropora","latistella"
"Acropora","listeri"
"Acropora","longicyathus"
"Acropora","loripes"
"Acropora","lutkeni"
"Acropora","microclados"
"Acropora","microphthalma"
"Acropora","millepora"
"Acropora","monticulosa"
"Acropora","muricata"
"Acropora","nasuta"
"Acropora","palmata"
"Acropora","pharaonis"
"Acropora","pulchra"
"Acropora","robusta"
"Acropora","samoensis"
"Acropora","sarmentosa"
"Acropora","secale"
"Acropora","selago"
"Acropora","seriata"
"Acropora","solitaryensis"
"Acropora","spathulata"
"Acropora","subglabra"
"Acropora","subulata"
"Acropora","tenuis"
"Acropora","valenciennesi"
"Acropora","valida"
"Acropora","willisae"
"Acropora","yongei"
"Agaricia","agaricites"
"Agaricia","fragilis"
"Agaricia","grahamae"
"Agaricia","humilis"
"Agaricia","lamarcki"
"Agaricia","tenuifolia"
"Agaricia","undata"
"Astrea","curta"
"Astreopora","myriophthalma"
"Australogyra","zelli"
"Catalaphyllia","jardinei"
"Caulastraea","furcata"
"Cladocora","arbuscula"
"Coelastrea","aspera"
"Coeloseris","mayeri"
"Colpophyllia","amaranthus"
"Colpophyllia","natans"
"Coscinaraea","columna"
"Coscinaraea","exesa"
"Coscinaraea","monile"
"Ctenactis","echinata"
"Cycloseris","curvata"
"Cycloseris","distorta"
"Cyphastrea","chalcidicum"
"Cyphastrea","decadia"
"Cyphastrea","microphthalma"
"Cyphastrea","ocellina"
"Cyphastrea","serailia"
"Danafungia","horrida"
"Dendrogyra","cylindrus"
"Dichocoenia","stellaris"
"Dichocoenia","stokesii"
"Diploastrea","heliopora"
"Diploria","clivosa"
"Diploria","labyrinthiformis"
"Diploria","strigosa"
"Dipsastraea","danai"
"Dipsastraea","favus"
"Dipsastraea","laxa"
"Dipsastraea","lizardensis"
"Dipsastraea","maritima"
"Dipsastraea","matthaii"
"Dipsastraea","maxima"
"Dipsastraea","pallida"
"Dipsastraea","rotumana"
"Dipsastraea","speciosa"
"Dipsastraea","truncatus"
"Echinophyllia","aspera"
"Echinophyllia","orpheensis"
"Echinopora","gemmacea"
"Echinopora","horrida"
"Echinopora","lamellosa"
"Echinopora","mammiformis"
"Echinopora","pacificus"
"Euphyllia","glabrescens"
"Eusmilia","fastigiata"
"Favia","fragum"
"Favites","abdita"
"Favites","chinensis"
"Favites","complanata"
"Favites","flexuosa"
