"Genus","Species"
"Acanthastrea","brevis"
"Acanthastrea","hemprichi"
"Acanthastrea","ishigakiensis"
"Acanthastrea","regularis"
"Acanthastrea","rotundoflora"
"Acanthastrea","subechinata"
"Acropora","abrolhosensis"
"Acropora","akajimensis"
"Acropora","appressa"
"Acropora","awi"
"Acropora","azurea"
"Acropora","batunai"
"Acropora","bifurcata"
"Acropora","branchi"
"Acropora","bushyensis"
"Acropora","cardenae"
"Acropora","caroliniana"
"Acropora","chesterfieldensis"
"Acropora","convexa"
"Acropora","cophodactyla"
"Acropora","copiosa"
"Acropora","cylindrica"
"Acropora","dendrum"
"Acropora","derawanensis"
"Acropora","desalwii"
"Acropora","donei"
"Acropora","downingi"
"Acropora","efflorescens"
"Acropora","elegans"
"Acropora","elegantula"
"Acropora","exquisita"
"Acropora","fastigata"
"Acropora","fenneri"
"Acropora","filiformis"
"Acropora","forskali"
"Acropora","globiceps"
"Acropora","gomezi"
"Acropora","granulosa"
"Acropora","haimei"
"Acropora","halmaherae"
"Acropora","hemprichii"
"Acropora","hoeksemai"
"Acropora","indonesia"
"Acropora","inermis"
"Acropora","irregularis"
"Acropora","jacquelineae"
"Acropora","japonica"
"Acropora","kimbeensis"
"Acropora","kirstyae"
"Acropora","kosurini"
"Acropora","lamarcki"
"Acropora","lianae"
"Acropora","lokani"
"Acropora","loveli"
"Acropora","macrostoma"
"Acropora","maryae"
"Acropora","massawensis"
"Acropora","meridiana"
"Acropora","minuta"
"Acropora","mirabilis"
"Acropora","mossambica"
"Acropora","multiacuta"
"Acropora","nana"
"Acropora","natalensis"
"Acropora","navini"
"Acropora","ocellata"
"Acropora","orbicularis"
"Acropora","palmerae"
"Acropora","paniculata"
"Acropora","papillare"
"Acropora","parahemprichii"
"Acropora","parapharaonis"
"Acropora","parilis"
"Acropora","pectinatus"
"Acropora","pichoni"
"Acropora","pinguis"
"Acropora","plana"
"Acropora","plantaginea"
"Acropora","plumosa"
"Acropora","polystoma"
"Acropora","prolifera"
"Acropora","prostrata"
"Acropora","proximalis"
"Acropora","pruinosa"
"Acropora","rambleri"
"Acropora","retusa"
"Acropora","rongelapensis"
"Acropora","rosaria"
"Acropora","roseni"
"Acropora","rudis"
"Acropora","rufus"
"Acropora","russelli"
"Acropora","scherzeriana"
"Acropora","schmitti"
"Acropora","sekiseiensis"
"Acropora","simplex"
"Acropora","speciosa"
"Acropora","spicifera"
"Acropora","squarrosa"
"Acropora","stoddarti"
"Acropora","striata"
"Acropora","suharsonoi"
"Acropora","sukarnoi"
"Acropora","tanegashimensis"
"Acropora","tenella"
"Acropora","teres"
"Acropora","tizardi"
"Acropora","torihalimeda"
"Acropora","torresiana"
"Acropora","tortuosa"
"Acropora","tumida"
"Acropora","turaki"
"Acropora","tutuilensis"
"Acropora","variabilis"
"Acropora","vaughani"
"Acropora","vermiculata"
"Acropora","verweyi"
"Acropora","walindii"
"Alveopora","allingi"
"Alveopora","catalai"
"Alveopora","excelsa"
"Alveopora","fenestrata"
"Alveopora","gigas"
"Alveopora","japonica"
"Alveopora","marionensis"
"Alveopora","minuta"
"Alveopora","ocellata"
"Alveopora","spongiosa"
"Alveopora","tizardi"
"Alveopora","verrilliana"
"Alveopora","viridis"
"Anacropora","forbesi"
"Anacropora","matthai"
"Anacropora","pillai"
"Anacropora","puertogalerae"
"Anacropora","reticulata"
"Anacropora","spinosa"
"Anacropora","spumosa"
"Anomastraea","irregularis"
"Astrangia","poculata"
"Astrea","annuligera"
"Astrea","devantieri"
"Astreopora","cucullata"
"Astreopora","expansa"
"Astreopora","gracilis"
"Astreopora","incrustans"
"Astreopora","listeri"
"Astreopora","macrostoma"
"Astreopora","moretonensis"
"Astreopora","ocellata"
"Astreopora","randalli"
"Astreopora","scabra"
"Astreopora","suggesta"
"Balanophyllia","europaea"
"Bernardpora","stutchburyi"
"Blastomussa","loyae"
"Blastomussa","omanensis"
"Blastomussa","wellsi"
"Boninastrea","boninensis"
"Cantharellus","doederleini"
"Cantharellus","jebbi"
"Cantharellus","noumeae"
"Caulastraea","connata"
"Caulastraea","curvata"
"Caulastraea","echinulata"
"Caulastraea","tumida"
"Cladocora","caespitosa"
"Coelastrea","palauensis"
"Coscinaraea","crassa"
"Coscinaraea","hahazimaensis"
"Coscinaraea","marshae"
"Coscinaraea","mcneilli"
"Ctenactis","albitentaculata"
"Ctenactis","crassa"
"Ctenella","chagius"
"Cycloseris","boschmai"
"Cycloseris","costulata"
"Cycloseris","cyclolites"
"Cycloseris","explanulata"
"Cycloseris","fragilis"
"Cycloseris","hexagonalis"
"Cycloseris","mokai"
"Cycloseris","sinensis"
"Cycloseris","somervillei"
"Cycloseris","tenuis"
"Cycloseris","vaughani"
"Cycloseris","wellsi"
"Cynarina","lacrymalis"
"Cyphastrea","agassizi"
"Cyphastrea","hexasepta"
"Cyphastrea","japonica"
"Danafungia","scruposa"
"Dichocoenia","stokesi"
"Dipsastraea","albida"
"Dipsastraea","amicorum"
"Dipsastraea","faviaformis"
"Dipsastraea","helianthoides"
"Dipsastraea","lacuna"
"Dipsastraea","laddi"
"Dipsastraea","marshae"
"Dipsastraea","rosaria"
"Dipsastraea","truncata"
"Dipsastraea","veroni"
"Dipsastraea","vietnamensis"
