"""Genus""","""Species""",,AphiaID,Match type,ScientificName,AphiaID_accepted,ScientificName_accepted
"""Acanthastrea""","""brevis""",,430639,exact,Acanthastrea brevis,430639,Acanthastrea brevis
"""Acanthastrea""","""hemprichi""",,288878,exact,Acanthastrea hemprichi,288878,Acanthastrea hemprichi
"""Acanthastrea""","""ishigakiensis""",,288879,exact,Acanthastrea ishigakiensis,888146,Lobophyllia ishigakiensis
"""Acanthastrea""","""regularis""",,288883,exact,Acanthastrea regularis,888165,Micromussa regularis
"""Acanthastrea""","""rotundoflora""",,766904,exact,Acanthastrea rotundoflora,766904,Acanthastrea rotundoflora
"""Acanthastrea""","""subechinata""",,288885,exact,Acanthastrea subechinata,288885,Acanthastrea subechinata
"""Acropora""","""abrolhosensis""",,288182,exact,Acropora abrolhosensis,288182,Acropora abrolhosensis
"""Acropora""","""akajimensis""",,288183,exact,Acropora akajimensis,288198,Acropora donei
"""Acropora""","""appressa""",,207066,exact,Acropora appressa,207066,Acropora appressa
"""Acropora""","""awi""",,288185,exact,Acropora awi,288185,Acropora awi
"""Acropora""","""azurea""",,288186,exact,Acropora azurea,207100,Acropora nana
"""Acropora""","""batunai""",,288187,exact,Acropora batunai,288187,Acropora batunai
"""Acropora""","""bifurcata""",,430640,exact,Acropora bifurcata,430640,Acropora bifurcata
"""Acropora""","""branchi""",,207102,exact,Acropora branchi,207102,Acropora branchi
"""Acropora""","""bushyensis""",,206999,exact,Acropora bushyensis,206999,Acropora bushyensis
"""Acropora""","""cardenae""",,288188,exact,Acropora cardenae,288188,Acropora cardenae
"""Acropora""","""caroliniana""",,288190,exact,Acropora caroliniana,288190,Acropora caroliniana
"""Acropora""","""chesterfieldensis""",,288191,exact,Acropora chesterfieldensis,288191,Acropora chesterfieldensis
"""Acropora""","""convexa""",,367986,exact,Acropora convexa,207023,Acropora millepora
"""Acropora""","""cophodactyla""",,430641,exact,Acropora cophodactyla,430641,Acropora cophodactyla
"""Acropora""","""copiosa""",,288192,exact,Acropora copiosa,207007,Acropora muricata
"""Acropora""","""cylindrica""",,288194,exact,Acropora cylindrica,730689,Isopora togianensis
"""Acropora""","""dendrum""",,288195,exact,Acropora dendrum,288195,Acropora dendrum
"""Acropora""","""derawanensis""",,288196,exact,Acropora derawanensis,288196,Acropora derawanensis
"""Acropora""","""desalwii""",,288197,exact,Acropora desalwii,288197,Acropora desalwii
"""Acropora""","""donei""",,288198,exact,Acropora donei,288198,Acropora donei
"""Acropora""","""downingi""",,288199,exact,Acropora downingi,288199,Acropora downingi
"""Acropora""","""efflorescens""",,430642,exact,Acropora efflorescens,207095,Acropora cytherea
"""Acropora""","""elegans""",,288200,exact,Acropora elegans,288200,Acropora elegans
"""Acropora""","""elegantula""",,430643,exact,Acropora elegantula,430643,Acropora elegantula
"""Acropora""","""exquisita""",,288202,exact,Acropora exquisita,288202,Acropora exquisita
"""Acropora""","""fastigata""",,430644,exact,Acropora fastigata,430644,Acropora fastigata
"""Acropora""","""fenneri""",,288203,exact,Acropora fenneri,288203,Acropora fenneri
"""Acropora""","""filiformis""",,288204,exact,Acropora filiformis,288204,Acropora filiformis
"""Acropora""","""forskali""",,207121,exact,Acropora forskali,207121,Acropora forskali
"""Acropora""","""globiceps""",,430645,exact,Acropora globiceps,430645,Acropora globiceps
"""Acropora""","""gomezi""",,288205,exact,Acropora gomezi,288205,Acropora gomezi
"""Acropora""","""granulosa""",,207093,exact,Acropora granulosa,207093,Acropora granulosa
"""Acropora""","""haimei""",,207110,exact,Acropora haimei,207110,
"""Acropora""","""halmaherae""",,288206,exact,Acropora halmaherae,288206,Acropora halmaherae
"""Acropora""","""hemprichii""",,288207,exact,Acropora hemprichii,288207,Acropora hemprichii
"""Acropora""","""hoeksemai""",,288208,exact,Acropora hoeksemai,288208,Acropora hoeksemai
"""Acropora""","""indonesia""",,288210,exact,Acropora indonesia,288210,Acropora indonesia
"""Acropora""","""inermis""",,430646,exact,Acropora inermis,207046,Acropora microphthalma
"""Acropora""","""irregularis""",,206993,exact,Acropora irregularis,207083,Acropora abrotanoides
"""Acropora""","""jacquelineae""",,288212,exact,Acropora jacquelineae,288212,Acropora jacquelineae
"""Acropora""","""japonica""",,288213,exact,Acropora japonica,288213,Acropora japonica
"""Acropora""","""kimbeensis""",,288214,exact,Acropora kimbeensis,288214,Acropora kimbeensis
"""Acropora""","""kirstyae""",,288215,exact,Acropora kirstyae,288215,Acropora kirstyae
