"""Genus""","""Species""",,AphiaID,Match type,ScientificName,AphiaID_accepted,ScientificName_accepted
"""Acropora""","""ridzwani""",,288238,exact,Acropora ridzwani,288238,Acropora ridzwani
"""Astrangia""","""atrata""",,287114,exact,Astrangia atrata,287114,Astrangia atrata
"""Astreopora""","""explanata""",,287944,exact,Astreopora explanata,287944,Astreopora explanata
"""Blastomussa""","""merleti""",,207385,exact,Blastomussa merleti,207385,Blastomussa merleti
"""Favites""","""melicerum""",,758217,exact,Favites melicerum,758217,Favites melicerum
"""Goniopora""","""polyformis""",,288278,exact,Goniopora polyformis,288278,Goniopora polyformis
"""Goniopora""","""tantillus""",,764222,exact,Goniopora tantillus,764222,Goniopora tantillus
"""Heliofungia""","""fralinae""",,716357,exact,Heliofungia fralinae,716357,Heliofungia fralinae
"""Idiotrochus""","""emarciatus""",,290180,exact,Idiotrochus emarciatus,290180,Idiotrochus emarciatus
"""Montipora""","""echinata""",,287705,exact,Montipora echinata,287705,Montipora echinata
"""Oculina""","""profunda""",,287098,exact,Oculina profunda,287098,Oculina profunda
"""Pavona""","""chiriquiensis""",,289200,exact,Pavona chiriquiensis,289200,Pavona chiriquiensis
"""Pavona""","""danai""",,207319,exact,Pavona danai,207319,Pavona danai
"""Platygyra""","""yaeyamaensis""",,289208,exact,Platygyra yaeyamaensis,289208,Platygyra yaeyamaensis
"""Plerogyra""","""multilobata""",,287847,exact,Plerogyra multilobata,287847,Plerogyra multilobata
"""Polycyathus""","""fulvus""",,286836,exact,Polycyathus fulvus,286836,Polycyathus fulvus
"""Polycyathus""","""furanaensis""",,286837,exact,Polycyathus furanaensis,286837,Polycyathus furanaensis
"""Pseudosiderastrea""","""formosa""",,718581,exact,Pseudosiderastrea formosa,718581,Pseudosiderastrea formosa
