"nameSp","nameSp_checked"
"Acropora cervicornis","Acropora cervicornis"
"Acropora formosa","Acropora muricata"
"Acropora palmata","Acropora palmata"
"Favites abdita","Favites abdita"
"Goniastrea aspera","Coelastrea aspera"
"Goniastrea retiformis","Goniastrea retiformis"
"Montastraea cavernosa","Montastraea cavernosa"
"Montipora monasteriata","Montipora monasteriata"
"Orbicella annularis","Orbicella annularis"
"Orbicella faveolata","Orbicella faveolata"
"Pachyseris speciosa","Pachyseris speciosa"
"Pocillopora damicornis","Pocillopora damicornis"
"Pocillopora eydouxi","Pocillopora grandis"
"Porites cylindrica","Porites cylindrica"
"Porites lobata","Porites lobata"
"Porites lutea","Porites lutea"
"Porites porites","Porites porites"
"Seriatopora hystrix","Seriatopora hystrix"
"Stylophora pistillata","Stylophora pistillata"
"Turbinaria reniformis","Turbinaria reniformis"
