"""Genus""","""Species""",,AphiaID,Match type,ScientificName,AphiaID_accepted,ScientificName_accepted
"""Acropora""","""cervicornis""",,206989,exact,Acropora cervicornis,206989,Acropora cervicornis
"""Acropora""","""formosa""",,207036,exact,Acropora formosa,207007,Acropora muricata
"""Acropora""","""palmata""",,288227,exact,Acropora palmata,288227,Acropora palmata
"""Favites""","""abdita""",,207449,exact,Favites abdita,207449,Favites abdita
"""Goniastrea""","""aspera""",,207467,exact,Goniastrea aspera,762427,Coelastrea aspera
"""Goniastrea""","""retiformis""",,207461,exact,Goniastrea retiformis,207461,Goniastrea retiformis
"""Montastraea""","""cavernosa""",,287962,exact,Montastraea cavernosa,287962,Montastraea cavernosa
"""Montipora""","""monasteriata""",,207153,exact,Montipora monasteriata,207153,Montipora monasteriata
"""Orbicella""","""annularis""",,758260,exact,Orbicella annularis,758260,Orbicella annularis
"""Orbicella""","""faveolata""",,758261,exact,Orbicella faveolata,758261,Orbicella faveolata
"""Pachyseris""","""speciosa""",,207293,exact,Pachyseris speciosa,207293,Pachyseris speciosa
"""Pocillopora""","""damicornis""",,206953,exact,Pocillopora damicornis,206953,Pocillopora damicornis
"""Pocillopora""","""eydouxi""",,206958,exact,Pocillopora eydouxi,206952,Pocillopora grandis
"""Porites""","""cylindrica""",,207229,exact,Porites cylindrica,207229,Porites cylindrica
"""Porites""","""lobata""",,207225,exact,Porites lobata,207225,Porites lobata
"""Porites""","""lutea""",,207246,exact,Porites lutea,207246,Porites lutea
"""Porites""","""porites""",,207238,exact,Porites porites,207238,Porites porites
"""Seriatopora""","""hystrix""",,206973,exact,Seriatopora hystrix,206973,Seriatopora hystrix
"""Stylophora""","""pistillata""",,206982,exact,Stylophora pistillata,206982,Stylophora pistillata
"""Turbinaria""","""reniformis""",,207507,exact,Turbinaria reniformis,207507,Turbinaria reniformis
