family,species,date_of_spawning,time_of_spawning,egg_size_micro_m,SE,N,time_to_motility_(h),Location
Acroporidae,Acropora gemmifera,8/12/1998,21:00,604,6.9,48,32,"Orpheus Island, GBR"
Acroporidae,Acropora humilis,10/12/1998,21:30,532,20.8,37,36,"Orpheus Island, GBR"
Acroporidae,Acropora millepora,18/11/1997,22:00,541,5.9,32,36,"Orpheus Island, GBR"
Acroporidae,Acropora pulchra,18/11/1997,22:00,575,9.5,18,36,"Orpheus Island, GBR"
Acroporidae,Acropora valida,23/11/1997,23:00,596,11.2,17,36,"Orpheus Island, GBR"
Acroporidae,Anacropora puertogalerae,7/05/2004,19:30,396,0.3,27,26,"Koror, Palau"
Acroporidae,Montipora digitata,26/11/1999,19:30,337,6.6,39,24,"Orpheus Island, GBR"
Agariciidae,Pachyseris speciosa,9/12/1998,21:30,368,3.6,30,18,"Orpheus Island, GBR"
Euphylliidae,Physogyra lichtenseini,9/05/2004,21:00,511,0.2,16,30,"Koror, Palau"
Euphylliidae,Plerogyra sinuosa,10/05/2004,18:30,489,0.3,19,30,"Koror, Palau"
Faviidae,Echinopora lamellosa,1/12/1999,20:00,250,3,20,24,"Orpheus Island, GBR"
Faviidae,Goniastrea aspera,28/11/1996,21:20,372,0.4,5,16,"Koror, Palau"
Faviidae,Goniastrea retiformis,19/11/1997,21:30,371,3.6,38,18,"Orpheus Island, GBR"
Faviidae,Leptastrea purpurae,10/05/2004,22:00,273,0.3,11,12,"Koror, Palau"
Faviidae,Platygyra daedalea,9/11/1998,19:00,396,3.6,38,18,"Orpheus Island, GBR"
Fungiidae,Fungia horrida,30/11/1996,19:30,210,10,10,12,"Orpheus Island, GBR"
Merulinidae,Merulina ampliata,20/11/1997,20:00,339,6.3,7,24,"Orpheus Island, GBR"
Pocilloporidae,Palauastrea ramosa,10/05/2004,18:30,356,0.7,5,20,"Koror, Palau"
Pocilloporidae,Pocillopora eydouxi,10/07/2002,6:00,150,5.1,20,8,"Sesoko, Okinawa"
Poritidae,Porites australiensis,1/12/1996,20:30,271,13.3,20,18,"Orpheus Island, GBR"
