Family,Species,Generation Length (years)
Acroporidae,Acropora abrolhosensis,10
Acroporidae,Acropora abrotanoides,10
Acroporidae,Acropora aculeus,10
Acroporidae,Acropora acuminata,10
Acroporidae,Acropora akajimensis,
Acroporidae,Acropora anthocercis,10
Acroporidae,Acropora appressa,10
Acroporidae,Acropora arabensis,10
Acroporidae,Acropora aspera,10
Acroporidae,Acropora austera,10
Acroporidae,Acropora awi,10
Acroporidae,Acropora batunai,10
Acroporidae,Acropora bifurcata,
Acroporidae,Acropora branchi,
Acroporidae,Acropora bushyensis,10
Acroporidae,Acropora cardenae,
Acroporidae,Acropora carduus,10
Acroporidae,Acropora caroliniana,10
Acroporidae,Acropora cerealis,10
Acroporidae,Acropora cervicornis,10
Acroporidae,Acropora chesterfieldensis,10
Acroporidae,Acropora clathrata,10
Acroporidae,Acropora convexa,
Acroporidae,Acropora cophodactyla,
Acroporidae,Acropora copiosa,
Acroporidae,Acropora cytherea,10
Acroporidae,Acropora dendrum,10
Acroporidae,Acropora derawanensis,10
Acroporidae,Acropora desalwii,10
Acroporidae,Acropora digitifera,10
Acroporidae,Acropora divaricata,10
Acroporidae,Acropora donei,10
Acroporidae,Acropora downingi,10
Acroporidae,Acropora echinata,10
Acroporidae,Acropora efflorescens,
Acroporidae,Acropora elegans,10
Acroporidae,Acropora elegantula,
Acroporidae,Acropora elseyi,10
Acroporidae,Acropora exquisita,
Acroporidae,Acropora fastigata,
Acroporidae,Acropora fenneri,
Acroporidae,Acropora filiformis,
Acroporidae,Acropora florida,10
Acroporidae,Acropora formosa,10
Acroporidae,Acropora forskali,
Acroporidae,Acropora gemmifera,10
Acroporidae,Acropora glauca,10
Acroporidae,Acropora globiceps,10
Acroporidae,Acropora gomezi,
Acroporidae,Acropora grandis,10
Acroporidae,Acropora granulosa,10
Acroporidae,Acropora haimei,
Acroporidae,Acropora halmaherae,
Acroporidae,Acropora hemprichii,10
Acroporidae,Acropora hoeksemai,10
Acroporidae,Acropora horrida,10
Acroporidae,Acropora humilis,10
Acroporidae,Acropora hyacinthus,10
Acroporidae,Acropora indonesia,10
Acroporidae,Acropora inermis,
Acroporidae,Acropora insignis,
Acroporidae,Acropora irregularis,
Acroporidae,Acropora jacquelineae,10
Acroporidae,Acropora japonica,
Acroporidae,Acropora khayranensis,
Acroporidae,Acropora kimbeensis,10
Acroporidae,Acropora kirstyae,10
Acroporidae,Acropora kosurini,10
Acroporidae,Acropora lamarcki,
Acroporidae,Acropora latistella,10
Acroporidae,Acropora lianae,
Acroporidae,Acropora listeri,10
Acroporidae,Acropora loisetteae,10
Acroporidae,Acropora lokani,10
Acroporidae,Acropora longicyathus,10
Acroporidae,Acropora loripes,10
Acroporidae,Acropora lovelli,10
Acroporidae,Acropora lutkeni,10
Acroporidae,Acropora macrostoma,
Acroporidae,Acropora maryae,
Acroporidae,Acropora massawensis,
Acroporidae,Acropora meridiana,
Acroporidae,Acropora microclados,10
Acroporidae,Acropora microphthalma,10
Acroporidae,Acropora millepora,10
Acroporidae,Acropora minuta,
Acroporidae,Acropora mirabilis,
Acroporidae,Acropora monticulosa,10
Acroporidae,Acropora multiacuta,10
Acroporidae,Acropora nana,10
Acroporidae,Acropora nasuta,10
Acroporidae,Acropora natalensis,
Acroporidae,Acropora navini,
Acroporidae,Acropora nobilis,10
Acroporidae,Acropora ocellata,
Acroporidae,Acropora orbicularis,
Acroporidae,Acropora pagoensis,
Acroporidae,Acropora palmata,10
Acroporidae,Acropora palmerae,10
Acroporidae,Acropora paniculata,10
Acroporidae,Acropora papillare,10
Acroporidae,Acropora paragemmifera,
Acroporidae,Acropora parahemprichii,
Acroporidae,Acropora parapharaonis,
Acroporidae,Acropora parilis,
