"""Genus""","""Species""",,AphiaID,Match type,ScientificName,AphiaID_accepted,ScientificName_accepted
"""Acropora""","""arafura""",,741331,exact,Acropora arafura,741331,Acropora arafura
"""Acropora""","""khayranensis""",,430647,exact,Acropora khayranensis,430647,
"""Acropora""","""magnifica""",,288221,exact,Acropora magnifica,288200,Acropora elegans
"""Acropora""","""paragemmifera""",,430651,exact,Acropora paragemmifera,430651,
"""Acropora""","""sirikitiae""",,718780,exact,Acropora sirikitiae,718780,Acropora sirikitiae
"""Acropora""","""sordiensis""",,207041,exact,Acropora sordiensis,207041,Acropora sordiensis
"""Acropora""","""surculosa""",,751755,exact,Acropora surculosa var. turbinata,207044,Acropora hyacinthus
"""Astreopora""","""lambertsi""",,287945,exact,Astreopora lambertsi,287945,Astreopora lambertsi
"""Blastomussa""","""vivida""",,766087,exact,Blastomussa vivida,766087,Blastomussa vivida
"""Craterastrea""","""levis""",,216131,exact,Craterastrea levis,216131,Craterastrea levis
"""Dipsastraea""","""camranensis""",,759209,exact,Dipsastraea camranensis,759209,Dipsastraea camranensis
"""Dipsastraea""","""mirabilis""",,,,,,
"""Dipsastraea""","""wisseli""",,818853,exact,Dipsastraea wisseli,818853,Dipsastraea wisseli
"""Echinophyllia""","""maxima""",,287974,exact,Echinophyllia maxima,763539,Pectinia maxima
"""Echinophyllia""","""tarae""",,736885,exact,Echinophyllia tarae,736885,Echinophyllia tarae
"""Echinopora""","""grandicula""",,430661,exact,Echinopora grandicula,430661,
"""Enigmopora""","""darveliensis""",,289896,exact,Enigmopora darveliensis,289896,Enigmopora darveliensis
"""Favia""","""gravida""",,288071,exact,Favia gravida,288071,Favia gravida
"""Leptoseris""","""fragilis""",,207280,exact,Leptoseris fragilis,207280,Leptoseris fragilis
"""Leptoseris""","""glabra""",,759334,exact,Leptoseris glabra,759334,Leptoseris glabra
"""Lithophyllon""","""ranjithi""",,290308,exact,Lithophyllon ranjithi,290308,Lithophyllon ranjithi
"""Madracis""","""carmabi""",,287106,exact,Madracis carmabi,287106,Madracis carmabi
"""Montipora""","""edwardsi""",,207162,exact,Montipora edwardsi,207162,Montipora edwardsi
"""Montipora""","""granulosa""",,207171,exact,Montipora granulosa,207171,Montipora granulosa
"""Montipora""","""tortuosa""",,287730,exact,Montipora tortuosa,287730,Montipora tortuosa
"""Mycedium""","""spina""",,287736,exact,Mycedium spina,287736,Mycedium spina
"""Pachyseris""","""inattesa""",,815344,exact,Pachyseris inattesa,815344,Pachyseris inattesa
"""Pavona""","""divaricata""",,207311,exact,Pavona divaricata,207311,Pavona divaricata
"""Pectinia""","""crassa""",,288404,exact,Pectinia crassa,288404,Pectinia crassa
"""Plerogyra""","""cauliformis""",,287843,exact,Plerogyra cauliformis,287843,Plerogyra cauliformis
"""Plerogyra""","""diabolotus""",,287844,exact,Plerogyra diabolotus,287844,Plerogyra diabolotus
"""Plerogyra""","""eurysepta""",,287846,exact,Plerogyra eurysepta,287846,Plerogyra eurysepta
"""Pleuractis""","""gravis""",,716550,exact,Pleuractis gravis,716550,Pleuractis gravis
"""Pocillopora""","""acuta""",,759099,exact,Pocillopora acuta,759099,Pocillopora acuta
"""Pocillopora""","""aliciae""",,742669,exact,Pocillopora aliciae,742669,Pocillopora aliciae
"""Pocillopora""","""bairdi""",,746694,exact,Pocillopora bairdi,746694,Pocillopora bairdi
"""Pocillopora""","""brevicornis""",,206951,exact,Pocillopora brevicornis,206951,Pocillopora brevicornis
"""Pocillopora""","""solida""",,873648,exact,Pocillopora solida,873648,
"""Podabacia""","""kunzmanni""",,472930,exact,Podabacia kunzmanni,472930,Podabacia kunzmanni
"""Polycyathus""","""chaishanensis""",,709418,exact,Polycyathus chaishanensis,709418,Polycyathus chaishanensis
"""Porites""","""baueri""",,288891,exact,Porites baueri,288891,Porites baueri
"""Porites""","""duerdeni""",,411269,exact,Porites duerdeni,411269,Porites duerdeni
"""Porites""","""ericacea""",,430672,exact,Porites ericacea,430672,
"""Porites""","""excavata""",,430673,exact,Porites excavata,430673,
"""Porites""","""fontanesii""",,716607,exact,Porites fontanesii,716607,Porites fontanesii
"""Porites""","""hawaiiensis""",,758222,exact,Porites hawaiiensis,758222,Porites hawaiiensis
"""Porites""","""iwayamaensis""",,207251,exact,Porites iwayamaensis,207231,Porites rus
"""Porites""","""randalli""",,758221,exact,Porites randalli,758221,Porites randalli
"""Porites""","""studeri""",,411273,exact,Porites studeri,411273,Porites studeri
"""Psammocora""","""albopicta""",,287782,exact,Psammocora albopicta,287782,Psammocora albopicta
"""Psammocora""","""interstinctus""",,430676,exact,Psammocora interstinctus,430676,
"""Sclerophyllia""","""margariticola""",,766583,exact,Sclerophyllia margariticola,766583,Sclerophyllia margariticola
"""Scolymia""","""wellsi""",,,,,,
"""Stylocoeniella""","""muscosus""",,430681,exact,Stylocoeniella muscosus,430681,
"""Stylophora""","""mordax""",,206981,exact,Stylophora mordax,206982,Stylophora pistillata
"""Turbinaria""","""crater""",,207509,exact,Turbinaria crater,207509,Turbinaria crater
