"Genus","Species"
"Acropora","lovelli"
"Acropora","pagoensis"
"Acropora","wallaceae"
"Astreopora","acroporina"
"Astreopora","cenderawasih"
"Astreopora","eliptica"
"Astreopora","montiporina"
"Isopora","cylindrica"
"Isopora","meridiana"
"Montipora","vaughani"
"Montipora","verruculosus"
"Anthemiphyllia","patera"
"Madracis","fragilis"
"Stylocoeniella","nikei"
"Caryophyllia","ambrosia"
"Caryophyllia","aspera"
"Caryophyllia","balanacea"
"Caryophyllia","concreta"
"Caryophyllia","corona"
"Caryophyllia","crypta"
"Caryophyllia","huinayensis"
"Caryophyllia","laevigata"
"Caryophyllia","oblonga"
"Caryophyllia","protei"
"Caryophyllia","tangaroae"
"Ceratotrochus","laxus"
"Coenocyathus","brooksi"
"Coenocyathus","caribbeana"
"Coenocyathus","humanni"
"Coenocyathus","parvulus"
"Colangia","jamaicaensis"
"Colangia","multipalifera"
"Crispatotrochus","gregarius"
"Crispatotrochus","septumdentatus"
"Deltocyathus","agassizii"
"Desmophyllum","quinarium"
"Heterocyathus","antoniae"
"Monohedotrochus","capitolii"
"Monohedotrochus","circularis"
"Monohedotrochus","epithecatus"
"Paracyathus","darwinensis"
"Paracyathus","indicus"
"Paracyathus","monteryensis"
"Paracyathus","persicus"
"Phyllangia","americana"
"Phyllangia","pequegnatae"
"Polycyathus","mayae"
"Stephanocyathus","imperialis"
"Stephanocyathus","isabellae"
"Tethocyathus","endesa"
"Tethocyathus","prahli"
"Trochocyathus","laboreli"
"Trochocyathus","wellsi"
"Balanophyllia","dilatata"
"Balanophyllia","helenae"
"Balanophyllia","japonica"
"Balanophyllia","kalakauai"
"Balanophyllia","malouinensis"
"Balanophyllia","spongiosa"
"Balanophyllia","striata"
"Balanophyllia","vanderhorsti"
"Dendrophyllia","fotojiku"
"Dendrophyllia","granosa"
"Dendrophyllia","minima"
"Dendrophyllia","paragracilis"
"Dendrophyllia","suprarbuscula"
"Eguchipsammia","strigosa"
"Heteropsammia","cochleata"
"Heteropsammia","moretonensis"
"Leptopsammia","brittanica"
"Notophyllia","hecki"
"Thecopsammia","elongata"
"Tubastraea","micranthus"
"Barabattoia","amicorum"
"Barabattoia","laddi"
"Favia","albidus"
"Favia","danae"
"Favia","helianthoides"
"Favia","lacuna"
"Favia","laxa"
"Favia","leptophylla"
"Favia","lizardensis"
"Favia","maritima"
"Favia","marshae"
"Favia","matthaii"
"Favia","maxima"
"Favia","rosaria"
"Favia","rotumana"
"Favia","rotundata"
"Favia","speciosa"
"Favia","truncatus"
"Favia","vietnamensis"
"Favites","bestae"
"Favites","micropentagona"
"Favites","paraflexuosa"
"Goniastrea","deformis"
"Goniastrea","palauensis"
"Goniastrea","peresi"
"Montastraea","annularis"
"Montastraea","annuligera"
"Montastraea","colemani"
"Montastraea","curta"
"Montastraea","faveolata"
"Montastraea","franksi"
"Montastraea","magnistellata"
"Montastraea","multipunctata"
"Montastraea","salebrosa"
"Montastraea","serageldini"
"Montastraea","valenciennesi"
"Parasimplastrea","sheppardi"
"Plesiastrea","devantieri"
"Flabellum","apertum"
"Flabellum","transversale"
"Javania","erhardti"
"Placotrochides","cylindrica"
"Placotrochides","minuta"
"Truncatoflabellum","cumingi"
"Truncatoflabellum","viginifarium"
"Truncatoflabellum","zuluense"
"Fungiacyathus","pusillus"
"Lithophyllon","puishani"
"Stolarskicyathus","pocilliformis"
"Meandrina","jacksoni"
"Acanthastrea","bowerbanki"
"Acanthastrea","faviaformis"
"Acanthastrea","maxima"
"Australomussa","rowleyensis"
"Isophyllastrea","rigida"
"Lobophyllia","dentatus"
"Lobophyllia","serratus"
"Scolymia","australis"
"Scolymia","vitiensis"
"Sclerhelia","hirtella"
"Pectinia","ayleni"
"Pocillopora","effusus"
"Pocillopora","setichelli"
"Seriatopora","dendritica"
"Seriatopora","guttatus"
"Goniopora","stutchburyi"
"Machadoporites","tantillus"
"Poritipora","paliformis"
"Astrangia","astrata"
"Culicia","rachelfitzhardingeae"
"Culicia","tenella"
"Cylicia","inflata"
"Oulangia","stokesiana"
"Coscinaraea","wellsi"
"Psammocora","decussata"
"Psammocora","explanulata"
"Psammocora","haimeana"
"Psammocora","nierstraszi"
"Psammocora","ramosa"
"Psammocora","vaughani"
"Conocyathus","formosus"
"Dunocyathus","wallaceae"
"Foveolocyathus","kitsoni"
"Foveolocyathus","parkeri"
"Idiotrochus","alatus"
"Lissotrochus","curvatus"
"Sphenotrochus","cuneolus"
"Sphenotrochus","lindstroemi"
"Tropidocyathus","lessoni"
