"""Genus""","""Species""",,AphiaID,Match type,ScientificName,AphiaID_accepted,ScientificName_accepted
"""Acropora""","""lovelli""",,,,,,
"""Acropora""","""pagoensis""",,411144,exact,Acropora pagoensis,207108,Acropora eurystoma
"""Acropora""","""wallaceae""",,,ambiguous,,,
"""Astreopora""","""acroporina""",,717590,exact,Astreopora acroporina,717590,Astreopora acroporina
"""Astreopora""","""cenderawasih""",,717589,exact,Astreopora cenderawasih,717589,Astreopora cenderawasih
"""Astreopora""","""eliptica""",,430659,exact,Astreopora eliptica,207128,Astreopora myriophthalma
"""Astreopora""","""montiporina""",,,,,,
"""Isopora""","""cylindrica""",,,ambiguous,,,
"""Isopora""","""meridiana""",,,ambiguous,,,
"""Montipora""","""vaughani""",,430668,exact,Montipora vaughani,430668,Montipora vaughani
"""Montipora""","""verruculosus""",,763794,exact,Montipora verruculosus,287732,Montipora verruculosa
"""Anthemiphyllia""","""patera""",,,ambiguous,,,
"""Madracis""","""fragilis""",,156865,exact,Martesia fragilis,156865,Martesia fragilis
"""Stylocoeniella""","""nikei""",,287775,exact,Stylocoeniella nikei,287775,Stylocoeniella nikei
"""Caryophyllia""","""ambrosia""",,,ambiguous,,,
"""Caryophyllia""","""aspera""",,,ambiguous,,,
"""Caryophyllia""","""balanacea""",,286729,exact_subgenus,Caryophyllia balanacea,286729,Caryophyllia balanacea
"""Caryophyllia""","""concreta""",,,ambiguous,,,
"""Caryophyllia""","""corona""",,,ambiguous,,,
"""Caryophyllia""","""crypta""",,,ambiguous,,,
"""Caryophyllia""","""huinayensis""",,286747,exact_subgenus,Caryophyllia huinayensis,286747,Caryophyllia huinayensis
"""Caryophyllia""","""laevigata""",,,ambiguous,,,
"""Caryophyllia""","""oblonga""",,,ambiguous,,,
"""Caryophyllia""","""protei""",,211377,exact,Mesanthura protei,211377,Mesanthura protei
"""Caryophyllia""","""tangaroae""",,,ambiguous,,,
"""Ceratotrochus""","""laxus""",,,ambiguous,,,
"""Coenocyathus""","""brooksi""",,,ambiguous,,,
"""Coenocyathus""","""caribbeana""",,286782,exact,Coenocyathus caribbeana,286782,Coenocyathus caribbeana
"""Coenocyathus""","""humanni""",,286784,exact,Coenocyathus humanni,286784,Coenocyathus humanni
"""Coenocyathus""","""parvulus""",,286785,exact,Coenocyathus parvulus,286785,Coenocyathus parvulus
"""Colangia""","""jamaicaensis""",,289692,exact,Colangia jamaicaensis,289692,Colangia jamaicaensis
"""Colangia""","""multipalifera""",,289694,exact,Colangia multipalifera,289694,Colangia multipalifera
"""Crispatotrochus""","""gregarius""",,289739,exact,Crispatotrochus gregarius,289739,Crispatotrochus gregarius
"""Crispatotrochus""","""septumdentatus""",,504003,exact,Crispatotrochus septumdentatus,504003,Crispatotrochus septumdentatus
"""Deltocyathus""","""agassizii""",,,ambiguous,,,
"""Desmophyllum""","""quinarium""",,493870,exact,Desmophyllum quinarium,493870,Desmophyllum quinarium
"""Heterocyathus""","""antoniae""",,509183,exact,Heterocyathus antoniae,509183,Heterocyathus antoniae
"""Monohedotrochus""","""capitolii""",,492269,exact,Monohedotrochus capitolii,492269,Monohedotrochus capitolii
"""Monohedotrochus""","""circularis""",,492270,exact,Monohedotrochus circularis,492270,Monohedotrochus circularis
"""Monohedotrochus""","""epithecatus""",,492272,exact,Monohedotrochus epithecatus,492272,Monohedotrochus epithecatus
"""Paracyathus""","""darwinensis""",,286816,exact,Paracyathus darwinensis,286816,Paracyathus darwinensis
"""Paracyathus""","""indicus""",,127234,exact,Platycephalus indicus,127234,Platycephalus indicus
"""Paracyathus""","""monteryensis""",,,,,,
"""Paracyathus""","""persicus""",,504186,exact,Paracyathus persicus,504186,Paracyathus persicus
"""Phyllangia""","""americana""",,,ambiguous,,,
"""Phyllangia""","""pequegnatae""",,287747,exact,Phyllangia pequegnatae,287747,Phyllangia pequegnatae
"""Polycyathus""","""mayae""",,286842,exact,Polycyathus mayae,286842,Polycyathus mayae
"""Stephanocyathus""","""imperialis""",,,ambiguous,,,
"""Stephanocyathus""","""isabellae""",,,ambiguous,,,
"""Tethocyathus""","""endesa""",,286862,exact,Tethocyathus endesa,286862,Tethocyathus endesa
"""Tethocyathus""","""prahli""",,286864,exact,Tethocyathus prahli,286864,Tethocyathus prahli
"""Trochocyathus""","""laboreli""",,,ambiguous,,,
"""Trochocyathus""","""wellsi""",,,ambiguous,,,
"""Balanophyllia""","""dilatata""",,,ambiguous,,,
"""Balanophyllia""","""helenae""",,,ambiguous,,,
"""Balanophyllia""","""japonica""",,,ambiguous,,,
