"nameSp","nameSp_checked"
"Acropora aspera","Acropora aspera"
"Acropora cervicornis","Acropora cervicornis"
"Acropora clathrata","Acropora clathrata"
"Acropora cytherea","Acropora cytherea"
"Acropora digitifera","Acropora digitifera"
"Acropora elseyi","Acropora elseyi"
"Acropora humilis","Acropora humilis"
"Acropora hyacinthus","Acropora hyacinthus"
"Acropora intermedia","Acropora intermedia"
"Acropora loisetteae","Acropora loisetteae"
"Acropora millepora","Acropora millepora"
"Acropora monticulosa","Acropora monticulosa"
"Acropora palifera","Isopora palifera"
"Acropora palmata","Acropora palmata"
"Acropora robusta","Acropora robusta"
"Acropora secale","Acropora secale"
"Acropora variolosa","Acropora variolosa"
"Agaricia agaricites","Agaricia agaricites"
"Agaricia fragilis","Agaricia fragilis"
"Alveopora daedalea","Alveopora daedalea"
"Caulastrea tumida","Caulastraea tumida"
"Coeloseris mayeri","Coeloseris mayeri"
"Coscinaraea columna","Coscinaraea columna"
"Coscinaraea monile","Coscinaraea monile"
"Cycloseris curvata","Cycloseris curvata"
"Cyphastrea chalcidicum","Cyphastrea chalcidicum"
"Cyphastrea microphthalma","Cyphastrea microphthalma"
"Dendrogyra cylindrus","Dendrogyra cylindrus"
"Diploastrea heliopora","Diploastrea heliopora"
"Diploria clivosa","Pseudodiploria clivosa"
"Diploria strigosa","Pseudodiploria strigosa"
"Echinophyllia aspera","Echinophyllia aspera"
"Echinopora forskaliana","Echinopora forskaliana"
"Echinopora gemmacea","Echinopora gemmacea"
"Echinopora taylorae","Echinopora taylorae"
"Euphyllia glabrescens","Euphyllia glabrescens"
"Favia fragum","Favia fragum"
"Favia pallida","Dipsastraea pallida"
"Favia veroni","Dipsastraea veroni"
"Favites abdita","Favites abdita"
"Favites halicora","Favites halicora"
"Fungia fungites","Fungia fungites"
"Galaxea fascicularis","Galaxea fascicularis"
"Goniastrea aspera","Coelastrea aspera"
"Goniastrea retiformis","Goniastrea retiformis"
"Hydnophora exesa","Hydnophora exesa"
"Hydnophora grandis","Hydnophora grandis"
"Hydnophora rigida","Hydnophora rigida"
"Leptastrea transversa","Leptastrea transversa"
"Leptoria phrygia","Leptoria phrygia"
"Leptoseris cucullata","Helioseris cucullata"
"Lobophyllia hemprichii","Lobophyllia hemprichii"
"Meandrina meandrites","Meandrina meandrites"
"Merulina scabricula","Merulina scabricula"
"Montastrea annularis","Orbicella annularis"
"Montastrea cavernosa","Montastraea cavernosa"
"Montipora flabellata","Montipora flabellata"
"Montipora informis","Montipora informis"
"Montipora verrucosa","Montipora verrucosa"
"Mycedium elephantotus","Mycedium elephantotus"
"Pavona cactus","Pavona cactus"
"Pavona clavus","Pavona clavus"
"Pavona decussata","Pavona decussata"
"Pavona frondifera","Pavona frondifera"
"Pavona varians","Pavona varians"
"Platygyra daedalea","Platygyra daedalea"
"Platygyra lamellina","Platygyra lamellina"
"Platygyra sinensis","Platygyra sinensis"
"Pocillopora damicornis","Pocillopora damicornis"
"Pocillopora eydouxi","Pocillopora grandis"
"Porites astreoides","Porites astreoides"
"Porites compressa","Porites compressa"
"Porites cumulatus","Porites cumulatus"
"Porites cylindrica","Porites cylindrica"
"Porites lobata","Porites lobata"
"Porites lutea","Porites lutea"
"Porites monticulosa","Porites monticulosa"
"Porites nigrescens","Porites nigrescens"
"Porites porites","Porites porites"
"Porites rus","Porites rus"
"Psammocora contigua","Psammocora contigua"
"Psammocora obtusangula","Psammocora contigua"
"Seriatopora caliendrum","Seriatopora caliendrum"
"Seriatopora hystrix","Seriatopora hystrix"
"Siderastrea stellata","Siderastrea stellata"
"Stylophora pistillata","Stylophora pistillata"
"Stylophora subseriata","Stylophora subseriata"
"Symphyllia recta","Symphyllia recta"
"Turbinaria mesenterina","Turbinaria mesenterina"
