"Genus","Species"
"Acropora","aspera"
"Acropora","cervicornis"
"Acropora","clathrata"
"Acropora","cytherea"
"Acropora","digitifera"
"Acropora","elseyi"
"Acropora","humilis"
"Acropora","hyacinthus"
"Acropora","intermedia"
"Acropora","loisetteae"
"Acropora","millepora"
"Acropora","monticulosa"
"Acropora","palifera"
"Acropora","palmata"
"Acropora","robusta"
"Acropora","secale"
"Acropora","variolosa"
"Agaricia","agaricites"
"Agaricia","fragilis"
"Alveopora","daedalea"
"Caulastrea","tumida"
"Coeloseris","mayeri"
"Coscinaraea","columna"
"Coscinaraea","monile"
"Cycloseris","curvata"
"Cyphastrea","chalcidicum"
"Cyphastrea","microphthalma"
"Dendrogyra","cylindrus"
"Diploastrea","heliopora"
"Diploria","clivosa"
"Diploria","strigosa"
"Echinophyllia","aspera"
"Echinopora","forskaliana"
"Echinopora","gemmacea"
"Echinopora","taylorae"
"Euphyllia","glabrescens"
"Favia","fragum"
"Favia","pallida"
"Favia","veroni"
"Favites","abdita"
"Favites","halicora"
"Fungia","fungites"
"Galaxea","fascicularis"
"Goniastrea","aspera"
"Goniastrea","retiformis"
"Hydnophora","exesa"
"Hydnophora","grandis"
"Hydnophora","rigida"
"Leptastrea","transversa"
"Leptoria","phrygia"
"Leptoseris","cucullata"
"Lobophyllia","hemprichii"
"Meandrina","meandrites"
"Merulina","scabricula"
"Montastrea","annularis"
"Montastrea","cavernosa"
"Montipora","flabellata"
"Montipora","informis"
"Montipora","verrucosa"
"Mycedium","elephantotus"
"Pavona","cactus"
"Pavona","clavus"
"Pavona","decussata"
"Pavona","frondifera"
"Pavona","varians"
"Platygyra","daedalea"
"Platygyra","lamellina"
"Platygyra","sinensis"
"Pocillopora","damicornis"
"Pocillopora","eydouxi"
"Porites","astreoides"
"Porites","compressa"
"Porites","cumulatus"
"Porites","cylindrica"
"Porites","lobata"
"Porites","lutea"
"Porites","monticulosa"
"Porites","nigrescens"
"Porites","porites"
"Porites","rus"
"Psammocora","contigua"
"Psammocora","obtusangula"
"Seriatopora","caliendrum"
"Seriatopora","hystrix"
"Siderastrea","stellata"
"Stylophora","pistillata"
"Stylophora","subseriata"
"Symphyllia","recta"
"Turbinaria","mesenterina"
