"""Genus""","""Species""",,AphiaID,Match type,ScientificName,AphiaID_accepted,ScientificName_accepted
"""Acropora""","""aspera""",,207011,exact,Acropora aspera,207011,Acropora aspera
"""Acropora""","""cervicornis""",,206989,exact,Acropora cervicornis,206989,Acropora cervicornis
"""Acropora""","""clathrata""",,207075,exact,Acropora clathrata,207075,Acropora clathrata
"""Acropora""","""cytherea""",,207095,exact,Acropora cytherea,207095,Acropora cytherea
"""Acropora""","""digitifera""",,207045,exact,Acropora digitifera,207045,Acropora digitifera
"""Acropora""","""elseyi""",,207113,exact,Acropora elseyi,207113,Acropora elseyi
"""Acropora""","""humilis""",,207094,exact,Acropora humilis,207094,Acropora humilis
"""Acropora""","""hyacinthus""",,207044,exact,Acropora hyacinthus,207044,Acropora hyacinthus
"""Acropora""","""intermedia""",,207035,exact,Acropora intermedia,207035,Acropora intermedia
"""Acropora""","""loisetteae""",,288218,exact,Acropora loisetteae,288218,Acropora loisetteae
"""Acropora""","""millepora""",,207023,exact,Acropora millepora,207023,Acropora millepora
"""Acropora""","""monticulosa""",,207103,exact,Acropora monticulosa,207103,Acropora monticulosa
"""Acropora""","""palifera""",,759872,exact,Acropora palifera,730686,Isopora palifera
"""Acropora""","""palmata""",,288227,exact,Acropora palmata,288227,Acropora palmata
"""Acropora""","""robusta""",,207000,exact,Acropora robusta,207000,Acropora robusta
"""Acropora""","""secale""",,207080,exact,Acropora secale,207080,Acropora secale
"""Acropora""","""variolosa""",,430657,exact,Acropora variolosa,430657,Acropora variolosa
"""Agaricia""","""agaricites""",,287911,exact,Agaricia agaricites,287911,Agaricia agaricites
"""Agaricia""","""fragilis""",,287912,exact,Agaricia fragilis,287912,Agaricia fragilis
"""Alveopora""","""daedalea""",,207200,exact,Alveopora daedalea,207200,Alveopora daedalea
"""Caulastrea""","""tumida""",,207411,exact,Caulastrea tumida,289578,Caulastraea tumida
"""Coeloseris""","""mayeri""",,207613,exact,Coeloseris mayeri,207613,Coeloseris mayeri
"""Coscinaraea""","""columna""",,207256,exact,Coscinaraea columna,207256,Coscinaraea columna
"""Coscinaraea""","""monile""",,207255,exact,Coscinaraea monile,207255,Coscinaraea monile
"""Cycloseris""","""curvata""",,716444,exact,Cycloseris curvata,716444,Cycloseris curvata
"""Cyphastrea""","""chalcidicum""",,207415,exact,Cyphastrea chalcidicum,207415,Cyphastrea chalcidicum
"""Cyphastrea""","""microphthalma""",,207416,exact,Cyphastrea microphthalma,207416,Cyphastrea microphthalma
"""Dendrogyra""","""cylindrus""",,418865,exact,Dendrogyra cylindrus,418865,Dendrogyra cylindrus
"""Diploastrea""","""heliopora""",,207417,exact,Diploastrea heliopora,207417,Diploastrea heliopora
"""Diploria""","""clivosa""",,289825,exact,Diploria clivosa,828326,Pseudodiploria clivosa
"""Diploria""","""strigosa""",,289827,exact,Diploria strigosa,718718,Pseudodiploria strigosa
"""Echinophyllia""","""aspera""",,207370,exact,Echinophyllia aspera,207370,Echinophyllia aspera
"""Echinopora""","""forskaliana""",,288341,exact,Echinopora forskaliana,288341,Echinopora forskaliana
"""Echinopora""","""gemmacea""",,207418,exact,Echinopora gemmacea,207418,Echinopora gemmacea
"""Echinopora""","""taylorae""",,288347,exact,Echinopora taylorae,288347,Echinopora taylorae
"""Euphyllia""","""glabrescens""",,207617,exact,Euphyllia glabrescens,207617,Euphyllia glabrescens
"""Favia""","""fragum""",,207432,exact,Favia fragum,207432,Favia fragum
"""Favia""","""pallida""",,207440,exact,Favia pallida,758233,Dipsastraea pallida
"""Favia""","""veroni""",,288077,exact,Favia veroni,758232,Dipsastraea veroni
"""Favites""","""abdita""",,207449,exact,Favites abdita,207449,Favites abdita
"""Favites""","""halicora""",,207447,exact,Favites halicora,207447,Favites halicora
"""Fungia""","""fungites""",,207350,exact,Fungia fungites,207350,Fungia fungites
"""Galaxea""","""fascicularis""",,207366,exact,Galaxea fascicularis,207366,Galaxea fascicularis
"""Goniastrea""","""aspera""",,207467,exact,Goniastrea aspera,762427,Coelastrea aspera
"""Goniastrea""","""retiformis""",,207461,exact,Goniastrea retiformis,207461,Goniastrea retiformis
"""Hydnophora""","""exesa""",,207403,exact,Hydnophora exesa,207403,Hydnophora exesa
"""Hydnophora""","""grandis""",,287996,exact,Hydnophora grandis,287996,Hydnophora grandis
"""Hydnophora""","""rigida""",,207406,exact,Hydnophora rigida,207406,Hydnophora rigida
"""Leptastrea""","""transversa""",,207474,exact,Leptastrea transversa,207474,Leptastrea transversa
"""Leptoria""","""phrygia""",,207477,exact,Leptoria phrygia,207477,Leptoria phrygia
"""Leptoseris""","""cucullata""",,418864,exact,Leptoseris cucullata,290083,Helioseris cucullata
"""Lobophyllia""","""hemprichii""",,207392,exact,Lobophyllia hemprichii,207392,Lobophyllia hemprichii
"""Meandrina""","""meandrites""",,289232,exact,Meandrina meandrites,289232,Meandrina meandrites
"""Merulina""","""scabricula""",,289198,exact,Merulina scabricula,289198,Merulina scabricula
"""Montastrea""","""annularis""",,764063,exact,Montastrea annularis,758260,Orbicella annularis
"""Montastrea""","""cavernosa""",,764066,exact,Montastrea cavernosa,287962,Montastraea cavernosa
"""Montipora""","""flabellata""",,207174,exact,Montipora flabellata,207174,Montipora flabellata
"""Montipora""","""informis""",,207186,exact,Montipora informis,207186,Montipora informis
"""Montipora""","""verrucosa""",,207146,exact,Montipora verrucosa,207146,Montipora verrucosa
"""Mycedium""","""elephantotus""",,207373,exact,Mycedium elephantotus,207373,Mycedium elephantotus
"""Pavona""","""cactus""",,207312,exact,Pavona cactus,207312,Pavona cactus
"""Pavona""","""clavus""",,207318,exact,Pavona clavus,207318,Pavona clavus
"""Pavona""","""decussata""",,207320,exact,Pavona decussata,207320,Pavona decussata
"""Pavona""","""frondifera""",,207307,exact,Pavona frondifera,207307,Pavona frondifera
"""Pavona""","""varians""",,207303,exact,Pavona varians,207303,Pavona varians
"""Platygyra""","""daedalea""",,207489,exact,Platygyra daedalea,207489,Platygyra daedalea
"""Platygyra""","""lamellina""",,207487,exact,Platygyra lamellina,207487,Platygyra lamellina
"""Platygyra""","""sinensis""",,207486,exact,Platygyra sinensis,207486,Platygyra sinensis
"""Pocillopora""","""damicornis""",,206953,exact,Pocillopora damicornis,206953,Pocillopora damicornis
"""Pocillopora""","""eydouxi""",,206958,exact,Pocillopora eydouxi,206952,Pocillopora grandis
"""Porites""","""astreoides""",,288889,exact,Porites astreoides,288889,Porites astreoides
"""Porites""","""compressa""",,207236,exact,Porites compressa,207236,Porites compressa
"""Porites""","""cumulatus""",,760384,exact,Porites cumulatus,760384,
"""Porites""","""cylindrica""",,207229,exact,Porites cylindrica,207229,Porites cylindrica
"""Porites""","""lobata""",,207225,exact,Porites lobata,207225,Porites lobata
"""Porites""","""lutea""",,207246,exact,Porites lutea,207246,Porites lutea
"""Porites""","""monticulosa""",,367816,exact,Porites monticulosa,367816,Porites monticulosa
"""Porites""","""nigrescens""",,207234,exact,Porites nigrescens,207234,Porites nigrescens
"""Porites""","""porites""",,207238,exact,Porites porites,207238,Porites porites
"""Porites""","""rus""",,207231,exact,Porites rus,207231,Porites rus
"""Psammocora""","""contigua""",,207267,exact,Psammocora contigua,207267,Psammocora contigua
"""Psammocora""","""obtusangula""",,287783,exact,Psammocora obtusangula,207267,Psammocora contigua
"""Seriatopora""","""caliendrum""",,206969,exact,Seriatopora caliendrum,206969,Seriatopora caliendrum
"""Seriatopora""","""hystrix""",,206973,exact,Seriatopora hystrix,206973,Seriatopora hystrix
"""Siderastrea""","""stellata""",,430680,exact,Siderastrea stellata,430680,Siderastrea stellata
"""Stylophora""","""pistillata""",,206982,exact,Stylophora pistillata,206982,Stylophora pistillata
"""Stylophora""","""subseriata""",,206980,exact,Stylophora subseriata,206980,Stylophora subseriata
"""Symphyllia""","""recta""",,758415,exact,Symphyllia recta var. pina,758415,Symphyllia recta var. pina
"""Turbinaria""","""mesenterina""",,207511,exact,Turbinaria mesenterina,207511,Turbinaria mesenterina
