"nameSp","nameSp_checked"
"Acropora aspera","Acropora aspera"
"Acropora cervicornis","Acropora cervicornis"
"Acropora florida","Acropora florida"
"Acropora humilis","Acropora humilis"
"Acropora hyacinthus","Acropora hyacinthus"
"Acropora insignis","Acropora insignis"
"Acropora muricata","Acropora muricata"
"Acropora palmata","Acropora palmata"
"Acropora pulchra","Acropora pulchra"
"Acropora robusta","Acropora robusta"
"Acropora solitaryensis","Acropora solitaryensis"
"Coelastrea aspera","Coelastrea aspera"
"Goniastrea edwardsi","Goniastrea edwardsi"
"Goniastrea pectinata","Goniastrea pectinata"
"Goniastrea retiformis","Goniastrea retiformis"
"Isopora brueggemanni","Isopora brueggemanni"
"Isopora palifera","Isopora palifera"
"Montipora digitata","Montipora digitata"
"Montipora monasteriata","Montipora monasteriata"
"Montipora solanderi","Montipora stellata"
"Montipora turgescens","Montipora turgescens"
"Orbicella annularis","Orbicella annularis"
"Orbicella faveolata","Orbicella faveolata"
"Orbicella franksi","Orbicella franksi"
"Pocillopora damicornis","Pocillopora damicornis"
"Pocillopora verrucosa","Pocillopora verrucosa"
"Porites astreoides","Porites astreoides"
"Porites australiensis","Porites australiensis"
"Porites cylindrica","Porites cylindrica"
"Porites lutea","Porites lutea"
"Porites porites","Porites porites"
"Porites pukoensis","Porites pukoensis"
"Porites rus","Porites rus"
"Porites solida","Porites solida"
"Siderastrea siderea","Siderastrea siderea"
