"Genus","Species"
"Acropora","aspera"
"Acropora","cervicornis"
"Acropora","florida"
"Acropora","humilis"
"Acropora","hyacinthus"
"Acropora","insignis"
"Acropora","muricata"
"Acropora","palmata"
"Acropora","pulchra"
"Acropora","robusta"
"Acropora","solitaryensis"
"Coelastrea","aspera"
"Goniastrea","edwardsi"
"Goniastrea","pectinata"
"Goniastrea","retiformis"
"Isopora","brueggemanni"
"Isopora","palifera"
"Montipora","digitata"
"Montipora","monasteriata"
"Montipora","solanderi"
"Montipora","turgescens"
"Orbicella","annularis"
"Orbicella","faveolata"
"Orbicella","franksi"
"Pocillopora","damicornis"
"Pocillopora","verrucosa"
"Porites","astreoides"
"Porites","australiensis"
"Porites","cylindrica"
"Porites","lutea"
"Porites","porites"
"Porites","pukoensis"
"Porites","rus"
"Porites","solida"
"Siderastrea","siderea"
