"""Genus""","""Species""",,AphiaID,Match type,ScientificName,AphiaID_accepted,ScientificName_accepted
"""Acropora""","""aspera""",,207011,exact,Acropora aspera,207011,Acropora aspera
"""Acropora""","""cervicornis""",,206989,exact,Acropora cervicornis,206989,Acropora cervicornis
"""Acropora""","""florida""",,207058,exact,Acropora florida,207058,Acropora florida
"""Acropora""","""humilis""",,207094,exact,Acropora humilis,207094,Acropora humilis
"""Acropora""","""hyacinthus""",,207044,exact,Acropora hyacinthus,207044,Acropora hyacinthus
"""Acropora""","""insignis""",,288211,exact,Acropora insignis,288211,Acropora insignis
"""Acropora""","""muricata""",,207007,exact,Acropora muricata,207007,Acropora muricata
"""Acropora""","""palmata""",,288227,exact,Acropora palmata,288227,Acropora palmata
"""Acropora""","""pulchra""",,207015,exact,Acropora pulchra,207015,Acropora pulchra
"""Acropora""","""robusta""",,207000,exact,Acropora robusta,207000,Acropora robusta
"""Acropora""","""solitaryensis""",,288248,exact,Acropora solitaryensis,288248,Acropora solitaryensis
"""Coelastrea""","""aspera""",,762427,exact,Coelastrea aspera,762427,Coelastrea aspera
"""Goniastrea""","""edwardsi""",,207466,exact,Goniastrea edwardsi,207466,Goniastrea edwardsi
"""Goniastrea""","""pectinata""",,207464,exact,Goniastrea pectinata,207464,Goniastrea pectinata
"""Goniastrea""","""retiformis""",,207461,exact,Goniastrea retiformis,207461,Goniastrea retiformis
"""Isopora""","""brueggemanni""",,730688,exact,Isopora brueggemanni,730688,Isopora brueggemanni
"""Isopora""","""palifera""",,730686,exact,Isopora palifera,730686,Isopora palifera
"""Montipora""","""digitata""",,207185,exact,Montipora digitata,207185,Montipora digitata
"""Montipora""","""monasteriata""",,207153,exact,Montipora monasteriata,207153,Montipora monasteriata
"""Montipora""","""solanderi""",,207160,exact,Montipora solanderi,207179,Montipora stellata
"""Montipora""","""turgescens""",,207142,exact,Montipora turgescens,207142,Montipora turgescens
"""Orbicella""","""annularis""",,758260,exact,Orbicella annularis,758260,Orbicella annularis
"""Orbicella""","""faveolata""",,758261,exact,Orbicella faveolata,758261,Orbicella faveolata
"""Orbicella""","""franksi""",,758262,exact,Orbicella franksi,758262,Orbicella franksi
"""Pocillopora""","""damicornis""",,206953,exact,Pocillopora damicornis,206953,Pocillopora damicornis
"""Pocillopora""","""verrucosa""",,206954,exact,Pocillopora verrucosa,206954,Pocillopora verrucosa
"""Porites""","""astreoides""",,288889,exact,Porites astreoides,288889,Porites astreoides
"""Porites""","""australiensis""",,207249,exact,Porites australiensis,207249,Porites australiensis
"""Porites""","""cylindrica""",,207229,exact,Porites cylindrica,207229,Porites cylindrica
"""Porites""","""lutea""",,207246,exact,Porites lutea,207246,Porites lutea
"""Porites""","""porites""",,207238,exact,Porites porites,207238,Porites porites
"""Porites""","""pukoensis""",,207250,exact,Porites pukoensis,207250,Porites pukoensis
"""Porites""","""rus""",,207231,exact,Porites rus,207231,Porites rus
"""Porites""","""solida""",,207227,exact,Porites solida,207227,Porites solida
"""Siderastrea""","""siderea""",,207516,exact,Siderastrea siderea,207516,Siderastrea siderea
