"Genus","Species"
"Acanthastrea","echinata"
"Acanthastrea","hemprichi"
"Acropora","abrolhosensis"
"Acropora","aculeus"
"Acropora","appressa"
"Acropora","aspera"
"Acropora","austera"
"Acropora","cerealis"
"Acropora","cervicornis"
"Acropora","clathrata"
"Acropora","copiosa"
"Acropora","cytherea"
"Acropora","digitifera"
"Acropora","divaricata"
"Acropora","donei"
"Acropora","elseyi"
"Acropora","exquisita"
"Acropora","florida"
"Acropora","gemmifera"
"Acropora","glauca"
"Acropora","grandis"
"Acropora","granulosa"
"Acropora","horrida"
"Acropora","humilis"
"Acropora","hyacinthus"
"Acropora","intermedia"
"Acropora","latistella"
"Acropora","listeri"
"Acropora","longicyathus"
"Acropora","loripes"
"Acropora","lutkeni"
"Acropora","microclados"
"Acropora","microphthalma"
"Acropora","millepora"
"Acropora","monticulosa"
"Acropora","muricata"
"Acropora","nasuta"
"Acropora","palmata"
"Acropora","paniculata"
"Acropora","polystoma"
"Acropora","pulchra"
"Acropora","retusa"
"Acropora","robusta"
"Acropora","rudis"
"Acropora","samoensis"
"Acropora","sarmentosa"
"Acropora","secale"
"Acropora","selago"
"Acropora","solitaryensis"
"Acropora","spicifera"
"Acropora","subglabra"
"Acropora","subulata"
"Acropora","tenuis"
"Acropora","torresiana"
"Acropora","valida"
"Acropora","verweyi"
"Acropora","yongei"
"Agaricia","agaricites"
"Agaricia","fragilis"
"Agaricia","humilis"
"Agaricia","lamarcki"
"Agaricia","tenuifolia"
"Agaricia","undata"
"Alveopora","fenestrata"
"Anacropora","spinosa"
"Astrangia","poculata"
"Astrea","annuligera"
"Astrea","curta"
"Astreopora","myriophthalma"
"Caulastraea","furcata"
"Cladocora","arbuscula"
"Coelastrea","aspera"
"Coeloseris","mayeri"
"Colpophyllia","natans"
"Coscinaraea","columna"
"Coscinaraea","crassa"
"Coscinaraea","exesa"
"Coscinaraea","marshae"
"Coscinaraea","mcneilli"
"Coscinaraea","monile"
"Ctenactis","echinata"
"Cycloseris","vaughani"
"Cycloseris","wellsi"
"Cynarina","lacrymalis"
"Cyphastrea","chalcidicum"
"Cyphastrea","decadia"
"Cyphastrea","japonica"
"Cyphastrea","microphthalma"
"Cyphastrea","ocellina"
"Cyphastrea","serailia"
"Danafungia","horrida"
"Dendrogyra","cylindrus"
"Dichocoenia","stokesi"
"Diploastrea","heliopora"
"Diploria","labyrinthiformis"
"Dipsastraea","favus"
"Dipsastraea","helianthoides"
