symbiont_List1_notList2,comments_eugenia,symbiont_notList1_List2,comments eugenia
A1.2,,A20,keep
A4porites,keep,AMie09,
B13,keep,C.Heteroxenia,keep
B15,keep,C15.21,
B1e,keep,C15.23,
B1k,keep,C15.25,
B2.1,,C161,keep
B20,keep,C1b-c,keep
B24,keep,C1d-t,keep
B35,keep,C1hh,keep
B38,keep,C1m-aa,keep
B5a,keep,C26bb,keep
B6,keep,C3-ff,same as C3ff
B7,keep,C3*,
B8,keep,C37a,keep
B9,keep,C3i,keep
C#,keep,C3n-t,keep
C1.5,,C42a-b,keep
C1.6,,C8b,keep
C1.7,,D.Ber06,never seen this name before
C1.8,,D1-11,keep
C1#,keep,D1-4,same as D1a
C10,keep,D1-4-10,keep
C105,keep,D1-4-6,keep
C105a,keep,D12-13,keep
C109a,keep,D13,keep
C109b,keep,D15,keep
C109c,keep,D1a-c,keep
C11,keep,D4-5,keep
C115,keep,D8,keep
C115a,keep,D8-12,keep
C15.2,,DAbr08,never seen this name before
C15.6,,DJon08,never seen this name before
C15.7,,DMie09,never seen this name before
C15.8,,DOli11,never seen this name before
C15.9,,DVan05,never seen this name before
C15b,keep,E1,keep
C15c,keep,F.Dia11,
C15f,keep,,
C15g,keep,,
C15h,keep,,
C15i,keep,,
C15j,keep,,
C15k,keep,,
C15L,keep,,
C15m,keep,,
C16,keep,,
C17,keep,,
C17a,keep,,
C19,keep,,
C1a,keep,,
C1aa,keep,,
C1b,keep,,
C1c.C45,keep,,
C1ca,keep,,
C1d,keep,,
C1ee,keep,,
C1f,keep,,
C1g,keep,,
C1i,keep,,
C1ii,keep,,
C1j,keep,,
C1m,keep,,
C1s,keep,,
C1t,keep,,
C1y,keep,,
C21.11,,,
C21.12,,,
C21.13,,,
C21.14,,,
C21.16,,,
C21.6,,,
C21a,keep,,
C22,keep,,
C22a,keep,,
C27,keep,,
C27.1,,,
C28,keep,,
C3.10,,,
C3.11,,,
C3.12,,,
C3.14,,,
C3.2,,,
C3.7,,,
C3.8,,,
C3.9,,,
C30,keep,,
C31.1,,,
C31.10,,,
C31.5,,,
C31.6,,,
C31.9,,,
C31a,keep,,
C31c,keep,,
C31d,keep,,
C32,keep,,
C32a,keep,,
C33a,keep,,
C34,keep,,
C35,keep,,
C3a,keep,,
C3aa,keep,,
C3b,keep,,
C3c,keep,,
C3d,keep,,
C3e,keep,,
C3ff,keep,,
C3g,keep,,
C3ha,keep,,
C3ii,keep,,
C3k,keep,,
C3L,keep,,
C3q,keep,,
C3t,keep,,
C3w,keep,,
C3y,keep,,
C40a,keep,,
C40b,keep,,
C42b,keep,,
C44,keep,,
C44a,keep,,
C45,keep,,
C45.3,,,
C45a,keep,,
C46,keep,,
C46a,keep,,
C48,keep,,
C49,keep,,
C52,keep,,
C53,keep,,
C54,keep,,
C54a,keep,,
C56,keep,,
C56a,keep,,
C58,keep,,
C59,keep,,
C60,keep,,
C61,keep,,
C66a,keep,,
C66b,keep,,
C73,keep,,
C75,keep,,
C76,keep,,
C77,keep,,
C78a,keep,,
C80,keep,,
C82,keep,,
C82b,keep,,
C83,keep,,
C88a,keep,,
C8c,keep,,
C9,keep,,
C94,keep,,
Cspa,keep,,
Cspb,keep,,
Cspc,keep,,
Cspd,keep,,
Cspe,keep,,
Cspf,keep,,
D1.6,,,
D10,keep,,
D11,keep,,
D1a,keep,,
D1c,keep,,
D2,keep,,
D6,keep,,
G1,keep,,
KB3,,,
,,,
