symbiont_List1_notList2,symbiont_notList1_List2
A1.2,A20
A4porites,AMie09
B13,C.Heteroxenia
B15,C15.21
B1e,C15.23
B1k,C15.25
B2.1,C161
B20,C1b-c
B24,C1d-t
B35,C1hh
B38,C1m-aa
B5a,C26bb
B6,C3-ff
B7,C3*
B8,C37a
B9,C3i
C#,C3n-t
C1.5,C42a-b
C1.6,C8b
C1.7,D.Ber06
C1.8,D1-11
C1#,D1-4
C10,D1-4-10
C105,D1-4-6
C105a,D12-13
C109a,D13
C109b,D15
C109c,D1a-c
C11,D4-5
C115,D8
C115a,D8-12
C15.2,DAbr08
C15.6,DJon08
C15.7,DMie09
C15.8,DOli11
C15.9,DVan05
C15b,E1
C15c,F.Dia11
C15f,
C15g,
C15h,
C15i,
C15j,
C15k,
C15L,
C15m,
C16,
C17,
C17a,
C19,
C1a,
C1aa,
C1b,
C1c.C45,
C1ca,
C1d,
C1ee,
C1f,
C1g,
C1i,
C1ii,
C1j,
C1m,
C1s,
C1t,
C1y,
C21.11,
C21.12,
C21.13,
C21.14,
C21.16,
C21.6,
C21a,
C22,
C22a,
C27,
C27.1,
C28,
C3.10,
C3.11,
C3.12,
C3.14,
C3.2,
C3.7,
C3.8,
C3.9,
C30,
C31.1,
C31.10,
C31.5,
C31.6,
C31.9,
C31a,
C31c,
C31d,
C32,
C32a,
C33a,
C34,
C35,
C3a,
C3aa,
C3b,
C3c,
C3d,
C3e,
C3ff,
C3g,
C3ha,
C3ii,
C3k,
C3L,
C3q,
C3t,
C3w,
C3y,
C40a,
C40b,
C42b,
C44,
C44a,
C45,
C45.3,
C45a,
C46,
C46a,
C48,
C49,
C52,
C53,
C54,
C54a,
C56,
C56a,
C58,
C59,
C60,
C61,
C66a,
C66b,
C73,
C75,
C76,
C77,
C78a,
C80,
C82,
C82b,
C83,
C88a,
C8c,
C9,
C94,
Cspa,
Cspb,
Cspc,
Cspd,
Cspe,
Cspf,
D1.6,
D10,
D11,
D1a,
D1c,
D2,
D6,
G1,
KB3,
