Phylotype,Score (R k),Standard error (rk),Error of measurement (U k),Total uncertainty (D),Cohort rank,Percentile rank
D.Ber06,100,NaN,33.33,33.33,1,100
C116,71.12,NaN,7.9,7.9,2,97.2
C26bb,71.12,NaN,7.9,7.9,2,97.2
C8a,71.12,NaN,7.9,7.9,2,97.2
F2,70.83,NaN,11.8,11.8,3,96.3
C3*,66.67,NaN,33.33,33.33,4,95.4
C26,63.22,NaN,7.9,7.9,5,93.5
C3jj,63.22,NaN,7.9,7.9,5,93.5
A20,59.02,NaN,11.8,11.8,6,92.6
C123,55.32,NaN,7.9,7.9,7,88.9
C130,55.32,NaN,7.9,7.9,7,88.9
C1h,55.32,NaN,7.9,7.9,7,88.9
C40,55.32,NaN,7.9,7.9,7,88.9
C15.21,53.12,NaN,10.62,10.62,8,85.3
C15.23,53.12,NaN,10.62,10.62,8,85.3
C15.25,53.12,NaN,10.62,10.62,8,85.3
D1-4,53.12,18,4.52,18,8,85.3
A4,45.95,NaN,11.49,11.49,9,84.4
C3-o,44.27,NaN,8.85,8.85,10,83.4
D1,43.82,3.4,6.36,6.36,11,82.5
C21,40.25,7.36,4.5,7.36,12,81.6
F1,39.84,NaN,13.28,13.28,13,80.7
C119,39.51,NaN,4.39,4.39,14,71.5
C125,39.51,NaN,7.9,7.9,14,71.5
C126,39.51,NaN,7.9,7.9,14,71.5
C129,39.51,NaN,7.9,7.9,14,71.5
C1gg-hh,39.51,NaN,7.9,7.9,14,71.5
C3h,39.51,NaN,7.9,7.9,14,71.5
C3n,39.51,NaN,7.9,7.9,14,71.5
C94a,39.51,NaN,4.39,4.39,14,71.5
D1-11,39.51,NaN,4.39,4.39,14,71.5
D1-4-10,39.51,NaN,4.39,4.39,14,71.5
F.Dia11,38.36,NaN,7.67,7.67,15,70.6
C15,37.59,3.77,4.4,4.4,16,69.7
C33,37.03,NaN,9.26,9.26,17,67.8
D1a-c,37.03,NaN,9.26,9.26,17,67.8
A4a,36.86,NaN,12.29,12.29,18,66.9
A3,35.86,3.98,8.5,8.5,19,66
B5,26.56,NaN,8.85,8.85,33,48.6
D12-13,26.56,8.85,9.9,9.9,33,48.6
C3,25.98,3.89,3.83,3.89,34,47.7
C42a,25.9,21.51,4.52,21.51,35,46.7
C31,25.2,17.3,6.62,17.3,36,45.8
B40,23.71,NaN,7.9,7.9,37,41.2
C124,23.71,NaN,7.9,7.9,37,41.2
C128,23.71,NaN,7.9,7.9,37,41.2
C1c-ff,23.71,NaN,7.9,7.9,37,41.2
C8b,23.71,NaN,7.9,7.9,37,41.2
B1,23.63,3.16,4.01,4.01,38,40.3
A2,23.02,NaN,7.67,7.67,39,39.4
C4,22.97,NaN,11.49,11.49,40,38.5
C114,21.95,NaN,4.39,4.39,41,36.6
C3u,21.95,NaN,4.39,4.39,41,36.6
C1,21.72,3.46,4.17,4.17,42,35.7
A13,20.22,7.65,6.34,7.65,43,34.8
C3n-t,19.83,17.2,4.81,17.2,44,33.9
C1b-c,19.11,4.5,9.39,9.39,45,33
C42a-b,18.52,NaN,9.26,9.26,46,32.1
C79,17.78,NaN,17.78,17.78,47,31.1
D5,17.56,NaN,4.39,4.39,48,30.2
B17,17.25,4.67,5.09,5.09,49,29.3
B18,15.8,NaN,7.9,7.9,50,27.5
C3i,15.8,NaN,7.9,7.9,50,27.5
D15,13.28,4.43,9.9,9.9,51,26.6
C101,13.17,NaN,4.39,4.39,52,25.6
E1,12.54,0.74,8.88,8.88,53,24.7
C47,11.49,NaN,11.49,11.49,54,23.8
AMie09,11.03,NaN,11.03,11.03,55,22.9
DAbr08,10.85,NaN,10.85,10.85,56,22
B10,10.62,NaN,10.62,10.62,57,20.1
C17.2,10.62,NaN,10.62,10.62,57,20.1
C7,10.36,1.41,5.32,5.32,58,19.2
B1j,8.85,NaN,8.85,8.85,59,15.5
C3-p,8.85,NaN,8.85,8.85,59,15.5
C7a,8.85,NaN,8.85,8.85,59,15.5
C81,8.85,NaN,8.85,8.85,59,15.5
C1c,35.71,19.37,4,19.37,20,65.1
C35a,35.56,NaN,17.78,17.78,21,64.2
D13,35.41,NaN,17.71,17.71,22,62.3
D8,35.41,NaN,17.71,17.71,22,62.3
B2,34.94,24.09,8.02,24.09,23,61.4
C8,33.1,14.31,10.19,14.31,24,60.5
DJon08,33.1,NaN,11.03,11.03,25,56.8
DMie09,33.1,NaN,11.03,11.03,25,56.8
DOli11,33.1,NaN,11.03,11.03,25,56.8
DVan05,33.1,NaN,11.03,11.03,25,56.8
A1,32.07,13.23,7.54,13.23,26,55.9
C12,31.87,NaN,10.62,10.62,27,55
C1gg,31.61,NaN,7.9,7.9,28,54.1
C78,31.3,22.04,10.02,22.04,29,53.2
D8-12,30.99,4.43,9.9,9.9,30,52.2
D1-4-6,30.73,NaN,4.39,4.39,31,51.3
C66,29.21,NaN,14.61,14.61,32,50.4
C3z,8.78,NaN,4.39,4.39,60,14.6
C120,7.9,NaN,7.9,7.9,61,7.3
C127,7.9,NaN,7.9,7.9,61,7.3
C161,7.9,NaN,7.9,7.9,61,7.3
C1hh,7.9,NaN,7.9,7.9,61,7.3
C37a,7.9,NaN,7.9,7.9,61,7.3
C42,7.9,NaN,7.9,7.9,61,7.3
C7d,7.9,NaN,7.9,7.9,61,7.3
C.Heteroxenia,7.9,NaN,7.9,7.9,61,7.3
C120a,5.27,NaN,2.63,2.63,62,5.5
C1m-aa,5.27,NaN,2.63,2.63,62,5.5
C101a,4.39,NaN,4.39,4.39,63,0.9
C110,4.39,NaN,4.39,4.39,63,0.9
C1d-t,4.39,NaN,4.39,4.39,63,0.9
C26a,4.39,NaN,4.39,4.39,63,0.9
D4-5,4.39,NaN,4.39,4.39,63,0.9
C3-ff,2.63,NaN,2.63,2.63,64,NaN
